epoch_idx,episode_length,explained_variance,value_loss,PMM:episode_rewards,P01:episode_rewards,frames,P09:episode_rewards,policy_entropy,policy_loss,fps,grad_norm,advantage_norm
1,165.95,-1.9630760776996612,2.363964960827052,1.025,0.0,8000,2.1000000000000014,1.3353988951537759,0.20720114769530482,544,45.18832921836415,5.404657573737204
2,184.8125,-1.8699617725610733,0.007709827996250169,1.4875,0.0,16000,4.0,1.3707362115383148,-0.0003917433537571924,367,0.1567433918682638,0.9063436496257782
3,202.6,-3.1207517355680467,0.006581588003064099,2.0,0.0,24000,5.0,1.3737184512615204,0.004428417097224155,433,0.18341802842124608,0.7886971627920866
4,196.38,-2.454266148805618,0.006361209709402829,1.85,0.0,32000,5.0,1.3819077825546264,0.0004589523713002563,484,0.12532712759933287,0.7952793073281645
5,183.23,-2.9417028445005418,0.004714666804329681,1.44,0.0,40000,4.0,1.3848898231983184,-9.81002782646101e-05,522,0.09389829100937837,0.6256940011307597
6,185.2,-2.0636033445596693,0.0062040078247355265,1.46,0.0,48000,3.0,1.382092800140381,-0.00014319673260615673,543,0.10914751497977976,0.7880833230167628
7,184.8,-2.014254061579704,0.0056180318235010416,1.48,0.0,56000,3.0,1.3775027322769164,0.0024754775573092047,558,0.12635762709853193,0.70545200843364
8,177.79,-2.039446706175804,0.005647448800518759,1.31,0.0,64000,3.0,1.3822190177440643,9.147235585260205e-05,575,0.11561969026712733,0.716564082838595
9,182.08,-1.8504967606067657,0.006288377828550438,1.4,0.0,72000,3.0,1.375932937860489,0.00030292245763121175,587,0.12218842856569438,0.7661189322918653
10,182.8,-2.064303252696991,0.005192965329188155,1.48,0.0,80000,3.0,1.3773628783226013,-0.0004929922180599533,596,0.11649975185527492,0.7019421012327075
11,173.02,-2.6792929130792618,0.004563023146474734,1.2,0.0,88000,3.0,1.3751253151893617,0.0003318512951955199,610,0.10056730615034176,0.654970860928297
12,171.72,-1.6513646805286408,0.005293570195390202,1.15,0.0,96000,3.0,1.3722439849376677,0.00019502817565808072,624,0.12680055390009845,0.7642566305398941
13,174.03,-2.2975729620456695,0.004218456671005697,1.24,0.0,104000,3.0,1.381465700864792,0.00027442724036518483,634,0.1195459432862028,0.6506393670290709
14,167.74,-2.758371714949608,0.0032583006495042355,1.06,0.0,112000,3.0,1.3846209275722503,0.0005924869733280502,643,0.10338267070673636,0.5766493515670299
