frames,explained_variance,PMM:episode_rewards,grad_norm,advantage_norm,approx_kl_divergence,policy_loss,episode_length,clip_fraction,policy_entropy,value_loss,P01:episode_rewards,fps,P09:episode_rewards,epoch_idx
10240,-4.568032798171044,79.83870967741936,5272112.11021045,15.96871588230133,13605.595698307012,0.05230628845456522,309.19354838709677,0.603662109375,1.4006278277839006,2357162.67863051,0.0,476,150.0,1
20480,-1.9371509552001954e-08,145.33898305084745,0.1045134484436622,15.968717861175538,0.003011686775630551,-0.0011754036462662044,325.8813559322034,0.1891357421875,1.770985458791256,0.010260028888296802,0.0,374,350.00000000000034,2
30720,3.7252902984619143e-10,146.8421052631579,0.06640913408034697,15.968717330694199,0.0031470377326286323,-0.0013667944062035532,326.37894736842105,0.2619384765625,1.7830230109393597,0.007551703731769522,0.0,420,315.0000000000002,3
40960,1.3411045074462891e-08,176.5,0.059395370182866135,15.968717831373215,0.0031099754929414304,-0.0016734645374526735,337.17,0.2287353515625,1.782959646731615,0.00960047837033926,25.0,448,335.00000000000085,4
51200,1.1920928955078126e-08,168.0,0.05271303311653526,15.968717652559281,0.0033337920396093066,-0.0016483529758261283,339.53,0.2246826171875,1.774263609945774,0.008320678531526937,25.0,461,325.0,5
61440,-1.1175870895385742e-08,164.25,0.05203882224086585,15.968717157840729,0.0036339284145128657,-0.0021101143101986963,336.7,0.27421875,1.7721033185720443,0.006926517275337574,25.0,471,325.0,6
71680,-2.6077032089233397e-09,159.75,0.05529909038441494,15.96871789097786,0.0030772150211646476,-0.0015393652909551747,332.95,0.222412109375,1.7822394371032715,0.010296621567977126,25.0,478,325.0,7
81920,1.2665987014770507e-08,157.25,0.05287810059840288,15.968717652559281,0.0030032590016389805,-0.0018656347594514955,328.97,0.2408447265625,1.777245844900608,0.00855284773006133,25.0,486,325.0,8
92160,-3.7252902984619143e-10,153.0,0.05042449996009607,15.968717271089554,0.0026675475053821174,-0.0012322589296672958,330.6,0.2085205078125,1.7784839019179344,0.007102375613862932,25.0,494,300.0,9
102400,-1.6763806343078613e-08,138.0,0.052251497247855314,15.968716526031494,0.0035532663081482953,-0.001989066968963016,330.34,0.25283203125,1.7751819722354412,0.006585452119134061,25.0,497,277.5000000000002,10
112640,-9.313225746154785e-09,122.25,0.052487440245841475,15.968712151050568,0.004045125190003773,-0.0015309125861676875,321.57,0.3152099609375,1.7787152402102948,0.006830273068266468,0.0,501,277.5000000000002,11
122880,-4.097819328308106e-09,114.25,0.05125522055576831,15.968716311454774,0.003442662232339444,-0.0015450864982994971,318.74,0.249755859375,1.7762886069715023,0.006248689788594675,0.0,504,225.0,12
133120,-8.195638656616212e-09,131.0,0.053310634697339765,15.968717175722123,0.0034488584316079594,-0.0021352917778131087,322.31,0.26416015625,1.7756996914744376,0.00895595460867753,0.0,506,275.0,13
143360,0.0,155.75,0.05363195623390693,15.9687175989151,0.002972325927248676,-0.0011938146933971438,332.63,0.2138916015625,1.7421814508736133,0.008772303277919492,0.0,507,380.00000000000045,14
153600,0.0,172.5,0.053729340815870816,15.968717801570893,0.002560862562938837,-0.0013102388693368994,336.21,0.199169921875,1.7683665186166764,0.00992046656065213,22.500000000000007,509,427.5000000000002,15
163840,-2.2724270820617674e-08,191.0,0.053544960371520844,15.968717622756959,0.002823419061621735,-0.0018675031249586027,344.76,0.2173828125,1.7667344816029071,0.009627534922174164,25.0,512,477.5000000000002,16
174080,7.450580596923829e-10,172.5,0.05129899165445675,15.968712884187699,0.0027432852524782447,-0.001253318334784126,340.19,0.207421875,1.772206161916256,0.007760770126007799,25.0,515,402.5000000000002,17
184320,6.332993507385254e-09,191.25,0.0580264314390284,15.968717724084854,0.003123567549141626,-0.0018648157220013672,343.74,0.24873046875,1.7737641662359238,0.011050765398795192,47.50000000000001,517,435.00000000000085,18
194560,7.450580596923829e-10,190.5,0.05495922360624309,15.968717741966248,0.0031298092905558406,-0.0018470545583113562,340.05,0.2411376953125,1.7781470537185669,0.009583779215608957,50.0,519,525.0,19
204800,-8.568167686462402e-09,197.75,0.05403496535300294,15.9687160551548,0.002801484717792846,-0.0012047135158354649,341.19,0.2072021484375,1.7709290094673633,0.007808959770964208,50.0,520,525.0,20
215040,-5.587935447692871e-09,170.0,0.0548540163025613,15.968717515468597,0.002591369237291019,-0.0013521795153792482,332.74,0.1959716796875,1.7771727293729782,0.010383175511742592,50.0,520,277.5000000000002,21
225280,-1.1175870895385742e-09,145.0,0.05382156934502319,15.96871617436409,0.00350004839480107,-0.0014153616790281375,326.18,0.265771484375,1.7832585640251637,0.006498101271469636,25.0,520,275.0,22
235520,-1.1920928955078126e-08,148.0,0.05230441901513142,15.96871738433838,0.003157506841102986,-0.0018966806343087227,325.28,0.2431396484375,1.7591872997581959,0.008947736222398816,25.0,521,275.0,23
245760,1.4528632164001465e-08,153.5,0.05377442753818538,15.96871703863144,0.003157828167019261,-0.001587192753504496,325.43,0.23056640625,1.7688163802027703,0.007859293601904937,22.500000000000007,521,450.0,24
256000,-2.2351741790771484e-08,142.5,0.05163195564848986,15.96871691942215,0.0032314192591911704,-0.0016420737876615022,322.21,0.2491943359375,1.7696271225810052,0.007167475182427552,25.0,521,305.00000000000045,25
