PMM:episode_rewards,explained_variance,frames,P09:episode_rewards,advantage_norm,episode_length,P01:episode_rewards,policy_entropy,value_loss,fps,policy_loss,grad_norm,epoch_idx
1.1904761904761905,-1.9919869232177734,8000,3.0,2.3345119109004737,174.61904761904762,0.0,1.3324288776516915,0.1477870015188455,327,-0.04391438789723907,4.077602045448838,1
1.2134831460674158,0.04290084779262543,16000,3.0,1.0791851560771466,175.47191011235955,0.0,1.383853666782379,0.012195305993868715,164,0.004127154777524993,0.243802793614571,2
1.3,-0.04587765693664551,24000,3.1000000000000085,1.1525958167761565,178.12,0.0,1.383479528427124,0.012969646529982129,190,-0.0002675089472904801,0.22924788418015862,3
1.19,-0.01750448703765869,32000,3.0,1.1928486942127348,174.26,0.0,1.3810021257400513,0.013125383950655305,209,0.0022951582935638727,0.22339459753204693,4
1.19,0.003848876953125,40000,3.0,1.2041108079254628,174.35,0.0,1.3753616583347321,0.013361793767380732,221,-0.0014395100943511352,0.23704813786537193,5
1.25,-0.0042582303285598755,48000,3.0,1.2135867813229562,176.14,0.0,1.3752026093006133,0.014550571209110786,229,0.0037995498703094197,0.2427692387685323,6
1.05,-0.02249155044555664,56000,3.0,1.0502595684304834,168.63,0.0,1.3753039705753327,0.011280162001421559,236,-0.0008411237224936485,0.1993065791502253,7
1.06,-0.0055762755870819095,64000,3.0,1.2751852096617222,169.28,0.0,1.3757674837112426,0.014935935600697121,241,0.0016456672135973349,0.22287194364560406,8
1.49,0.09800986766815185,72000,4.1000000000000085,1.331073120906949,186.78,0.0,1.3730667459964752,0.01537202051444183,245,0.00018820458673872055,0.2394779834351205,9
1.78,0.24013916432857513,80000,5.0,1.2655710035562515,199.83,0.0,1.3735460948944092,0.015016194352501771,249,0.0055352338790544305,0.26731746931419925,10
1.8,0.3662873661518097,88000,4.1000000000000085,1.3011602179706097,199.49,0.0,1.378266487121582,0.014622320644266438,252,0.00010790712985908613,0.3549123380487945,11
1.57,0.4516384708881378,96000,4.0,1.6271661457419395,189.08,0.0,1.3624088990688323,0.028457239080453292,255,-0.012676405558013358,0.701707986422689,12
1.62,0.351159970164299,104000,4.0,1.4127973857522012,191.0,0.0,1.354439549446106,0.01570437805610709,257,-0.0005428558805579087,0.40287398122996015,13
1.45,0.4316081780195236,112000,3.0,1.2119133472442627,184.67,0.0,1.3736680018901826,0.012015800159424543,259,-1.1297120217932387e-05,0.37322549987026205,14
1.22,0.4060252684354782,120000,3.0,1.386657689809799,173.13,0.0,1.3793780720233917,0.014260111458133906,261,-0.003928077092314197,0.43191239820378013,15
1.16,0.6030713540315628,128000,3.0,1.3161145091056823,171.69,0.0,1.37654816031456,0.014451880058331881,262,-0.007555522439070046,0.48008517144649304,16
1.42,0.7323117583990097,136000,4.0,1.5190434646606445,183.82,0.0,1.373143743276596,0.016480838975403457,263,-0.005573006106715184,0.5168745426856259,17
1.49,0.7143869656324386,144000,4.0,1.1993036168813704,185.73,0.0,1.3783696067333222,0.010571541149402038,265,-0.0008137086982605979,0.39385039200368155,18
1.37,0.7922291308641434,152000,4.1000000000000085,1.207016593515873,182.78,0.0,1.363561705350876,0.010720298349624499,266,-0.006081863506697118,0.3903872930652512,19
1.45,0.7981790143251419,160000,5.0,1.1776962733268739,185.79,0.0,1.3465895557403564,0.009908888603094966,267,-0.0017047125281533227,0.3420755137032531,20
1.88,0.8574632173776626,168000,6.0,1.2134862941503526,197.53,0.0,1.351580263376236,0.010109132338548078,269,0.00047029933863086627,0.37817646879542904,21
1.97,0.8477863240242004,176000,6.200000000000017,1.2927295309305191,200.85,0.0,1.3657093250751495,0.012492872293805704,270,-0.0026964867030619642,0.4067141060666625,22
2.31,0.8336901742219925,184000,8.100000000000009,1.4380926582217217,212.55,0.0,1.3517550480365754,0.024835241709370168,270,-0.007534817857376765,0.6477995559449811,23
2.38,0.8932981353998184,192000,7.1000000000000085,1.0827898555994033,216.43,0.0,1.346232168674469,0.008362480557989329,271,-0.001968409348046407,0.3116305153360697,24
1.93,0.855959660410881,200000,6.0,1.1442315909266472,201.48,0.0,1.3519004559516907,0.016084210024855564,272,-0.0026556708310374686,0.5065151361366067,25
1.31,0.9333678597211837,208000,4.0,0.8742621165513992,177.17,0.0,1.3631296062469482,0.005612402872066014,273,-0.0027737496799090876,0.2695764474601565,26
1.46,0.9001294928789139,216000,5.0,1.0925270640850067,183.77,0.0,1.357777853012085,0.008830977245233953,273,-6.27799442736432e-05,0.32948116922254883,27
1.66,0.9440687429904938,224000,5.0,0.911135565340519,193.74,0.0,1.3545665216445923,0.006283932487131097,274,-0.002301239648659248,0.2694199701276692,28
1.63,0.9386749589443206,232000,5.0,0.8640637651085854,192.65,0.0,1.3666714084148408,0.0058633020671550184,275,0.0003216899410472252,0.23528543113501668,29
1.56,0.9406842452287674,240000,5.0,0.8061703851819039,190.99,0.0,1.3541084575653075,0.004828575834690128,275,-0.0007710691270767711,0.22596777494261786,30
1.85,0.9606416583061218,248000,5.0,0.8380814537405967,203.5,0.0,1.3424028265476227,0.005087336513679474,276,-0.0004904740952770226,0.24467765859065896,31
