policy_loss,episode_length,P09:episode_rewards,policy_entropy,value_loss,P01:episode_rewards,advantage_norm,fps,explained_variance,epoch_idx,PMM:episode_rewards,frames,grad_norm
-0.0207428862634697,169.13513513513513,2.3999999999999986,1.3431293714046477,0.06909747036268526,0.0,1.9034809262678027,609,-0.9916864496469497,1,1.027027027027027,8000,1.7771840678629607
0.0021922915655886756,184.5,4.0,1.3666904151439667,0.014663497793817442,0.0,1.2478902681171895,483,-0.02846042573451996,2,1.475609756097561,16000,0.2346760829940225
0.0033421666198410094,196.59,5.0,1.3755508744716645,0.0173367513949961,0.0,1.4063231851905584,562,-0.07180451810359954,3,1.76,24000,0.2822260025595285
-0.0009926458436530082,197.19,4.1000000000000085,1.3752668654918672,0.01239202954198845,0.0,1.1723006446659565,601,-0.0631481295824051,4,1.76,32000,0.24853867526272747
0.0005027749416785809,184.2,4.0,1.3817791247367859,0.01637579946576807,0.0,1.3272230288758875,631,-0.04534051895141602,5,1.41,40000,0.3155352229351975
0.000636828753631562,177.48,3.0,1.3817347621917724,0.01205629583040718,0.0,1.1459919875860214,653,0.055672155022621156,6,1.27,48000,0.2453976618018872
0.000653136782348156,180.91,3.1000000000000085,1.3634968852996827,0.016824618651153287,0.0,1.4154521195590497,668,0.16038735151290895,7,1.33,56000,0.39335411148918664
0.0006222259276000841,193.51,4.0,1.3592633736133575,0.012082341471977998,0.0,1.2551226456463338,680,0.29225098073482514,8,1.65,64000,0.30917009181047855
-0.006851864735363051,189.98,4.0,1.356532883644104,0.013934447854117024,0.0,1.337880993783474,690,0.354879315495491,9,1.61,72000,0.429685030044738
-0.004269948910732637,189.36,3.0,1.3651406073570251,0.015623563981207553,0.0,1.4669687916338443,698,0.5581917828321457,10,1.55,80000,0.454397258291069
-0.0007715774653479457,193.54,4.0,1.3745200109481812,0.011448358633206226,0.0,1.2361520025134087,704,0.5862039858102799,11,1.66,88000,0.37496110100496977
