frames,epoch_idx,policy_loss,avg_q_selected,fps,policy_entropy,P09:episode_rewards,PMM:episode_rewards,advantage_norm,q_loss,explained_variance,policy_gradient_loss,rollout_prob_std,model_prob_std,episode_length,grad_norm,policy_gradient_bias_correction,P01:episode_rewards,avg_q_retraced
7200,1,-0.00032644003434446255,0.016750347645332415,479,2.1615684549013774,0.0,0.0,0.06655639087160428,0.00166901016709744,-17.175413846969604,-0.00032644003434446255,0.025374372613926728,0.025374373110632103,0,0.05333818033434922,0.0,0.0,0.01633137883618474
14400,2,-2.735074360013338e-05,-0.057274124818407775,222,1.996226179599762,0.0,0.0,0.05190012422390282,0.009540142599629082,-658.5647836049397,-2.7351317915721058e-05,0.04815090869863828,0.048150907084345815,0,0.4419213945701831,5.728486289491297e-10,0.0,-0.05277467811417106
21600,3,-2.206503863343793e-05,0.0017075273521792648,280,2.1951135714848835,0.0,0.0,0.010679431663205226,5.210639337747125e-05,-199.6490046183268,-2.206503863343793e-05,0.007221815393616756,0.007221815455704927,0,0.005770809165196481,0.0,0.0,0.0015942702676208379
28800,4,-5.793913200780783e-05,0.002689139506158729,323,2.1951574166615804,0.0,0.0,0.02840070319361985,3.9213413568480364e-05,-29.76492576599121,-5.793913200780783e-05,0.007153295818716288,0.0071532958652824165,0,0.0041758261723935245,0.0,0.0,0.0027141801508453983
36000,5,-3.549645348357444e-05,0.0018782876742382845,346,2.19484650293986,0.0,0.0,0.014302467104668419,9.295183993648e-06,-17.009791564941406,-3.549645348357444e-05,0.007671308129404982,0.007671308269103368,0,0.001562293701477009,0.0,0.0,0.001794257511695226
43200,6,-6.852166094783267e-05,0.0026214995188638566,325,2.194904605547587,0.0,0.0,0.021417060447856785,1.487199373665741e-05,-26.15837993621826,-6.852166094783267e-05,0.007566677887613575,0.0075666779031356175,3324.1666666666665,0.001996054192999584,0.0,0.0,0.002636899713737269
50400,7,-5.722609030271997e-05,0.0023865517345257104,335,2.194264872868856,0.0,0.0,0.006115640342856447,4.0508656676744675e-06,-40.810732237497966,-5.722609030271997e-05,0.00854519425580899,0.008545194131632647,3324.1666666666665,0.0012528476105061162,0.0,0.0,0.002386770665179938
57600,8,-5.90754591030418e-05,0.002608000401717921,349,2.1935328324635823,0.0,0.0,0.00619040730719765,2.498632140183569e-06,-27.326023228963216,-5.90754591030418e-05,0.009512555475036303,0.009512555537124474,3324.1666666666665,0.0009364441178968318,0.0,0.0,0.0025853380793705583
64800,9,-5.46680378192832e-05,0.00245877264921243,362,2.1951520363489787,0.0,0.0,0.017838569885740677,1.0457220158362664e-05,-17.803539085388184,-5.46680378192832e-05,0.00715185630445679,0.00715185641311109,3324.1666666666665,0.0015250779223818594,0.0,0.0,0.002436448742325107
72000,10,-4.468172907460636e-05,0.0019853501735876003,373,2.195089809099833,0.0,0.0,0.013694483134895564,7.2467326504011e-06,-21.922072060902913,-4.468172907460636e-05,0.007259481539949775,0.007259481570993861,3324.1666666666665,0.0012098742042485468,0.0,0.0,0.0019455909651393691
79200,11,-4.3034100834423346e-05,0.0021132242982275784,383,2.1953256209691365,0.0,0.0,0.023036417566860715,1.2397446965906056e-05,-12.782503890991212,-4.3034100834423346e-05,0.006842348181332151,0.00684234822789828,3324.1666666666665,0.0016376194854494232,0.0,0.0,0.00207145493865634
86400,12,-5.2532307381625285e-05,0.0021445350255817177,391,2.195194125175476,0.0,0.0,0.006344721062729756,2.358022701779798e-06,-27.722310034434,-5.2532307381625285e-05,0.007092458180462321,0.007092458211506406,3324.2916666666665,0.0006568130063082854,0.0,0.0,0.0021002392595012983
93600,13,-4.9900565363714124e-05,0.002258555847220123,398,2.194386927286784,0.0,0.0,0.0041755624736348786,1.3708497874631576e-06,-26.787189197540282,-4.9900565363714124e-05,0.008355076890438795,0.008355076952526966,3324.2916666666665,0.0005627706531699354,0.0,0.0,0.0022429057552168768
100800,14,-4.166421370731162e-05,0.0018409417243674397,405,2.1949038982391356,0.0,0.0,0.005132398443917433,1.0278956987500957e-06,-17.987511706352233,-4.166421370731162e-05,0.007531327630082766,0.007531327692170938,3324.2916666666665,0.00042199088155115934,0.0,0.0,0.0018199144396930933
108000,15,-3.742199208810841e-05,0.0016324616929826636,411,2.19563414255778,0.0,0.0,0.02212558382501205,9.792711828519411e-06,-16.841914653778076,-3.742199208810841e-05,0.006256692220146457,0.006256692266712586,3324.2916666666665,0.0014850176481512071,0.0,0.0,0.0016029996642222008
115200,16,-3.011998731684192e-05,0.0014424032997339964,416,2.195504101117452,0.0,0.0,0.007918179989792407,3.082525664884391e-06,-24.365762360890706,-3.011998731684192e-05,0.006509707449004054,0.006509707417959968,3324.2916666666665,0.0006183492318313329,0.0,0.0,0.001368430357736846
122400,17,-3.69006691599564e-05,0.001335576215337607,419,2.1957947096748955,0.0,0.0,0.019694047236911188,8.057778118633169e-06,-14.571269063344078,-3.601889810545525e-05,0.008559916202230232,0.0059400871764898056,3324.1111111111113,0.0012474220755564226,-8.81770971572916e-07,0.0,0.001326799766762951
129600,18,-2.4293647985686338e-05,0.0011015582222013522,412,2.196048448618758,0.0,0.0,0.009335525191725338,2.135526851818649e-06,-15.69027897805764,-2.589558703555868e-05,0.01404657499953395,0.005377103242168213,3324.1111111111113,0.0005546062537869445,1.6019390711854327e-06,0.0,0.0010797024279230437
136800,19,-2.1005601124688698e-05,0.000867467542483364,409,2.196139095444528,0.0,0.0,0.008596404723422085,1.6542927615971854e-06,-11.447192424592517,-2.0693261072441572e-05,0.014904079631854233,0.0051501599351675914,3324.1111111111113,0.0004712818373224539,-3.123399695826638e-07,0.0,0.000867415281381765
144000,20,-1.2529283352980155e-05,0.0006537538734540172,404,2.196379225477684,0.0,0.0,0.008452721097362784,1.4851696815235392e-06,-9.319413462982205,-1.3348960582677367e-05,0.013543018464198598,0.004561133845285936,3324.1111111111113,0.0004282436757665455,8.196771822348567e-07,0.0,0.0006546840263902033
151200,21,-1.4420923729146363e-05,0.0006532269750721599,400,2.1964250587723244,0.0,0.0,0.00885839856212014,1.5292823983268588e-06,-9.782050174619787,-1.5088969341854684e-05,0.012324000702143484,0.004437232953908967,3324.1111111111113,0.00042042398957717174,6.680455125142749e-07,0.0,0.0006411320471347102
158400,22,-1.1057607202739441e-05,0.0006127992139561915,399,2.196560632018816,0.0,0.0,0.008875984102358214,1.476111818312748e-06,-9.566525215213263,-1.2929193619094625e-05,0.011969032436211979,0.004043495042853811,3324.1111111111113,0.00040731054121416385,1.871586365957209e-06,0.0,0.0006176984647592892
165600,23,-1.4261265907248705e-05,0.0006949952229744726,396,2.1966236827297814,0.0,0.0,0.007048504751559996,9.647854631247184e-07,-9.590515352620018,-1.5015425994645752e-05,0.012461816201186074,0.003849732687249632,3324.2708333333335,0.0003136404679110523,7.541600649055512e-07,0.0,0.0006949958880339556
172800,24,-1.2567427132362882e-05,0.000593575181853902,394,2.1964691248488806,0.0,0.0,0.0061762741703750125,7.084479894103409e-07,-8.532087366252979,-1.2611964129412259e-05,0.01010053058626394,0.004306306437525785,3324.2708333333335,0.0002745833153945686,4.453702390746772e-08,0.0,0.0006018142473203144
180000,25,-1.3335429976873258e-05,0.0005932838057069891,392,2.1965556427852184,0.0,0.0,0.005902630788189108,6.056450142711781e-07,-6.506659568185529,-1.3696835049724496e-05,0.01104021315210346,0.004046634146761982,3324.2708333333335,0.0002517595056325819,3.6140511962468794e-07,0.0,0.0005857380472337224
187200,26,-1.529621840737706e-05,0.000661300819853928,390,2.1966074661287682,0.0,0.0,0.00810264855934918,1.0906298532180519e-06,-6.496780062898127,-1.586616557200178e-05,0.010021737509557394,0.003906767811230753,3324.2708333333335,0.00034980010348014307,5.699471275629581e-07,0.0,0.0006652555437584557
194400,27,-1.4409480281504853e-05,0.0005916319612075765,388,2.1966834277215628,0.0,0.0,0.005388094002603327,5.088153521057575e-07,-5.37569686900801,-1.4405628115802582e-05,0.00841650479454135,0.0036580190339355048,3324.2708333333335,0.0002253901746138416,-3.852100240334617e-09,0.0,0.0005860871737032228
201600,28,-1.2839024256553153e-05,0.0005308957045923865,386,2.1966854821658006,0.0,0.0,0.007353523213137003,8.990953935662169e-07,-6.013535188056489,-1.3854789535780692e-05,0.010089706466761146,0.003654816376988372,3324.4,0.00030276960496480084,1.0157652342865673e-06,0.0,0.0005307039252211181
208800,29,-1.0288829113152236e-05,0.00045915220503937995,384,2.196730892298713,0.0,0.0,0.004843466212206444,4.145786989929564e-07,-5.026913429366218,-1.1438683866747208e-05,0.011674360819167099,0.0034998281379587572,3324.4,0.00019382613361475633,1.1498547350605256e-06,0.0,0.0004576900846767732
216000,30,-2.6603322285488187e-06,0.00018766546427917202,382,2.196708659655833,0.0,0.0,0.0047506100747955445,3.704924772612068e-07,-4.571700923193701,-2.953093932689846e-06,0.009671835959026659,0.003574326415697147,3324.4,0.0001910232219235479,2.9276173699977573e-07,0.0,0.00018264353982982192
223200,31,-5.149170755669334e-06,0.0003554061090808655,381,2.1967427740305188,0.0,0.0,0.005167977344403326,4.7164276083680207e-07,-4.637263777946669,-5.492204664280342e-06,0.008569679258298251,0.003457964827098992,3324.4,0.0002001493169585047,3.4303390137738186e-07,0.0,0.00035157999065480307
230400,32,-7.105625082208918e-06,0.00029491784261729767,380,2.1967196276246383,0.0,0.0,0.005850050360224164,5.551570285588449e-07,-4.780864831503766,-7.852706935926939e-06,0.010881570527011874,0.0035410220105687165,3324.4,0.00022101784011900675,7.470818689571973e-07,0.0,0.0002889118810354887
237600,33,-3.6402784304310652e-06,0.0001796729058779107,379,2.1966849462182663,0.0,0.0,0.005508098396578716,4.893419341393542e-07,-4.515216944964245,-4.133156536667262e-06,0.009221408758704716,0.0036616182670771297,3324.4,0.00021449395453157006,4.928780676819873e-07,0.0,0.00017368820165813552
244800,34,-3.501775719429782e-06,9.937188415889446e-05,376,2.196694528720825,0.0,0.0,0.004756987381386414,3.8736064296309917e-07,-4.667625962219284,-4.1308175822314475e-06,0.009202453187448617,0.003629721503503145,3324.5,0.00017932654489789435,6.290418344367864e-07,0.0,9.43913264594479e-05
252000,35,2.8046353660768364e-06,-0.00011308063358080263,375,2.1966635697354713,0.0,0.0,0.0042862362658331495,2.894954870817182e-07,-4.8211950869692695,2.597329553231051e-06,0.007283298310912436,0.0037336211570196108,3324.5,0.00016045195231360987,2.0730580832256154e-07,0.0,-0.00011468448970329513
