P01:episode_rewards,frames,fps,policy_loss,policy_entropy,episode_length,advantage_norm,P09:episode_rewards,grad_norm,PMM:episode_rewards,value_loss,explained_variance,epoch_idx
0.0,8000,570,0.020715656157190097,1.3681583976745606,165.23684210526315,1.5498375517502427,2.3000000000000043,1.4068486558351307,0.8947368421052632,0.0831518177668113,-0.7088449954986572,1
0.0,16000,328,0.001819506736646872,1.3536080634593963,181.4431818181818,1.2272273119166492,3.0,0.26314470244774724,1.3068181818181819,0.01419426524530536,-0.11605671525001526,2
0.0,24000,372,-4.701862140791491e-05,1.347448616027832,187.5,1.1981052900105715,3.1000000000000085,0.21748501256461167,1.47,0.012928142930340981,-0.02531134843826294,3
0.0,32000,398,0.00223375816247426,1.363847804069519,188.4,1.4077796000614762,4.0,0.25250721583023195,1.49,0.016212612088784228,-0.02831777572631836,4
0.0,40000,416,0.001625715912086889,1.3634913635253907,204.39,1.3242958339303732,5.0,0.2645351961703282,1.92,0.01570941357887932,0.021554046869277955,5
0.0,48000,429,0.0004910647595534101,1.3592529451847077,207.39,1.3120603451132775,5.1000000000000085,0.3387517576301156,2.09,0.015450465580433956,0.17510699927806855,6
0.0,56000,438,0.0016553689067950472,1.360498950481415,199.39,1.5706626600027085,5.0,0.44397585088255753,1.82,0.021012816860456952,0.3176515054702759,7
0.0,64000,446,-0.0028616612101177454,1.3777502751350403,201.42,1.3506836807727813,5.0,0.3634015826107247,1.78,0.014324416799063329,0.58300222158432,8
0.0,72000,451,-0.0011074343846848933,1.3736139714717865,191.35,1.2437186416983605,5.0,0.31357060982249063,1.63,0.011808399584842845,0.5036908268928528,9
0.0,80000,456,-0.0024588427279377354,1.3635443985462188,184.62,1.235664363205433,4.0,0.33837930749829004,1.5,0.011653283723862842,0.6665104746818542,10
0.0,88000,461,-0.0017019942450860982,1.3586378395557404,193.31,1.3743555971980095,4.1000000000000085,0.39503398629653497,1.72,0.014105216608732008,0.7510088002681732,11
0.0,96000,465,-0.0014155984268290922,1.3559389221668243,201.34,1.3703187265992165,5.0,0.3738074901284241,1.9,0.013573323106975295,0.8268106228113175,12
0.0,104000,470,0.0014307319815270603,1.3643879735469817,211.79,1.3632297384738923,6.0,0.3989106316263755,2.24,0.013725796941434965,0.7643742299079895,13
0.0,112000,473,-0.00021019965584855526,1.370291166305542,214.6,1.2058259257674218,7.1000000000000085,0.36450159136171584,2.36,0.010887590277707204,0.853094876408577,14
0.0,120000,476,-0.002904533097753301,1.374119461774826,203.49,1.230952215194702,5.0,0.38481874351883716,1.9,0.011162971254670993,0.8561609429121018,15
0.0,128000,478,-0.0017069938366876159,1.363061991930008,200.04,0.9107951176166534,5.0,0.24648647489822814,1.74,0.006038425302831456,0.9218619859218598,16
0.0,136000,482,0.00016826172010041772,1.3527271926403046,200.29,1.076088176369667,5.0,0.2831482726353972,1.82,0.00854699024464935,0.9052589327096939,17
0.0,144000,483,-0.003502817539847456,1.3426219296455384,194.62,0.8929003050923348,5.0,0.255505550948609,1.68,0.005961038065725006,0.9421863347291947,18
0.0,152000,485,-2.765526296570897e-06,1.3581371366977693,196.83,1.0770493069291114,5.0,0.27424239400378875,1.8,0.008714071619906463,0.8840619045495987,19
0.0,160000,487,-0.0005204548989422619,1.3501777017116547,210.45,1.076420710980892,7.1000000000000085,0.26951404701315257,2.29,0.008518829489476047,0.907533575296402,20
0.0,168000,488,-0.0009230587596539408,1.346872910261154,208.96,0.8804006573557853,6.1000000000000085,0.2221610833048639,2.23,0.006067058538028505,0.9401208239793778,21
0.0,176000,490,-0.001987374909222126,1.3437247502803802,215.97,0.7369539973139763,6.0,0.1886238912119407,2.35,0.004165345331130083,0.9571258115768433,22
0.0,184000,491,0.00018092990154400468,1.363764727115631,212.77,0.924341448545456,6.0,0.24204521100410348,2.25,0.006454030136810615,0.9268405151367187,23
0.0,192000,491,1.9696359449881127e-05,1.359313954114914,209.63,0.7447629995644093,5.1000000000000085,0.19055648905826356,2.11,0.004347325511625968,0.9513123935461044,24
0.0,200000,493,-0.00038251891121035444,1.357568609714508,212.23,0.916309681236744,5.1000000000000085,0.23179042958871032,2.14,0.006677375844446942,0.9388154184818268,25
0.0,208000,493,0.00021250919038720895,1.3654851508140564,215.65,0.8468577018380166,6.200000000000017,0.20943529088671992,2.34,0.0058300156318000515,0.850748497247696,26
0.0,216000,495,0.0004942337484681047,1.359451997280121,199.2,0.9987450397014618,5.0,0.2377232211619862,1.94,0.007577177654602565,0.8796124327182769,27
0.0,224000,496,-0.002193536633567419,1.357731921672821,193.15,0.812948948442936,5.0,0.18798850224376978,1.74,0.005384312792448327,0.9205783355236054,28
0.0,232000,499,0.0005753569619264454,1.3662108266353608,197.3,0.8343436095118523,5.0,0.2018215121906611,1.83,0.005727393059059977,0.9387426763772965,29
0.0,240000,501,-0.0014917302278627175,1.3470725440979003,199.91,0.714745991975069,5.0,0.17112317984582323,1.96,0.004096620626514777,0.9606420660018921,30
0.0,248000,504,5.0657700339797886e-05,1.3625077617168426,194.04,0.7847792269289493,5.0,0.19875192808434217,1.82,0.005497795734554529,0.9182237756252288,31
0.0,256000,509,-0.001840195224249328,1.3501023316383363,200.69,0.7257294976711273,5.0,0.16751382804102966,1.97,0.0039800277461472435,0.9635248428583145,32
0.0,264000,512,-0.000725000333331991,1.34115611076355,203.61,0.6280568981170654,5.0,0.1369389631266738,1.91,0.00319712093914859,0.9660667079687119,33
0.0,272000,516,-0.0002686248393729329,1.349022046327591,200.48,0.8205900618433952,5.0,0.19939313177020626,1.97,0.005488604760030285,0.945439071059227,34
