frames,PMM:episode_rewards,grad_norm,advantage_norm,P09:episode_rewards,episode_length,P01:episode_rewards,value_loss,epoch_idx,explained_variance,policy_loss,policy_entropy,fps
8000,1.2894736842105263,4.129139362889151,2.1714020267128946,3.0,181.76315789473685,0.0,0.0787918315789284,1,-1.4587825840711595,-0.0004560370545368642,1.3035202404856683,238
16000,1.2941176470588236,0.23707980482736132,1.1921834354102612,3.0,180.8470588235294,0.0,0.01336535431712946,2,-0.01992018401622772,0.0036395797692239285,1.366545046567917,226
24000,1.5,0.2309622580213854,1.2514249929785728,4.0,189.97,0.0,0.013986597128969151,3,-0.007330535054206848,0.0010249267223116476,1.376478853225708,243
32000,1.44,0.25494799982937494,1.2641866704821587,4.0,186.36,0.0,0.014251054545129592,4,-0.06795121431350708,0.002578717730357312,1.3800616157054901,255
40000,1.58,0.19839151807473365,1.1362961624935268,4.0,190.57,0.0,0.01233847483083082,5,-0.03204914093017578,0.00020282750483602285,1.3844692134857177,262
48000,1.27,0.15587341077812292,0.962037611939013,4.0,178.81,0.0,0.01023897260063677,6,0.00867517054080963,0.0018317170935915783,1.381832903623581,266
56000,1.28,0.23776623069582037,1.3146182987093926,4.0,180.08,0.0,0.015276619398900949,7,0.040089102983474734,0.001436322542722337,1.3784132826328277,269
64000,1.48,0.2543982462377393,1.2878699080646039,3.1000000000000085,187.29,0.0,0.014319078804110177,8,0.026130982637405396,0.0032986402735696173,1.3772333037853242,272
72000,1.12,0.2170296777168287,1.0581521041691304,3.0,173.08,0.0,0.010995275240929914,9,0.11439372956752777,0.002033867602585815,1.3688261747360229,273
80000,1.1,0.22264356915464986,1.029343935996294,3.0,173.49,0.0,0.009831275554897729,10,0.1282566785812378,0.0011487001305795276,1.360060611963272,276
88000,1.26,0.36821060155992497,1.3971369816362857,3.0,176.64,0.0,0.015873722514370456,11,0.2650097393989563,-0.0008709709488334738,1.3594865989685059,277
96000,1.66,0.522366027796647,1.6025416111946107,4.0,190.06,0.0,0.021119067898835057,12,0.6435020017623901,-0.015720332693890667,1.338408282995224,278
104000,2.09,0.4251086252277551,1.4107202836871147,5.0,203.64,0.0,0.014386559741105885,13,0.7604843693971634,-0.0026730140030849724,1.3539929902553558,279
112000,2.16,0.3898172473008577,1.4955306929349899,9.0,204.45,0.0,0.015615768370917067,14,0.7804653030633927,-0.0008800961786164408,1.3412158954143525,281
120000,2.33,0.35605872007388173,1.2845422226190566,9.0,211.35,0.0,0.01197023562155664,15,0.847068133354187,-0.0031957733546732923,1.3314736735820771,282
128000,2.32,0.34168059428215003,1.1859095346927644,7.200000000000017,214.18,0.0,0.009926518882857636,16,0.8709465551376343,-0.00132456402250682,1.3420972609519959,282
136000,2.03,0.3238758670950725,1.0672922852635383,5.0,208.09,0.0,0.008257015739800408,17,0.9128981065750122,-0.0021381194527202753,1.338377307653427,283
144000,1.86,0.35579672571130483,1.210995357632637,5.0,198.83,0.0,0.011106607835972681,18,0.8472826182842255,-0.0027426379459211604,1.3388301622867584,285
152000,1.74,0.27921348855925165,0.9718326479196548,5.0,194.83,0.0,0.006757668261416256,19,0.9245888990163803,0.0013937674873159267,1.3435592889785766,285
160000,2.26,0.284776060776358,0.9719328039884567,6.1000000000000085,213.85,0.0,0.006821270835353062,20,0.9214385950565338,-0.0004226635777195042,1.3382998824119567,286
168000,2.66,0.2589383769047638,0.8958168870210648,7.0,229.89,0.0,0.0059235966636333615,21,0.9437642586231232,0.0006817425561894197,1.3311862695217132,286
176000,2.5,0.21062007305379038,0.7340660378336906,7.200000000000017,221.04,0.0,0.003974088653340004,22,0.9627969813346863,-0.0024051243090070784,1.3465311419963837,287
184000,2.19,0.289483001392488,0.9981582346558571,5.0,211.17,0.0,0.00782833930279594,23,0.8935461241006851,-0.00017524092607345664,1.3438201725482941,287
192000,2.23,0.1861013214168167,0.7021510426700115,8.100000000000009,208.35,0.0,0.0038015582913067192,24,0.9598723071813583,-0.00110814880754333,1.3340616774559022,287
200000,2.07,0.2401886294863601,0.8291910561919212,6.0,203.82,0.0,0.005214000763953663,25,0.9549509650468826,-0.0007381373313546647,1.3336558997631074,287
208000,1.95,0.23098460951526154,0.8115842309594155,5.1000000000000085,200.22,0.0,0.005169346514157951,26,0.9459002244472504,-0.001794817043846706,1.307410832643509,288
216000,2.24,0.20964037559655332,0.7166475185751915,6.0,213.69,0.0,0.00429434917983599,27,0.9554505956172943,-0.0001808081250055693,1.3278681254386902,288
224000,2.02,0.20942941025842363,0.7300708743929863,5.1000000000000085,204.49,0.0,0.004152865060605109,28,0.9587691217660904,-0.00029850465525669276,1.3357760334014892,288
232000,1.83,0.21026518813887424,0.7728956285119056,5.0,199.51,0.0,0.004580269334255717,29,0.958290119767189,-0.000664704856408207,1.346961921453476,289
240000,1.87,0.20174451807198757,0.7364571538567543,5.0,201.27,0.0,0.004020934453583322,30,0.9453819036483765,7.378608250292019e-05,1.3481190502643585,289
248000,1.82,0.20777672626995944,0.7305515632033348,5.0,198.68,0.0,0.00448643566633109,31,0.9617862170934677,-0.0007018701796187087,1.35230441570282,290
256000,2.24,0.23731269911835912,0.9308014258742332,6.1000000000000085,211.13,0.0,0.006617920181015507,32,0.9186658304929733,-0.0007058287941617891,1.3485032212734223,291
264000,2.31,0.18797955504951552,0.699202291071415,7.200000000000017,212.39,0.0,0.003616275308304466,33,0.9618112462759018,-0.0008551353213260882,1.3463924026489258,292
272000,1.94,0.22390871525800526,0.8065269032120704,6.0,198.65,0.0,0.005564731280610431,34,0.9326947581768036,-0.0014122008706908672,1.350468053817749,294
280000,2.03,0.201723763729412,0.7519121605157852,5.1000000000000085,202.87,0.0,0.0044980147888418285,35,0.9571314132213593,-0.00233364161249483,1.3340766870975493,294
288000,2.0,0.17052093233910387,0.6005918864905834,5.0,200.42,0.0,0.0030223494599340484,36,0.9701170426607132,-0.0005921250938263256,1.3490165865421295,294
296000,2.03,0.18020301045894085,0.6506429988145829,5.0,205.27,0.0,0.003312999971967656,37,0.974122177362442,-0.0004206000340633409,1.3490127229690552,294
304000,2.14,0.21495274632747222,0.8169570380449295,5.0,209.22,0.0,0.005482482579536736,38,0.945880885720253,-0.0008730531559558585,1.3525176060199737,295
312000,2.33,0.23440077890276445,0.8700144377350807,6.0,215.31,0.0,0.006216282101813703,39,0.929893958568573,-0.0009431867061357479,1.3454597198963165,295
320000,2.43,0.19929383429444947,0.7295762294530869,8.100000000000009,217.73,0.0,0.00432754746027058,40,0.946608247756958,0.00017517344033421978,1.3689467990398407,296
328000,2.31,0.1627772493217256,0.6276837980747223,6.0,212.74,0.0,0.0030893533356720583,41,0.9733198875188828,-0.0005354758142129867,1.3597655403614044,297
336000,2.18,0.18531068674886547,0.6302196216583252,6.0,210.19,0.0,0.0035584712130366826,42,0.9745437467098236,-0.0023404907435906354,1.34033509016037,298
344000,2.16,0.1786334467846852,0.6700694295763969,6.0,206.87,0.0,0.0034676890523405745,43,0.97073337495327,-0.0019695167037389184,1.3204665827751159,299
352000,2.16,0.15348480378895707,0.5467746835947037,5.1000000000000085,209.8,0.0,0.002242592952679843,44,0.980189113020897,-0.000980441758292727,1.3413238072395324,300
360000,1.99,0.22120241695208825,0.7433555641770363,5.0,203.09,0.0,0.004482448417984414,45,0.9615155959129333,-0.0019170959451003,1.3469893896579743,300
368000,1.83,0.1693517732322048,0.5837508362531661,5.0,196.59,0.0,0.002748003174929181,46,0.9737648963928223,-0.0008806496157194488,1.348223762512207,301
376000,2.18,0.17175424351208116,0.6585071896016598,9.0,204.91,0.0,0.0034151427290635182,47,0.9721352171897888,-0.0010062938365445007,1.3547353076934814,302
384000,2.34,0.15227498770139944,0.5642719538509846,9.0,213.09,0.0,0.002513716600369662,48,0.9800818365812302,-0.000673263112839777,1.3444223165512086,302
392000,2.19,0.17827362972447547,0.6510525876283646,6.300000000000026,206.66,0.0,0.0034495754659292287,49,0.95660305082798,-0.0008012078260799171,1.3658609330654143,302
400000,1.86,0.1615720602003318,0.6580067181587219,5.0,196.1,0.0,0.0034609506098786367,50,0.9658342748880386,-0.0005637970188399776,1.3566729307174683,303
408000,2.12,0.1765332640905294,0.7133040153980255,5.1000000000000085,205.5,0.0,0.004461727880116086,51,0.8928320932388306,-0.00028042101999744775,1.3616417002677919,303
416000,2.28,0.22402422711714462,0.8095537239313125,6.200000000000017,212.2,0.0,0.005471476092061493,52,0.9440504157543183,-0.0006256918974395376,1.3651118576526642,304
424000,2.1,0.20681276551952585,0.8178636181354523,6.0,209.65,0.0,0.0051568894338561225,53,0.9462501096725464,0.000520888039318379,1.3653210878372193,304
432000,2.04,0.22102207073083688,0.8532250240445137,5.1000000000000085,208.68,0.0,0.005902237319969572,54,0.9301132249832154,-0.0012278510819305666,1.3663727247714996,304
440000,2.06,0.21751306964346967,0.832287959754467,6.0,205.26,0.0,0.005844288265216165,55,0.9143088310956955,-0.000406061030444107,1.3657731091976166,305
448000,2.2,0.38688502742515885,1.420284644663334,6.0,207.94,0.0,0.014111274118768051,56,0.7740315991640091,-0.0005327139807013736,1.3670527684688567,305
456000,2.11,0.21977337487711832,0.8343533796072006,5.0,208.21,0.0,0.005026664775214158,57,0.9536088114976883,-0.0024530042131664233,1.3569930589199066,306
464000,2.21,0.17612581138604866,0.7094045342504978,5.0,210.5,0.0,0.004128025794052519,58,0.960534633398056,-0.0007584114267956465,1.3474087047576904,306
472000,2.02,0.14605780088516274,0.5648025652766228,5.0,203.47,0.0,0.002399327470047865,59,0.9756587141752243,-0.0010587715610017767,1.3508291852474212,306
480000,1.88,0.2097558526523351,0.8536832424998283,5.0,202.81,0.0,0.00581310999172274,60,0.9338691401481628,-0.0013244638070318616,1.350184487104416,306
488000,2.13,0.156760463113933,0.6065300269424916,5.0,210.79,0.0,0.002843604923400562,61,0.9592420732975007,-9.872037480818108e-06,1.3584441924095154,307
496000,2.27,0.2300928659533886,0.8615725320577622,6.1000000000000085,213.38,0.0,0.005798407351248897,62,0.9395373451709748,-0.0026303979993826943,1.3515652632713318,307
504000,2.45,0.18450384539066778,0.7030988562107087,8.100000000000009,217.86,0.0,0.003809816596622113,63,0.9683486127853393,2.2814615804236382e-05,1.354302738904953,308
512000,2.8,0.1495615423805955,0.5820811629295349,9.0,231.49,0.0,0.002889729317394085,64,0.9768240314722061,-0.00012014517444185912,1.3427698051929473,308
520000,2.79,0.17143092282959912,0.700678360760212,9.0,230.14,0.0,0.004009973161155358,65,0.9575082087516784,-0.0005725169516517781,1.3485383296012878,309
528000,3.22,0.17726555822811052,0.6995991179347039,9.0,245.59,0.0,0.0037417749885935337,66,0.967013755440712,-0.0008177708522998728,1.3495197892189026,309
536000,3.31,0.2894576167841152,1.0724633407592774,9.0,247.36,0.0,0.00847327735973522,67,0.9109425604343414,-0.002339919377991464,1.3583008778095245,309
544000,3.02,0.3146624512917173,1.1793591371178627,9.0,235.96,0.0,0.01041955702472478,68,0.8914908587932586,-0.0027167341782478615,1.3460825622081756,309
552000,2.71,0.2439054476722153,0.9650070935487747,6.1000000000000085,225.56,0.0,0.006488760092761368,69,0.9256511747837066,-0.001162991043238435,1.348910254240036,310
560000,2.36,0.24230997362763762,0.9608714213967323,6.0,216.68,0.0,0.006893734026234597,70,0.9350326061248779,-0.0011252792237064569,1.3447410547733307,310
568000,2.51,0.22129451737930173,0.8208192649483681,6.200000000000017,221.01,0.0,0.005133091364405118,71,0.9429123491048813,-0.0025868545169942083,1.3504815936088561,310
576000,2.42,0.185136149797843,0.7341708943247796,6.0,218.37,0.0,0.004137155781500042,72,0.9602235871553421,0.0007063673192169518,1.3398580765724182,310
584000,2.41,0.22115962286054575,0.8985681518912315,5.1000000000000085,220.48,0.0,0.005698354259366169,73,0.9520435816049576,-0.000990835111697379,1.3417359459400178,310
592000,2.68,0.2895921808167778,1.1230265939235686,6.0,227.01,0.0,0.009266933065373451,74,0.901469184756279,-0.001973565714433789,1.3480700302124022,311
600000,2.46,0.24668890010348224,0.9748598951101303,6.0,217.69,0.0,0.006940765351173468,75,0.9291373366117477,-0.0003736650671635289,1.3421170890331269,311
608000,2.43,0.27926522371826606,1.0017687821388244,6.0,220.67,0.0,0.008073762090643867,76,0.9263068354129791,-0.0034401284903287886,1.3419580328464509,311
616000,2.5,0.23317239456429747,0.9242621967196465,6.0,223.43,0.0,0.005950091717531905,77,0.9197484719753265,-0.0004024295386625454,1.353922539949417,311
624000,2.74,0.24252121499856802,0.9280224913358688,6.1000000000000085,230.5,0.0,0.006331326805520803,78,0.9335826009511947,-0.0006949188451471855,1.3432323932647705,311
632000,2.79,0.3105033464247869,1.193910466134548,6.200000000000017,230.57,0.0,0.009705250001279636,79,0.8932966727018357,0.00031402323904330845,1.3489469480514527,312
640000,2.93,0.3101311606151977,1.1721097013354302,6.0,239.03,0.0,0.009822271829470992,80,0.8884530347585679,-0.0025699445069767533,1.3473817145824432,312
648000,2.89,0.23347621182260817,0.9495032525062561,7.0,233.35,0.0,0.00631349127041176,81,0.9375178402662278,-0.00014335779589600862,1.3438730800151826,312
656000,3.07,0.23773540532157691,0.9580707040429115,9.0,235.92,0.0,0.006595975926611573,82,0.9428493362665177,-0.00047875371121335774,1.343324761390686,312
664000,3.42,0.26617313889082594,1.0208382818102837,9.100000000000009,247.23,0.0,0.007488038351293653,83,0.9138281899690628,-0.0010452648600039539,1.3458915615081788,313
672000,3.04,0.21740847100224203,0.8574444684386253,8.100000000000009,239.56,0.0,0.005293045524158515,84,0.9475460815429687,-0.0016016807284904644,1.3307641661167144,312
680000,2.65,0.2904574492446565,1.1136389335989951,7.1000000000000085,226.16,0.0,0.008757127346470953,85,0.9102689051628112,-0.0006643558130599559,1.3346460437774659,312
688000,2.67,0.28728073049668,1.0983078056573867,7.0,228.16,0.0,0.008506751430686563,86,0.9158591169118881,-0.0015513545460999012,1.3337367963790894,313
696000,2.7,0.2550076036937765,0.9621910709142685,7.1000000000000085,227.81,0.0,0.006700245968531817,87,0.9405285406112671,-0.002154131439747289,1.3339807152748109,313
704000,2.91,0.28591469681887144,1.053551506102085,8.0,235.99,0.0,0.007592503799824044,88,0.9308543258905411,-0.0017801518362830393,1.33812197804451,313
712000,3.03,0.29874889245049846,1.1978704899549484,9.0,238.05,0.0,0.009785155111458152,89,0.9024333566427231,0.0013340380547742824,1.340618680715561,313
720000,3.47,0.3485844934024636,1.3207543540000914,10.0,254.0,0.0,0.012086184611544013,90,0.8684134721755982,-0.004088520156801678,1.3101348507404327,314
728000,3.4,0.307769007580292,1.2022803235054016,8.200000000000017,249.18,0.0,0.009934811361599714,91,0.8843076735734939,-0.0018361678812652826,1.3210544455051423,314
736000,3.34,0.3309706595253617,1.294210631251335,8.0,248.43,1.0,0.011254342226311564,92,0.8721025270223618,-4.280029097571969e-05,1.3236081635951995,314
744000,3.2,0.4042787095123554,1.327648973464966,7.1000000000000085,241.64,0.0,0.012041199503000826,93,0.8663293468952179,-0.006613429284188896,1.317560715675354,314
752000,3.29,0.3557379248304246,1.298076853454113,8.100000000000009,244.89,0.0,0.011568587005604059,94,0.859032998085022,-0.0017180426773848012,1.3147179901599884,314
760000,2.99,0.317169705023336,1.1881313449144364,7.0,233.4,0.0,0.00983698392752558,95,0.9063175463676453,-0.004538684696235577,1.314699388742447,314
