avg_q_retraced,fps,rollout_prob_std,advantage_norm,P09:episode_rewards,model_prob_std,policy_gradient_loss,policy_entropy,avg_q_selected,frames,grad_norm,policy_gradient_bias_correction,explained_variance,episode_length,P01:episode_rewards,epoch_idx,PMM:episode_rewards,q_loss,policy_loss
-0.017815511549512546,460,0.03766907416284084,0.08687193368872007,0.0,0.03766907441119353,0.00042518619399440163,2.138349183400472,-0.017184985646357138,7200,0.04086570593081999,0.0,-21.07773888905843,0,0.0,1,0.0,0.000726127953142471,0.00042518619399440163
0.2722884150532385,625,0.07842181008309126,0.3485377567975471,0.0,0.07842181501910091,-0.0008622764869263241,1.7947307313481966,0.27543391729705036,14400,5.148550422131513,1.915466487969105e-09,-978.6251629829407,0,0.0,2,0.0,0.27884106555381244,-0.0008622745214476405
-0.005448863127579292,647,0.010297975347687801,0.008240131645773847,0.0,0.010297975564996401,0.00013412452850995274,2.192960286140442,-0.005527877132408321,21600,0.005694067064445771,0.0,-262.7033425649007,0,0.0,3,0.0,4.8730744371520514e-05,0.00013412452850995274
-0.005655479012057185,678,0.011977884452790022,0.025263170758262277,0.0,0.011977884483834108,0.00012606965954849633,2.1913763999938967,-0.005790682261188825,28800,0.003062540837444624,0.0,-31.826740328470866,0,0.0,4,0.0,2.917231871227462e-05,0.00012606965954849633
-0.005529952965055903,724,0.009095805836841464,0.011064149509184062,0.0,0.009095805945495765,0.00011891222111444222,2.1937618096669516,-0.005577600778390964,36000,0.0012539123657749382,0.0,-41.09203437169393,0,0.0,5,0.0,8.010492481010563e-06,0.00011891222111444222
-0.005507118239377936,687,0.010324473089228074,0.021381261758506298,0.0,0.010324473089228074,0.0001352480219793506,2.1928059895833334,-0.005611446406692267,43200,0.001762455841994534,0.0,-11.400468667348227,3324.6666666666665,0.0,6,0.0,1.3469520843045757e-05,0.0001352480219793506
-0.006356421935682495,658,0.00849356601635615,0.006562066931898395,0.0,0.008493565985312064,0.00012200151492531101,2.1943320910135906,-0.006394899915903807,50400,0.001792925198621709,0.0,-61.47724059422811,3324.6666666666665,0.0,7,0.0,1.0499611816309577e-05,0.00012200151492531101
-0.007319102094819148,640,0.008362333290278912,0.005942843124891321,0.0,0.008362333104014397,0.0001783668059943011,2.1943381786346436,-0.007511676071832577,57600,0.0024102318774017113,0.0,-75.87695751190185,3324.6666666666665,0.0,8,0.0,8.886428202004026e-06,0.0001783668059943011
-0.004622730628276865,618,0.008708842533330123,0.0168792055764546,0.0,0.00870884262646238,0.00010596420745514478,2.1940786520640057,-0.0046713516426583135,64800,0.0015213484994300523,0.0,-18.56264019012451,3324.6666666666665,0.0,9,0.0,1.0085914239728784e-05,0.00010596420745514478
-0.004494864695395033,539,0.007924527317906419,0.012696369046655795,0.0,0.007924527286862333,0.00010106536907793877,2.1945698738098143,-0.004516808688640595,72000,0.0012007247393128488,0.0,-32.278895473480226,3324.6666666666665,0.0,10,0.0,6.566257805692052e-06,0.00010106536907793877
-0.004569275102888544,521,0.009311884253596267,0.023431478665831187,0.0,0.009311884284640352,9.605414810115084e-05,2.1936816215515136,-0.004660338240986069,79200,0.0017029687147161476,0.0,-12.351467672983805,3324.6666666666665,0.0,11,0.0,1.2351997166130483e-05,9.605414810115084e-05
-0.003942095131302874,518,0.006799077025304238,0.007905074286585052,0.0,0.006799077102914453,0.00010187838148946563,2.1953423738479616,-0.004011643196766575,86400,0.0006388205635355647,0.0,-13.627072143554688,3324.125,0.0,12,0.0,2.328736320578173e-06,0.00010187838148946563
-0.006008499511517584,518,0.007655002487202485,0.005121428690229853,0.0,0.007655002487202485,0.00012032723437490252,2.1948314984639485,-0.0060784608824178575,93600,0.001331787701505238,0.0,-51.67542537053426,3324.125,0.0,13,0.0,4.367517160138353e-06,0.00012032723437490252
-0.004199585543634991,517,0.006506264085570971,0.00578011991456151,0.0,0.006506263992438714,0.00010799489282362629,2.1954893430074054,-0.004222449955220023,100800,0.000845873977177007,0.0,-23.16924719810486,3324.125,0.0,14,0.0,2.4020618657990175e-06,0.00010799489282362629
-0.004165891488082707,517,0.008853707105542223,0.023807426759352286,0.0,0.008853707307328781,9.151329752417799e-05,2.1940398613611856,-0.004183207778260112,108000,0.0016045577670775503,0.0,-14.581273142496745,3324.125,0.0,15,0.0,1.1390408415460722e-05,9.151329752417799e-05
-0.0034799016003186503,519,0.006540407240390777,0.008252855436876417,0.0,0.006540407069648305,7.431051938813956e-05,2.1954349597295124,-0.0034857392388706406,115200,0.0007265988766606284,0.0,-19.379777971903483,3324.125,0.0,16,0.0,3.3952935950765096e-06,7.431051938813956e-05
-0.0042385471379107215,510,0.013394828174884124,0.039015961545039085,0.0,0.008521625437470714,4.356549392158495e-05,2.1942844095873455,-0.0042015108880346696,122400,0.001890536302180871,5.963946838852236e-06,-9.014132149749335,3324.0833333333335,0.0,17,0.0,4.670723984213329e-05,4.952944231277681e-05
-0.003870318361663348,493,0.017666538312572925,0.01853989715172377,0.0,0.008584197611392785,7.440375556168671e-05,2.1942129579422964,-0.0039007445418604817,129600,0.0008634815797385591,5.816789875840612e-06,-3.8927652175085883,3324.0833333333335,0.0,18,0.0,1.715299056771286e-05,8.02205453660535e-05
-0.0032173515484660922,479,0.019731785821846672,0.015212067482117122,0.0,0.008241883543826314,7.789334712376174e-05,2.1943656655058033,-0.0032686836699750053,136800,0.0006631338037890441,6.397808114377494e-06,-5.611676376946861,3324.0833333333335,0.0,19,0.0,1.3804179331184658e-05,8.429115510820236e-05
