episode_length,fps,P09:episode_rewards,explained_variance,grad_norm,frames,PMM:episode_rewards,epoch_idx,P01:episode_rewards,value_loss,advantage_norm,policy_loss,policy_entropy
167.11627906976744,341,3.0,-0.4712831211090088,1.3035173789900854,8000,1.0,1,0.0,0.025767704653189866,1.3961365033313633,0.008841086641914443,1.3536772787570954
168.41666666666666,171,3.0,0.03742589056491852,0.2108776168093761,16000,1.03125,2,0.0,0.012692867873902287,1.133548531755805,0.0027762884322874016,1.3626559782028198
171.0,205,3.0,0.006576899290084839,0.19571734299501667,24000,1.09,3,0.0,0.011536998288829637,1.0925581339746713,0.0016380638326518237,1.358769235610962
169.96,228,3.0,-0.08918351590633393,0.20148459036242675,32000,1.08,4,0.0,0.011424625938016107,1.0746834801137448,-0.0003243987061432563,1.3696052932739258
176.82,244,3.0,0.024690113067626952,0.2537969043835974,40000,1.33,5,0.0,0.016659195483589427,1.3891644603013993,0.002110091295908205,1.3792879509925842
177.91,258,3.0,-0.0005226480960845947,0.23264967160917965,48000,1.37,6,0.0,0.012222396377856057,1.1310505267977715,-0.00026679942791815845,1.379554932117462
172.81,269,3.0,0.045838624238967896,0.22759057900137855,56000,1.16,7,0.0,0.013141434300778201,1.1580415702611209,0.0018609225637919735,1.3774646544456481
174.24,278,3.0,0.032467833161354064,0.24097081046048274,64000,1.21,8,0.0,0.014042915053905744,1.2051569794863461,0.0036708106778678483,1.3707111144065858
170.86,284,3.0,0.02274965524673462,0.19878225728713525,72000,1.14,9,0.0,0.011129615849495168,1.0556335100531578,-0.0003893250277906191,1.383779364824295
175.76,290,3.0,0.09578798532485962,0.25322684305409626,80000,1.21,10,0.0,0.01300588272017194,1.2906113494932652,-0.0007638165657408535,1.3751448917388915
180.41,295,3.0,0.1105919224023819,0.25450382359133117,88000,1.3,11,0.0,0.011972805953846546,1.1841268599033357,0.002276049928041175,1.3713120985031129
173.21,299,3.0,0.2257726526260376,0.2698801518873743,96000,1.15,12,0.0,0.012206114341752254,1.2131921930611134,0.00018884240475017578,1.3785704433918
172.54,304,3.0,0.515007095336914,0.3150384636379424,104000,1.15,13,0.0,0.01149886600614991,1.2541394478082657,-0.004378352846251801,1.364721783399582
187.56,307,4.0,0.5893898248672486,0.4487553962796482,112000,1.51,14,0.0,0.016464151492109523,1.491722786128521,-0.005461814274312928,1.3650153529644014
200.81,311,5.0,0.7822234880924225,0.39304592226334234,120000,1.93,15,0.0,0.013662846403894946,1.386052942276001,0.0008118106558686122,1.3533358800411224
202.42,314,7.0,0.8645765924453735,0.33123549378701994,128000,2.03,16,0.0,0.00954648814164102,1.1747251129150391,-0.0029009037955256643,1.3445108795166016
212.39,317,6.1000000000000085,0.8519249320030212,0.3339357386766783,136000,2.25,17,0.0,0.011047600689344107,1.2449539944529533,-0.0011645686090923845,1.3502021789550782
192.83,319,5.0,0.9127839589118958,0.27795387100454005,144000,1.76,18,0.0,0.0066361478448379784,0.9620617371797562,-0.000876843212172389,1.342749855518341
209.86,326,6.200000000000017,0.899513059258461,0.31506904807162456,152000,2.2,19,0.0,0.008527740254066885,1.0846724048256875,-0.0028234395061735996,1.3151342070102692
202.92,332,6.1000000000000085,0.9416377764940261,0.2449772326812686,160000,1.99,20,0.0,0.006011770844925195,0.8969469210505485,-0.0011690121370338603,1.319190422296524
217.93,338,7.200000000000017,0.9515210169553757,0.23673158209299427,168000,2.41,21,0.0,0.00539869066211395,0.8793486520648003,-0.0026539172799675726,1.3111416172981263
217.98,345,8.100000000000009,0.9586807513236999,0.18371652161915658,176000,2.44,22,0.0,0.004249554214184172,0.7475094455480575,0.00017636689866776578,1.3299668908119202
215.95,351,5.0,0.9639582622051239,0.17825873882132245,184000,2.26,23,0.0,0.003414812776609324,0.659564708173275,-0.000883957367432231,1.3417287743091584
204.19,356,5.0,0.9431839042901993,0.2199872388220304,192000,1.96,24,0.0,0.005651450386212673,0.8344700907170772,-0.000797237981332728,1.3359799313545226
199.68,361,5.0,0.9558345001935958,0.2114604480959694,200000,1.84,25,0.0,0.004618845084332861,0.7558931547403336,0.0002469757423386909,1.3553596174716949
203.57,368,5.0,0.9491671168804169,0.182471114288712,208000,1.91,26,0.0,0.004186346963397227,0.7242957875132561,-0.0017984845445607788,1.3365644943714141
204.84,372,5.0,0.9740630441904068,0.17033264335819223,216000,1.97,27,0.0,0.003087005283596227,0.615057413727045,-0.00151607712963596,1.3320066702365876
189.76,376,5.0,0.9701556479930877,0.16047547507701662,224000,1.61,28,0.0,0.002921866640099324,0.6229721738398075,-0.001407794672413729,1.3447918486595154
196.66,375,5.0,0.9781366169452668,0.1466124445844152,232000,1.77,29,0.0,0.002480446043482516,0.5619411534070968,-0.0018041087198071182,1.3185533607006072
221.91,380,6.0,0.9531175971031189,0.20305663139078575,240000,2.5,30,0.0,0.00513364729937166,0.7989497211575508,-8.986666798591614e-06,1.3321166670322417
214.33,384,6.200000000000017,0.9779227221012116,0.12938300179811654,248000,2.38,31,0.0,0.0020119661174248906,0.500255931019783,-0.0002163558264146559,1.3451109552383422
197.61,389,5.0,0.9802238577604294,0.13744638995699124,256000,1.82,32,0.0,0.001892709724488668,0.5068522180616856,-0.0004627383346087299,1.3506831908226014
195.26,393,5.0,0.9372925406694412,0.21199701724637735,264000,1.68,33,0.0,0.005515145210665651,0.8310802249610424,-0.0004139779481920414,1.3627806961536408
204.07,398,6.0,0.8969750666618347,0.27888726042407863,272000,1.95,34,0.0,0.008972312747500837,1.1272118479013442,-0.00032960795768303795,1.36351535320282
209.12,401,6.0,0.9265243184566497,0.21666917626048995,280000,2.08,35,0.0,0.0061009266128530725,0.8943809516727924,-0.0017935670740553177,1.357120442390442
198.27,405,5.0,0.9507774239778519,0.18125508915699104,288000,1.83,36,0.0,0.004588972089113668,0.7361929959058762,-0.0010857162694446743,1.3484448957443238
200.85,408,5.0,0.9789755529165268,0.12193975543023651,296000,1.9,37,0.0,0.002335285043227486,0.5314069721102714,-0.0007063092965836404,1.3447759711742402
210.69,412,6.0,0.9436133378744125,0.205171153112558,304000,2.19,38,0.0,0.005195949591870886,0.8015056632459163,-0.0013387413386953995,1.3523805904388428
206.23,415,6.0,0.9085663431882858,0.26733554303971424,312000,2.01,39,0.0,0.007681870977394283,0.9118911182880401,-0.0011812483188714396,1.3597039663791657
213.82,418,6.0,0.9259116715192794,0.27579100751411256,320000,2.26,40,0.0,0.00804922462964896,0.9556872892379761,-0.00014546691731084137,1.35340718626976
205.59,421,5.0,0.9392186737060547,0.23280295029277442,328000,2.03,41,0.0,0.006751574520894792,0.924758893251419,-0.0003634992477600463,1.3447902774810792
200.86,425,5.0,0.9614848303794861,0.1634479338051769,336000,1.94,42,0.0,0.0037872537545626983,0.6873983293771744,-0.00040589631971670314,1.3588633775711059
200.36,429,5.0,0.9616242522001266,0.17140640884980737,344000,1.86,43,0.0,0.0038071161275729536,0.6837245693802834,-0.002039048686856404,1.3378760123252869
