grad_norm,policy_loss,clip_fraction,policy_entropy,episode_length,frames,advantage_norm,explained_variance,value_loss,PMM:episode_rewards,P09:episode_rewards,P01:episode_rewards,fps,epoch_idx,approx_kl_divergence
2806061.4610033007,0.08404999003346347,0.57236328125,1.1047470594698552,330.3103448275862,10240,15.968715703487396,-17.25599799603224,1055893.523462738,56.03448275862069,155.0,0.0,471,1,1037.1829759038724
0.12088122883636088,-0.0006323235294985353,0.30146484375,1.7330869808793068,333.11475409836066,20480,15.968716889619827,-1.564621925354004e-08,0.009044086713765864,103.27868852459017,200.0,0.0,359,2,0.004654266796660522
0.05082936883865304,-0.0011924158767214975,0.212158203125,1.7557676531374455,331.7608695652174,30720,15.968717116117478,-1.0430812835693359e-08,0.009081372809961862,130.97826086956522,272.5000000000001,0.0,397,3,0.0032597448694332344
0.05316486741361219,-0.001680145900536445,0.269140625,1.7541890911757947,336.09,40960,15.968717640638351,1.4528632164001465e-08,0.008702904931760713,174.25,425.0,50.0,414,4,0.0035833771350041845
0.053893766259299404,-0.0014819187279499601,0.21416015625,1.7795297108590602,332.55,51200,15.968717604875565,-2.5331974029541015e-08,0.008412446043894305,174.25,425.0,25.0,428,5,0.002788932019464596
0.05151279817459294,-0.0018766485616652062,0.2625,1.7607276923954487,328.94,61440,15.968716937303544,2.6077032089233397e-09,0.007168757973295215,150.5,277.5000000000002,25.0,446,6,0.0036929078675939308
0.053768104137686255,-0.001261716307635652,0.2203369140625,1.7675520718097686,325.21,71680,15.968705141544342,4.8428773880004884e-09,0.008211000448287108,148.75,280.00000000000045,25.0,457,7,0.0030567706431668283
0.0522337718932266,-0.001833641507982975,0.222119140625,1.7747382067143918,324.03,81920,15.96871719956398,6.7055225372314455e-09,0.00726939580194994,152.25,427.5000000000002,25.0,460,8,0.0028707650182525414
0.05017040389056315,-0.0014830932872428094,0.2109619140625,1.7685415968298912,327.6,92160,15.968717294931412,-1.080334186553955e-08,0.007075966589491145,157.25,427.5000000000002,25.0,468,9,0.0025766570135260735
0.050426901607330335,-0.0015997816019080347,0.279443359375,1.766947553306818,323.44,102400,15.96871663928032,5.215406417846679e-09,0.006545996335535165,127.25,277.5000000000002,25.0,474,10,0.0036598174262280738
0.05438312741654409,-0.0013797206098388414,0.2518798828125,1.7805257737636566,333.8,112640,15.968716871738433,2.1979212760925294e-08,0.0079610689432684,144.25,300.0,25.0,478,11,0.0035376845079326813
