fps,grad_norm,PMM:episode_rewards,value_loss,policy_loss,frames,P09:episode_rewards,advantage_norm,P01:episode_rewards,policy_entropy,explained_variance,episode_length,epoch_idx
565,46.79890567700117,0.8979591836734694,2.314391033644288,0.09912726260125054,8000,2.0,5.38795535121113,0.0,1.3406670285761357,-10.130083544254303,158.89795918367346,1
375,0.07857288109020895,1.1263157894736842,0.005799443709893239,0.00010394521457783412,16000,3.0,0.7451888531446457,0.0,1.3818061125278474,-2.2261463099718095,169.65263157894736,2
448,0.06267357046674123,1.14,0.004624015575345765,0.00032433260267168863,24000,3.0,0.606401835847646,0.0,1.3852011227607728,-2.0600478023290636,171.56,3
504,0.061537607303490914,1.06,0.005428822170683816,0.00047149480524240063,32000,3.0,0.6781050761044025,0.0,1.3857139074802398,-2.3189827555418017,169.21,4
547,0.09174660262330547,1.36,0.006725381723376813,0.0009802138336817733,40000,3.0,0.8216601259633899,0.0,1.384718141555786,-1.904437536597252,181.5,5
580,0.06594509197112335,1.71,0.005896222413966825,0.00039963000774150714,48000,4.0,0.7435384071618318,0.0,1.3839153373241424,-1.346916229724884,194.34,6
606,0.12494696941879263,1.53,0.006630627974118397,0.004292569095705403,56000,3.0,0.8105320733040571,0.0,1.3843387186527252,-1.1300469362735748,185.05,7
628,0.07876686514068569,1.36,0.0050479765045929525,0.0005688522836135235,64000,3.0,0.6439651158452034,0.0,1.3817525136470794,-2.333320738077164,180.54,8
649,0.07695589544010756,1.4,0.005659202569204353,8.542747818864882e-06,72000,3.0,0.7314911796152592,0.0,1.3803561687469483,-1.8494485396146774,184.1,9
667,0.07827169163864671,1.36,0.00495868216306917,0.000548391428674222,80000,3.0,0.6658302007615566,0.0,1.3777635729312896,-1.993082389831543,180.72,10
684,0.0892740597558917,1.27,0.0054518621390798215,-0.0002337232131685596,88000,2.1000000000000085,0.7128835264220834,0.0,1.3770028471946716,-2.4886573004722594,176.45,11
699,0.09470550507818729,1.33,0.005714638973022375,0.0003388624932267703,96000,3.0,0.7547861343622208,0.0,1.375832427740097,-1.5069508731365204,179.57,12
713,0.10857016866579075,1.36,0.005864433825190645,7.718989159911871e-05,104000,4.0,0.7754365989565849,0.0,1.3710389196872712,-1.7579161167144775,181.67,13
726,0.11642165580231045,1.75,0.006000939779987675,-0.0001295674138236791,112000,4.0,0.7812917908281087,0.0,1.379189305305481,-2.7508340680599215,199.17,14
734,0.09677095556887655,1.45,0.004273654721364437,8.251496401499026e-06,120000,3.0,0.6403737964481115,0.0,1.3810330438613891,-2.848639957308769,186.15,15
744,0.11304366223968033,1.1,0.004099945378548,0.00037821075457031836,128000,2.1000000000000085,0.6368294582515955,0.0,1.3771843791007996,-1.9887370318174362,171.62,16
749,0.13627774743806026,1.18,0.005006907071583555,0.0004594722925685346,136000,3.0,0.7388076887279749,0.0,1.378789347410202,-2.0032465201616287,175.92,17
758,0.18741251505371884,1.43,0.004852124751851079,0.003400979342695791,144000,3.0,0.7123181991279125,0.0,1.384433171749115,-2.2715130281448364,182.45,18
761,0.13383548453386174,1.35,0.004099229518760694,-0.001638132806547219,152000,3.0,0.6690276572108269,0.0,1.3792441093921661,-2.652572193145752,178.09,19
768,0.1166889206954958,1.26,0.0035915922576532466,0.00016172859293874352,160000,3.0,0.6176772232353688,0.0,1.3747195196151734,-1.6694367414712905,174.68,20
771,0.11648975161049481,1.4,0.0036455334850325014,-2.5234112108591944e-05,168000,3.0,0.635870386660099,0.0,1.3789593827724458,-2.4879387426376343,179.86,21
776,0.10757074450961447,1.27,0.0029096979445239414,-0.0004624272770888638,176000,3.0,0.5510450404137373,0.0,1.3830039823055267,-2.81117564201355,175.64,22
779,0.13684233813095056,1.15,0.0032888005562563194,-0.0008930685481755063,184000,3.0,0.6155690378695726,0.0,1.3846396255493163,-1.4025212585926057,171.15,23
783,0.121179928935697,1.25,0.00297474161379796,-3.148107032757253e-05,192000,3.0,0.5647588435560464,0.0,1.3837848126888275,-9.733984463214874,176.65,24
788,0.10668830036931004,1.57,0.0035152458866650705,-0.00026271862006979065,200000,3.0,0.6362818403542042,0.0,1.3843673193454742,-1.6945122957229615,190.29,25
791,0.10705757469850954,1.48,0.002488502265914576,-0.0005502033772063442,208000,3.1000000000000085,0.5330957053601741,0.0,1.3844150257110597,-1.9775068390369415,184.73,26
795,1.4454194751719687,1.24,0.0433739103229891,-0.034711591498635244,216000,3.0,0.8752658772468567,0.0,1.3831762278079986,-5.263167927265167,175.33,27
798,0.08888360774022942,1.26,0.0020630667539080607,5.839327670400962e-05,224000,3.0,0.45457250833511353,0.0,1.381725516319275,-2.046759211421013,176.97,28
801,0.10574765136714034,1.65,0.0031414804108499082,0.0004514549404848367,232000,5.0,0.5720245607942342,0.0,1.3833415722846985,-3.3527181273698807,191.43,29
805,0.092109999740955,1.57,0.0024428519614593824,0.00030091246517258694,240000,4.0,0.49254556879401207,0.0,1.3845013308525085,-2.310388125181198,188.67,30
807,0.0727591609387573,1.18,0.0014208057798896334,-0.0007518110831097147,248000,3.0,0.37374426528811455,0.0,1.3846801376342774,-3.461601719856262,173.54,31
810,0.09130735179923594,1.2,0.002592611250747723,0.0004996999516151846,256000,3.0,0.5040470585972071,0.0,1.3851380920410157,-1.848852733373642,174.94,32
812,0.1511351766468374,1.28,0.002866455472794769,-0.0024399626007652843,264000,3.0,0.46416060112416746,0.0,1.3851018452644348,-2.1611218780279158,178.27,33
814,0.0841512216544691,1.17,0.002147466109618108,0.00020799375168280675,272000,3.0,0.462875040397048,0.0,1.3844733202457429,-10.939391577839851,173.51,34
816,0.10795235820742835,1.51,0.0030116199106851125,-0.00023245501375640743,280000,4.0,0.5839389666169882,0.0,1.383358087539673,-1.794822453856468,189.02,35
818,0.08257540869210034,1.39,0.0017453233342530439,-9.458896151045338e-05,288000,3.0,0.42640444815158846,0.0,1.3848622131347657,-6.799953211545944,184.21,36
820,0.09532335395482247,1.33,0.0026966256164814694,0.00023034941405057906,296000,3.1000000000000085,0.5286184743791819,0.0,1.3834040093421935,-2.375959216952324,181.01,37
822,0.07598291006764468,1.33,0.0021310007896317984,-6.77755864126084e-05,304000,4.0,0.4537093549221754,0.0,1.3852953398227692,-1.6321935647726058,181.61,38
824,0.08257985318929865,1.48,0.0025044424480802265,7.99464448937215e-05,312000,4.0,0.48631066888570784,0.0,1.3827922427654267,-1.8229537856578828,187.45,39
826,0.09142874896344623,1.43,0.0026132539072386864,0.00020597482667653822,320000,4.0,0.5260022896528244,0.0,1.3840827298164369,-1.4658770060539246,185.36,40
828,0.0980148800546216,1.73,0.002610354377356998,4.917976635624655e-05,328000,4.0,0.5206045261770487,0.0,1.3846149265766143,-3.254041628241539,196.98,41
830,0.08385522767459377,1.73,0.0019866974723481688,2.3604490415891632e-05,336000,4.0,0.4499674404412508,0.0,1.3841568148136139,-4.176789455413818,197.78,42
831,0.08045350099985553,1.4,0.0019606168626705766,-5.414750323723183e-05,344000,3.0,0.44463054932653906,0.0,1.3840242147445678,-6.340228701233864,184.85,43
832,0.06771039182000518,1.29,0.0015066796739301935,-0.0001349176821895526,352000,3.0,0.3766379006206989,0.0,1.3852027297019958,-2.7760688734054564,180.71,44
833,0.08444916559896402,1.16,0.0019650977947821956,5.754030376010632e-05,360000,3.0,0.42999537620693445,0.0,1.3845835161209106,-4.058042377829552,174.37,45
835,0.06856020240265576,1.12,0.0016330474601818424,0.00016303221767884678,368000,3.0,0.40067921254783867,0.0,1.3840177071094513,-10.42734809756279,170.42,46
836,0.07739774010654772,1.12,0.0015619891846654355,0.00016865670695551672,376000,3.0,0.3840427002310753,0.0,1.3849190163612366,-2.554824866652489,169.81,47
837,0.07791574090247329,1.2,0.001659509365890699,-7.089732403983362e-05,384000,3.0,0.4060137739777565,0.0,1.3833121848106384,-1.518232629299164,174.72,48
838,0.06633805876695795,1.4,0.0014506703849656332,-0.00044792303240683397,392000,4.0,0.3754810244217515,0.0,1.3809560549259186,-1.859476483464241,182.95,49
839,0.06814259540662218,1.31,0.0013293615866859908,0.000422043956205016,400000,4.0,0.35762462627142666,0.0,1.385141407251358,-2.566077743768692,179.65,50
840,0.08052326673917558,1.3,0.002042322849501943,6.004592141835019e-06,408000,3.0,0.4591969905048609,0.0,1.3834005558490754,-8.358568052053451,179.65,51
841,0.06712564726852792,1.53,0.001708879182315286,2.8357329210848547e-05,416000,4.0,0.40541387733072043,0.0,1.380146642923355,-3.521908779144287,188.24,52
842,0.0768361498113086,1.66,0.002182627832517028,-0.00011999800524790771,424000,4.0,0.4665766318142414,0.0,1.3833669805526734,-1.149866955280304,193.46,53
843,0.08235731473107659,1.35,0.002164387132634147,-0.000349837997200666,432000,3.0,0.47061361230909826,0.0,1.3843334364891051,-5.542786347270012,183.3,54
844,0.07012790211278086,1.45,0.0017460500946617685,0.00018508163208025508,440000,4.0,0.41390936966985464,0.0,1.3820069122314453,-1.5233451199531556,188.7,55
844,0.07157934236299714,1.31,0.0014686793426335499,-0.0001622257569397334,448000,3.0,0.3646572310477495,0.0,1.3828318774700166,-1.5365032589435577,181.63,56
845,0.06447282291397335,1.15,0.0016067662867862965,7.600073364301352e-05,456000,3.0,0.3854745838046074,0.0,1.3827084410190582,-1.906883779168129,173.79,57
846,0.06510419707233749,1.11,0.0015219991511912668,-5.51979809824843e-05,464000,3.0,0.36004788894206285,0.0,1.3799132454395293,-3.591566039919853,172.2,58
847,0.06878476593011923,1.48,0.0020530404210876443,0.0002782917699369136,472000,4.0,0.4312088616937399,0.0,1.385228806734085,-1.2805559861660003,186.17,59
847,0.06446114841704419,1.33,0.0016036996393086157,4.252970175002702e-06,480000,4.0,0.38516801059246064,0.0,1.384984644651413,-2.6800511223077774,180.87,60
847,0.0751392998753511,1.29,0.002119713510692236,0.0002790380592341535,488000,4.0,0.45067312955856326,0.0,1.3844324326515198,-1.8667398780584334,177.84,61
847,0.06391236133946056,1.61,0.0016377707432184252,-0.0001884886882180581,496000,4.0,0.39800916377455,0.0,1.3844021189212798,-1.3955213969945908,190.85,62
847,0.054604869497449256,1.29,0.0013313297003060144,-2.8934710135217755e-05,504000,3.0,0.3346150743588805,0.0,1.3843994379043578,-2.0163027262687683,179.96,63
846,0.0644729422461434,1.36,0.0016431676517095184,0.00036959675227990377,512000,3.1000000000000085,0.39360024642199276,0.0,1.384812490940094,-2.072122141122818,181.46,64
846,0.051745405557074395,1.22,0.0009793960090973997,7.990577752934768e-05,520000,3.0,0.2996944546326995,0.0,1.3847421395778656,-3.5823461484909056,174.99,65
845,0.07517395329173615,1.26,0.001946536837513122,0.00039973137492779645,528000,3.0,0.4189185377210379,0.0,1.3854273748397827,-1.6542447209358215,176.71,66
845,0.05452010987036842,1.29,0.0011131055646001187,-1.8007117032539098e-05,536000,3.0,0.32382365260273216,0.0,1.384769444465637,-3.52662515938282,177.27,67
844,0.06952958819730788,1.07,0.0013608248991113215,0.00015425964593305253,544000,3.0,0.3627340143918991,0.0,1.384850263595581,-2.4159983724355696,170.06,68
843,0.0494125880448901,1.12,0.001017292986762186,-0.0001087475640088087,552000,3.0,0.29927412647753954,0.0,1.38392147898674,-3.957238772511482,171.96,69
842,0.05668458787433047,1.0,0.0009655990422288597,0.00035682442481629553,560000,2.1000000000000085,0.29880294140428304,0.0,1.385480854511261,-5.147054573893547,165.61,70
841,0.06913597759932284,1.02,0.0016062541951941966,-0.0003000280781998299,568000,2.1000000000000085,0.3881533661112189,0.0,1.382260160446167,-1.9965383285284042,168.63,71
841,0.0576201977321608,1.2,0.001293109052348882,-7.691997132496908e-05,576000,3.0,0.35082072056829927,0.0,1.383405350446701,-2.9241603350639345,176.75,72
840,0.06336328129952591,1.32,0.0012793185619011638,0.00017083853865187848,584000,3.0,0.3569277624040842,0.0,1.385738389492035,-2.6602088868618012,180.72,73
839,0.07539764315957947,1.21,0.0019264873465544951,-0.00019231148122344165,592000,3.0,0.421872295178473,0.0,1.3853282845020294,-4.5645219099521634,177.57,74
839,0.07238235347666902,1.46,0.001906232841211022,0.00010714974952861666,600000,4.0,0.4441139540076256,0.0,1.3842217540740966,-1.333050463795662,185.65,75
838,0.06849174745041775,1.59,0.0017530943700876378,-0.00045853896808694116,608000,4.0,0.40332523833960293,0.0,1.381692839860916,-2.760964569449425,188.74,76
838,0.08082693148027907,1.3,0.0020185159101856697,0.0004900931741576641,616000,3.0,0.44449555344879627,0.0,1.379607253074646,-0.8187743365764618,178.57,77
837,0.06375018074805638,1.65,0.001561713406808849,-0.00011643228033790365,624000,4.0,0.39424821965396406,0.0,1.3809895479679108,-1.0219416677951814,193.64,78
837,0.0448040784234886,1.62,0.0008540231306506029,-4.986468658898957e-05,632000,4.0,0.2660332950204611,0.0,1.3835467445850371,-2.546216094493866,193.28,79
837,0.07385729363742284,1.37,0.0019446095397506725,-0.0002234986174153164,640000,3.0,0.44806055836379527,0.0,1.3839874529838563,-1.7705654937028885,183.56,80
836,0.06474024768798196,1.53,0.0015852766040552525,-4.8194601404247806e-05,648000,4.0,0.383025839664042,0.0,1.3812855935096742,-1.945626007914543,188.73,81
835,0.06621441727031227,1.42,0.0012462619976031418,0.0006094769679475576,656000,4.1000000000000085,0.3460193826258183,0.0,1.3842668521404267,-2.5432333862781524,184.64,82
835,0.06661363829528176,1.67,0.001437066160615359,-0.00023221714935061754,664000,4.1000000000000085,0.37190977558493615,0.0,1.384555960893631,-2.5081119191646577,192.53,83
834,0.055757135863554554,1.53,0.0010282921670295765,-0.00010159785655559972,672000,4.0,0.30815691109746696,0.0,1.384910145998001,-1.2745237296819687,186.96,84
833,0.07088839465140975,1.29,0.0014105454716627718,6.093968593631871e-05,680000,3.0,0.36886983580887317,0.0,1.3843914675712585,-2.245987277626991,176.19,85
833,0.059670237903156044,1.55,0.0012585048800337973,0.00011027630913304165,688000,3.0,0.3532429317384958,0.0,1.3848522675037385,-1.9442190605401992,185.56,86
832,0.05948684435064319,1.62,0.0013854220436769538,8.221884208978735e-06,696000,4.0,0.33316242150962355,0.0,1.3850545966625214,-3.2847195625305177,188.49,87
832,0.0658362288557898,1.65,0.001372196899556002,-0.00026443367651154406,704000,4.0,0.3507819840684533,0.0,1.3847544515132904,-0.6924780130386352,188.15,88
831,0.04957325323026834,1.29,0.0008018098508546245,0.00032338825345505027,712000,3.0,0.2562810813263059,0.0,1.3854095995426179,-1.5972397577762605,175.47,89
830,0.05957563214710116,1.22,0.0009928360664525826,-0.00012061770314176102,720000,3.0,0.3107636918872595,0.0,1.3850885283946992,-1.0898923116922379,173.91,90
830,0.06456291707446159,1.37,0.0014148145378931076,0.00017666859275777824,728000,3.1000000000000085,0.35716304156929257,0.0,1.3858729338645934,-1.7528652280569077,181.59,91
830,0.05744945293380923,1.28,0.0012341826318879611,9.088575097848661e-05,736000,4.0,0.31707579355686905,0.0,1.3852639186382294,-8.434555619955063,176.95,92
830,0.07166127657634884,1.3,0.0013476133165568171,-5.867425032192841e-05,744000,3.1000000000000085,0.3624616904556751,0.0,1.3840009605884551,-2.595974252820015,177.47,93
829,0.07787381724569778,1.59,0.00179143559817021,0.0001951901541906409,752000,4.0,0.43238191314041613,0.0,1.3837763798236846,-0.3195521551370621,189.48,94
829,0.06198542511775831,1.85,0.001390724186321677,5.354010674636811e-05,760000,4.0,0.3438814291357994,0.0,1.3854622268676757,-2.754966142773628,198.75,95
829,0.041567566314364306,1.53,0.0008138167086872273,7.578277654829435e-06,768000,4.0,0.26120306476950644,0.0,1.38522869348526,-1.7591522312164307,186.75,96
829,0.05631397903135004,1.26,0.000915006635714235,0.00014198121782101224,776000,3.0,0.3052917420864105,0.0,1.385735241174698,-0.437253378033638,176.89,97
828,0.06190862518124263,1.51,0.001095246097256677,-0.00011559294719972968,784000,4.0,0.313454066067934,0.0,1.3857823753356933,-0.3106811898946762,187.79,98
828,0.0678316621405938,1.59,0.0011282681604643586,-1.3427021376628546e-05,792000,4.0,0.339558767080307,0.0,1.384999442100525,-1.30043275475502,190.19,99
828,0.04284885863861329,1.42,0.0008225444606114251,-0.00028318043041508645,800000,3.0,0.24699289556592702,0.0,1.3845730340480804,-0.48017008244991305,186.04,100
827,0.060969491262763686,1.21,0.0009447665810330363,0.0002579047060862649,808000,3.0,0.30031256455928085,0.0,1.3850593864917755,-1.6201596957445146,176.97,101
827,0.052946199756661,1.32,0.0008932257800552179,-0.00013400115953118074,816000,3.0,0.290366773866117,0.0,1.3849647545814514,-0.7161258500814438,178.21,102
827,0.04940142419212342,1.62,0.0009986896944428735,0.00023675935153733008,824000,3.1000000000000085,0.2800120988488197,0.0,1.3835545623302459,-1.5279943823814393,191.65,103
826,0.06717779558886647,1.47,0.0012954983154850198,0.00010356418657465838,832000,4.0,0.3532921992242336,0.0,1.3841923034191133,-0.4249802780151367,188.58,104
826,0.054151202954359566,1.35,0.0008273790694147465,0.00021145312224689404,840000,4.0,0.27614487092941997,0.0,1.3848084151744842,-2.891121374964714,183.62,105
826,0.04067498176917897,1.43,0.0003602418969239807,-0.00021267542542773298,848000,4.0,0.1970121009647846,0.0,1.385828320980072,-0.7523705810308456,186.4,106
825,0.0542942213394538,1.32,0.0011015049258276122,1.0309392528142781e-05,856000,3.0,0.3131519228965044,0.0,1.3847097074985504,-1.725680842399597,180.35,107
