episode_length,P01:episode_rewards,fps,P09:episode_rewards,PMM:episode_rewards,policy_loss,frames,value_loss,advantage_norm,policy_entropy,explained_variance,clip_fraction,approx_kl_divergence,epoch_idx,grad_norm
362.61538461538464,137.5,783,512.5,255.76923076923077,0.00777396522462368,10240,0.8469589131884276,15.968719148635865,1.2759993117302657,0.12437155656516552,0.33662109375,0.008077283546482277,1,23.977612233102125
362.462962962963,125.0,834,525.0,250.92592592592592,-0.0022699581895722076,20480,0.24293276481330395,15.96871924996376,1.570969121158123,0.44995663985610007,0.1475341796875,0.0025283229301868463,2,6.1605042702411525
368.9382716049383,125.0,838,525.0,255.55555555555554,-0.003215067001292482,30720,0.19573705587536097,15.968719255924224,1.6776552475988864,0.5779089778661728,0.1634033203125,0.0025145773646731615,3,4.411483504611228
369.58,125.0,826,502.5000000000002,255.75,-0.0040722746460232885,40960,0.15326073118485511,15.96871938109398,1.7034049913287164,0.5686122309416533,0.1250244140625,0.0020963149605908206,4,4.994329927109824
370.35,125.0,825,502.5000000000002,269.75,-0.004607890397892334,51200,0.11569686392322183,15.968719285726547,1.7098270937800408,0.6582647453993559,0.114501953125,0.0019655737643464385,5,2.7901139695614945
364.6,125.0,830,402.5000000000002,266.0,-0.005738681857474148,61440,0.09730236085597425,15.96871936917305,1.6974815465509892,0.8047268822789192,0.129833984375,0.002150405720749736,6,2.9016011709032044
362.39,125.0,838,402.5000000000002,268.75,-0.005949128835345619,71680,0.11603355281986297,15.968719202280045,1.7193978980183602,0.7411550953984261,0.11181640625,0.0018598672264264287,7,2.835328650352941
368.22,125.0,844,400.0,267.5,-0.006350422490504571,81920,0.1421631958335638,15.968719214200974,1.715745174884796,0.5646369252353907,0.1267333984375,0.0020512655509722553,8,3.015440469335646
372.25,125.0,846,400.0,267.0,-0.006219188071554527,92160,0.1251446290174499,15.9687191426754,1.7311739176511765,0.6959208939224482,0.12568359375,0.001984783802300016,9,2.8421568556710377
381.03,125.0,844,557.5000000000007,293.25,-0.00652545866323635,102400,0.12766257175244392,15.968719267845154,1.7087463825941085,0.796386930346489,0.1609375,0.002648461980470858,10,2.6345154923667926
383.99,125.0,844,625.0,318.0,-0.007192207346088253,112640,0.12509399526752532,15.968719327449799,1.7355035744607448,0.6759719554334879,0.1240478515625,0.0021175347089868696,11,2.2514594362884583
393.79,150.0,849,627.5000000000002,351.0,-0.00815978395694401,122880,0.12368912724778056,15.968719285726547,1.7358665131032467,0.7218034021556378,0.1411376953125,0.002277266512647029,12,2.506825168786544
394.58,150.0,848,625.0,363.75,-0.007854102808050812,133120,0.1351662077475339,15.968719375133514,1.7378284364938736,0.7758623469620943,0.13818359375,0.0021788291938494944,13,2.590424320824328
390.22,150.0,845,625.0,341.25,-0.009087505919160322,143360,0.12481083413586021,15.96871938109398,1.7459212385118008,0.7944522045552731,0.1337890625,0.0021113522256544616,14,2.456087305824214
392.77,150.0,822,625.0,333.75,-0.008930179214803501,153600,0.12734857355244458,15.968719327449799,1.732281194627285,0.7699426420032978,0.1287841796875,0.0020887202718998478,15,2.1112890804898603
392.68,150.0,810,600.0,341.75,-0.008916903001954779,163840,0.1212611271534115,15.968719273805618,1.7298451356589795,0.7975775804370642,0.1581298828125,0.002554935195212548,16,2.102192947697554
395.68,150.0,812,602.5000000000002,354.75,-0.01004461500851903,174080,0.11264899945817888,15.968719232082368,1.70859120413661,0.7966865632683039,0.149560546875,0.002362059918096155,17,2.203583213310958
