policy_entropy,rollout_prob_std,q_loss,advantage_norm,avg_q_selected,episode_length,grad_norm,P09:episode_rewards,policy_gradient_loss,policy_loss,avg_q_retraced,epoch_idx,explained_variance,policy_gradient_bias_correction,frames,fps,model_prob_std,P01:episode_rewards,PMM:episode_rewards
2.1857900540033977,0.016508859333892664,8.247232544817961e-05,0.06948453436295192,0.0047461744553099075,0,0.008016447680713875,0.0,-7.585218221114095e-06,-7.585218221114095e-06,0.00475112897499154,1,-4.123321541150411,0.0,7200,375,0.016508859830598036,0.0,0.0
2.13948077360789,0.030134262641270955,0.0004657582243756527,0.10106486808508634,0.0011061739101630034,0,0.031140315119092234,0.0,0.00016199499887079583,0.00016199499887079583,0.0012381714826915414,2,-3.951469326019287,0.0,14400,217,0.03013426357259353,0.0,0.0
2.190690612792969,0.012000895850360394,1.524235813121777e-05,0.03212884770085414,-0.0016419860553772499,0,0.002605455525337031,0.0,-2.438878388299296e-05,-2.438878388299296e-05,-0.0016966771703058232,3,-4.530151804288228,0.0,21600,251,0.012000896191845337,0.0,0.0
2.1900471607844034,0.0133826677997907,1.92646848139096e-05,0.043466988826791446,-0.0006349525783055772,0,0.002654893126818805,0.0,-5.365519318729639e-05,-5.365519318729639e-05,-0.0007319022406591102,4,-4.0778299331665036,0.0,28800,279,0.013382668203363816,0.0,0.0
2.1908189058303833,0.01252657181272904,8.648008421611545e-06,0.025960000728567443,-0.0005428094668483634,0,0.0015452116678546727,0.0,2.5447162245958075e-05,2.5447162245958075e-05,-0.0005370596326732387,5,-3.504178595542908,0.0,36000,300,0.012526572092125814,0.0,0.0
2.1897465149561564,0.013616925757378339,1.4409119573125888e-05,0.037313857860863206,-0.0009031480024835522,3324.8333333333335,0.0022007262190424275,0.0,2.858510391282228e-05,2.858510391282228e-05,-0.000870891303687434,6,-4.289262167612711,0.0,43200,315,0.013616926067819198,0.0,0.0
2.188310178120931,0.014369042279819647,7.703442626431449e-06,0.025430205464363097,-0.0020509969869938987,3324.8333333333335,0.001765215940759245,0.0,7.23054618598932e-05,7.23054618598932e-05,-0.0019982955302111803,7,-3.319632331530253,0.0,50400,328,0.014369042714436848,0.0,0.0
2.1837178230285645,0.01771101172392567,1.0221224541358727e-05,0.026778890813390414,-0.0023475814438522016,3324.8333333333335,0.002579246666107933,0.0,0.00011986754107056186,0.00011986754107056186,-0.0022486488916911183,8,-2.968805992603302,0.0,57600,338,0.01771101200332244,0.0,0.0
2.1900245904922486,0.01335805921504895,1.0207602758782742e-05,0.03100612262884776,0.00013594179630066112,3324.8333333333335,0.0016765203496142114,0.0,-7.860869906532268e-05,-7.860869906532268e-05,6.002925723199345e-05,9,-4.131087668736776,0.0,64800,347,0.013358059308181207,0.0,0.0
2.1900654951731364,0.013311983893314998,7.665186130149474e-06,0.02421656095733245,0.0002568092907798321,3324.8333333333335,0.0013337245336205636,0.0,1.0597460588238998e-05,1.0597460588238998e-05,0.0002712327455810737,10,-3.633755612373352,0.0,72000,353,0.013311984079579512,0.0,0.0
2.189018718401591,0.014313359279185534,1.4720749542599757e-05,0.037919897989680366,0.00026564417591240876,3324.8333333333335,0.0021673350563981833,0.0,4.953016153497932e-05,4.953016153497932e-05,0.0003309731761570826,11,-3.909671926498413,0.0,79200,360,0.014313359527538221,0.0,0.0
2.189599053064982,0.01374941309913993,4.287187615166962e-06,0.020021396999557812,-0.0005762521017459221,3324.2083333333335,0.001070696777764901,0.0,-2.8859397904549648e-05,-2.8859397904549648e-05,-0.0006218258726827723,12,-3.9816627979278563,0.0,86400,366,0.013749413130184015,0.0,0.0
2.186420742670695,0.01618938089037935,5.884580711305413e-06,0.021491348991791406,-0.0009754417946775599,3324.2083333333335,0.0014544211488046919,0.0,9.75110075766376e-05,9.75110075766376e-05,-0.0008782259938016068,13,-2.8327267169952393,0.0,93600,372,0.016189380921423434,0.0,0.0
2.189690192540487,0.013525165027628343,4.358787350611237e-06,0.018405246455222367,6.354979432217078e-05,3324.2083333333335,0.0011641470875715836,0.0,-2.6625583522369804e-05,-2.6625583522369804e-05,3.8132748583545134e-05,14,-2.83164857228597,0.0,100800,379,0.013525165058672428,0.0,0.0
2.1892350912094116,0.014115775531778733,1.1822678197859205e-05,0.035310046405841906,0.0006532177096232772,3324.2083333333335,0.0019121041787463447,0.0,7.442596664380593e-05,7.442596664380593e-05,0.0007618844387858796,15,-4.044714085261027,0.0,108000,386,0.014115775718043249,0.0,0.0
2.190959644317627,0.012423101253807545,4.542813752550501e-06,0.01787261829401056,0.0015298457680425297,3324.2083333333335,0.0009644114391391303,0.0,-7.198648199846503e-06,-7.198648199846503e-06,0.00156115020896929,16,-2.54848108291626,0.0,115200,393,0.01242310128485163,0.0,0.0
2.189608218054923,0.014602539515635247,1.0629807162092614e-05,0.03281566242661534,0.0008779133925316118,3324.472222222222,0.0017519531277698324,0.0,5.1801034820863596e-06,4.190921761296969e-06,0.0009148983838729683,17,-4.0812813088692055,-9.891820048109865e-07,122400,394,0.013756695441561677,0.0,0.0
2.1886245870874044,0.015680997520426496,4.415425228280078e-06,0.020645633346903773,0.0006251393512933834,3324.472222222222,0.0010866905775967228,0.0,-8.398336783480474e-06,-8.047494743442216e-06,0.0006363604900505537,18,-3.716291097336346,3.508419441883027e-07,129600,391,0.014499097160943265,0.0,0.0
