P01:episode_rewards,policy_loss,P09:episode_rewards,episode_length,explained_variance,fps,policy_entropy,advantage_norm,grad_norm,epoch_idx,frames,value_loss,PMM:episode_rewards
0.0,-0.025586639583925718,3.0,172.0,-2.7533204221725462,550,1.3033532655239106,1.9159064362198115,2.1653559357047296,1,8000,0.08140313240612158,1.025
0.0,0.000983166173682548,4.0,181.3095238095238,-0.05482024550437927,354,1.3672179579734802,1.2092390885949136,0.22561878126833626,2,16000,0.013364550828910068,1.2738095238095237
0.0,0.0018946269096340985,4.0,186.68,-0.023758682012557982,423,1.3646075713634491,1.2393169638887047,0.22129403208033588,3,24000,0.01418993356489409,1.45
0.0,0.00038677637348882854,4.0,179.08,-0.009920659661293029,473,1.3772062516212464,1.1490162642858923,0.18360229009914655,4,32000,0.012499706583816987,1.31
0.0,0.001057219069916755,4.0,178.91,-0.005082799792289734,508,1.380791846513748,1.2679871717467903,0.20535478301747317,5,40000,0.015504691879668827,1.33
0.0,0.0026274959817237688,3.0,178.88,-0.0029470574855804442,536,1.3780378913879394,1.217966542057693,0.18505890383448936,6,48000,0.013182899107068807,1.32
0.0,0.0015559852443402633,3.0,179.29,-0.0031714993715286255,561,1.3808611249923706,1.266757887043059,0.19504577195210082,7,56000,0.014643101091533026,1.28
0.0,0.001879442298959475,4.0,190.99,-0.002476157546043396,580,1.3804822397232055,1.2704103530198336,0.19613286380927566,8,64000,0.014615483893458077,1.56
0.0,0.0009203827037708833,4.0,197.28,-0.002441598176956177,598,1.382766354084015,1.3916265000402928,0.21523746510483818,9,72000,0.016216624615117324,1.71
0.0,0.0011869909754022956,4.0,195.25,-0.003838268518447876,612,1.384025342464447,1.2026729373820126,0.1717424063432875,10,80000,0.01321175567642058,1.66
0.0,0.003261071766319219,4.0,190.95,-0.002075369358062744,624,1.3818411350250244,1.3880229734256864,0.20543443844637466,11,88000,0.01646650183613019,1.57
0.0,0.0023956985492259264,4.0,196.17,-0.0021410244703292847,635,1.3838174426555634,1.3701732584834099,0.20897523568205878,12,96000,0.01678147857386648,1.79
0.0,-0.0033023414271883666,4.0,186.18,-0.007754753232002258,643,1.383988380432129,1.0040987573750317,0.14400012663544332,13,104000,0.010370816442396062,1.56
0.0,0.0030742766766343266,3.1000000000000085,180.58,-0.002656540870666504,650,1.3857149004936218,1.2844450308941304,0.16963243562629093,14,112000,0.014646204277742072,1.35
0.0,-0.00011086955317296087,3.1000000000000085,179.59,-0.006911364793777466,655,1.3851914811134338,1.2227415622025728,0.17778301633256852,15,120000,0.01390419400511746,1.32
0.0,0.002289097270986531,4.0,185.65,-0.005251559615135193,663,1.385307559967041,1.3657905270904303,0.1927195392789862,16,128000,0.016266419703824794,1.52
0.0,-8.408133726334199e-05,4.0,183.37,-0.0012464743852615356,668,1.3848990106582642,1.1275903463736177,0.1418933748978333,17,136000,0.012442502113385672,1.4
0.0,-0.0005041195184458048,3.0,182.02,-0.0033637279272079467,672,1.3852416694164276,1.2640447568334638,0.17516565464358894,18,144000,0.014091830185152502,1.34
0.0,0.002137584324227646,3.0,172.42,-0.015166237354278564,675,1.3826000833511352,1.0387336045503617,0.14674488488154755,19,152000,0.011098554617633453,1.15
0.0,8.6876112036407e-05,4.0,184.84,-0.00023182988166809082,680,1.3843185460567475,1.439825147278607,0.19250634341203882,20,160000,0.01753659990739834,1.47
0.0,8.525321842171251e-05,4.0,190.43,-0.023863635063171386,684,1.3817807447910309,1.1140679379925131,0.16584843361225332,21,168000,0.012463524017466625,1.59
0.0,0.0016542595424107276,3.0,176.6,-0.001463751196861267,687,1.3738562762737274,1.2341105435043573,0.1827715302884493,22,176000,0.014107572731463734,1.29
0.0,0.0008349405758781358,3.0,167.48,-0.011368306875228882,689,1.3711663866043091,1.032910134792328,0.1526396559726223,23,184000,0.011099160468838819,1.11
0.0,-0.00014387821312993764,2.1000000000000085,165.98,-0.008982923030853272,691,1.372070425748825,1.269880880266428,0.1817957840404863,24,192000,0.014465601217380027,1.09
0.0,0.001938061820110306,3.0,172.51,-0.05364979088306427,693,1.3707998287677765,1.1859534094855189,0.1914754632021206,25,200000,0.01283999126814706,1.22
0.0,0.0022658247337676587,3.0,166.81,-0.05088879346847534,695,1.3661869013309478,1.0863120443746448,0.19050895626692566,26,208000,0.012484624768758295,1.04
0.0,-5.1894255448132754e-05,3.0,168.03,-0.04391206622123718,697,1.376161321401596,1.1132805605977774,0.1977449884392152,27,216000,0.012657251873806672,1.1
0.0,0.002702400940179359,3.0,169.63,-0.06823293268680572,700,1.3790514004230499,1.0224314507469534,0.1663913763404827,28,224000,0.010811883484620921,1.13
0.0,-0.001088832642417401,3.0,175.75,-0.07269843876361846,702,1.3744758927822114,1.3016548772156238,0.2339677992472723,29,232000,0.015572210757745779,1.23
0.0,0.0013030512921977787,3.0,181.67,0.010679331421852113,703,1.3788878989219666,1.1327861554920673,0.17522865236758786,30,240000,0.011733869975942071,1.36
0.0,0.0016833763237809763,3.0,168.49,-0.06658536314964295,705,1.3701856219768525,1.0673215311020612,0.17327812400603743,31,248000,0.011163715702277841,1.08
0.0,0.000352920628793072,4.0,178.71,0.04488482058048248,707,1.3787452018260955,1.461971889808774,0.2452289288220772,32,256000,0.0180279391878139,1.34
0.0,-0.0019119174161460251,5.0,194.97,0.04241936385631561,709,1.3269570504128934,1.5709502194821834,0.4410325594656672,33,264000,0.027631742884987032,1.76
0.0,0.0010916420800640481,4.1000000000000085,191.72,0.04142216682434082,711,1.365329040288925,1.1017511665821076,0.2490748350274894,34,272000,0.010816392336564604,1.67
