policy_gradient_loss,rollout_prob_std,advantage_norm,explained_variance,avg_q_selected,fps,episode_length,avg_q_retraced,policy_entropy,P09:episode_rewards,model_prob_std,P01:episode_rewards,policy_gradient_bias_correction,q_loss,grad_norm,PMM:episode_rewards,frames,policy_loss,epoch_idx
-0.000507798942514152,0.07164687216281891,0.07742898166179657,-39.85988589922587,0.0036431759969370128,1236,0,0.004031728335636823,1.9678022027015687,0.0,0.071646873280406,0.0,-4.767364743714826e-12,0.002535090564682226,0.09845203630713326,0.0,7200,-0.0005077989463946627,1
0.00048517866343900096,0.12596069996555645,0.6223802414412299,-106.13323866128921,-0.04980179953660505,485,0,-0.05068053313201138,1.5974734413747986,0.0,0.1259606998413801,0.0,-7.208452436890843e-13,0.007052686880827727,0.3061416519356762,0.0,14400,0.0004851786809012992,2
1.6343965186630763e-05,0.021309423632919787,0.013542800676077604,-40.2996865272522,-0.00122419404797256,530,0,-0.001289332607605805,2.1703879594802857,0.0,0.0213094233845671,0.0,0.0,2.3575582448150576e-05,0.003485413248638163,0.0,21600,1.6343965186630763e-05,3
7.351913188813342e-05,0.01626579978813728,0.03208819534629583,-14.291623655954997,-0.0034923337128323815,630,0,-0.0035063594424476225,2.1866170247395833,0.0,0.016265799974401793,0.0,0.0,2.735647091564412e-05,0.0036845430712350163,0.0,28800,7.351913188813342e-05,4
7.175636476404179e-05,0.015451036424686511,0.017816641771545013,-9.819572591781617,-0.0033397084722916284,710,0,-0.0032983024837449195,2.187605285644531,0.0,0.015451036300510168,0.0,0.0,1.2638993833509934e-05,0.001996552521035455,0.0,36000,7.175636476404179e-05,5
8.098384323981614e-05,0.01387660779679815,0.02608040749716262,-23.429007625579835,-0.0033842665958218276,771,3324.5,-0.0033801052331303557,2.189010008176168,0.0,0.013876607827842235,0.0,0.0,2.261756277069556e-05,0.0031108700425509644,0.0,43200,8.098384323981614e-05,6
5.142245370848286e-05,0.016450838092714547,0.00960969237300257,-36.90323495864868,-0.0021039416179216156,700,3324.5,-0.0020711574237793685,2.1803537448247274,0.0,0.016450838216890893,0.0,0.0,1.590441900134465e-05,0.0028966854624630127,0.0,50400,5.142245370848286e-05,7
3.984113845945103e-05,0.031009727002431948,0.009181681182235479,-28.839026641845702,-0.0021121250465512276,658,3324.5,-0.0020726985530927777,2.151121457417806,0.0,0.03100972684721152,0.0,0.0,7.318073562601057e-06,0.0018629482266872997,0.0,57600,3.984113845945103e-05,8
6.748589041004986e-05,0.012342152589311203,0.021917533657203118,-14.49696979522705,-0.0031504497087250154,629,3324.5,-0.003169825207442045,2.1909030278523765,0.0,0.012342152651399374,0.0,0.0,1.5080432467584614e-05,0.001910869841867512,0.0,64800,6.748589041004986e-05,9
7.671547947817696e-05,0.012004983766625324,0.017075071840857468,-14.721952136357626,-0.0037797814545532066,599,3324.5,-0.0037363595174004635,2.191203991572062,0.0,0.012004983766625324,0.0,0.0,1.0294068719455633e-05,0.0016231121055679005,0.0,72000,7.671547947817696e-05,10
8.3850295626083e-05,0.013978779719521602,0.0282250562372307,-10.582542339960733,-0.004224759348047277,570,3324.5,-0.004153568266580502,2.1891531149546304,0.0,0.01397877959534526,0.0,0.0,1.7630977538374282e-05,0.0023155224777969374,0.0,79200,8.3850295626083e-05,11
5.939992224739399e-05,0.009536460756013792,0.007575941535954674,-26.412976010640463,-0.0023096968070603907,548,3325.1666666666665,-0.002283368589511762,2.193388573328654,0.0,0.009536460787057877,0.0,0.0,3.666837837575561e-06,0.0008086345771508213,0.0,86400,5.939992224739399e-05,12
3.086107600059525e-05,0.02537934829791387,0.0061833191585416595,-22.176867787043253,-0.0014676931634312496,536,3325.1666666666665,-0.0014177494556255018,2.166534733772278,0.0,0.025379348111649356,0.0,0.0,5.195639918535259e-06,0.0013502253261888479,0.0,93600,3.086107600059525e-05,13
4.509275439280221e-05,0.014496574240426222,0.0059991291879365844,-12.931765047709147,-0.0024557615669133764,527,3325.1666666666665,-0.0024337172857485712,2.1852105379104616,0.0,0.014496574209382137,0.0,0.0,2.5857632749648475e-06,0.0007428705751472937,0.0,100800,4.509275439280221e-05,14
6.310817680817611e-05,0.013227400307854017,0.024787554618281624,-11.22247125307719,-0.0029159572441130877,518,3325.1666666666665,-0.0028355107254659138,2.1899976253509523,0.0,0.013227400400986274,0.0,0.0,1.273756823820804e-05,0.001915991093874496,0.0,108000,6.310817680817611e-05,15
5.8941746025690615e-05,0.010097174098094304,0.00935972067527473,-11.847713851928711,-0.0029260687297210097,512,3325.1666666666665,-0.0028983078974609573,2.192889348665873,0.0,0.010097174004962047,0.0,0.0,3.9680438211083436e-06,0.0007098318179134329,0.0,115200,5.8941746025690615e-05,16
0.00010676653630904654,0.02166329295248799,0.05206864380534547,-10.506326928782084,-0.0025034822901578457,499,3325.1666666666665,-0.002380239859904534,2.187336573165561,0.0,0.015309639063382905,0.0,3.293464392624758e-05,9.357297453201381e-05,0.0022495636622130765,0.0,122400,0.0001397011805134908,17
-7.51851484635121e-05,0.05051178781257785,0.17207631818488825,-16.628420523386154,0.0341376302292071,479,3325.1666666666665,0.03983281290557883,1.8577261873508095,0.0,0.09248935148119927,0.0,0.00026207386288607264,0.0024238764615543014,0.04191028535308597,0.0,129600,0.0001868887146474482,18
-0.002230003321449006,0.10978446058921575,0.43646385905865054,-2.780478809643832,0.21018453683763266,464,3325.1666666666665,0.20872185899092563,0.9270164585576507,0.0,0.2243956962399303,0.0,0.00013815393624418788,0.0020973025847033496,0.07931085004026835,0.0,136800,-0.002091849383078925,19
