policy_gradient_bias_correction,model_prob_std,P09:episode_rewards,epoch_idx,avg_q_selected,advantage_norm,frames,policy_loss,PMM:episode_rewards,P01:episode_rewards,explained_variance,episode_length,grad_norm,q_loss,policy_entropy,avg_q_retraced,rollout_prob_std,fps,policy_gradient_loss
0.0,0.0349759046609203,0.0,1,0.004905510935229055,0.08332343200842539,7200,-0.0002218100732231202,0.0,0.0,-4.378629287083943,0,0.010501282820451995,9.589900097732122e-05,2.1501828988393146,0.004708093086082954,0.03497590310871601,530,-0.0002218100732231202
0.0,0.05897117940088113,0.0,2,0.02050962895543004,0.15926281201342743,14400,0.00044615773682987004,0.0,0.0,-4.694877052307129,0,0.06875510855507067,0.0017477618535243285,2.064560310045878,0.02135543813928962,0.05897117741405964,209,0.00044615773682987004
0.0,0.022637337322036426,0.0,3,0.002859894067902739,0.04546741619706154,21600,1.1822751427340942e-05,0.0,0.0,-5.2857237180074055,0,0.004012543972796328,2.7986899749521398e-05,2.1713098367055257,0.0029847619705833496,0.022637336670110624,249,1.1822751427340942e-05
0.0,0.015494051792969307,0.0,4,0.0037531132247143736,0.05352742373943329,28800,-0.0001262618750236773,0.0,0.0,-4.697038102149963,0,0.0037526348178272707,3.3392281269091956e-05,2.187826673189799,0.0037068670343918106,0.01549405154461662,286,-0.0001262618750236773
0.0,0.015521260599295298,0.0,5,0.002532520750537515,0.03367456415047248,36000,9.082764048192379e-06,0.0,0.0,-4.665623569488526,0,0.002260951367203509,1.4430803283479084e-05,2.1877526601155597,0.0026110704289749264,0.015521260009457668,315,9.082764048192379e-06
0.0,0.012780909581730763,0.0,6,0.00355313434653605,0.04693553391844034,43200,-0.00010650342640777429,0.0,0.0,-4.959577655792236,3325.1666666666665,0.00296918999553199,2.520800211035142e-05,2.1907866398493447,0.0035239891653570036,0.012780909302333991,336,-0.00010650342640777429
0.0,0.0179341323984166,0.0,7,0.0028080053472270567,0.030767313266793887,50400,-6.999935794738121e-06,0.0,0.0,-4.610219740867615,3325.1666666666665,0.002536957610965687,1.4160446259362895e-05,2.181165361404419,0.0028546852952179807,0.01793413224319617,356,-6.999935794738121e-06
0.0,0.02800896925230821,0.0,8,0.003820540135105451,0.03470184840261936,57600,-0.00012730853377433958,0.0,0.0,-4.280819137891133,3325.1666666666665,0.004321988198995203,1.559901908573617e-05,2.1642431815465293,0.003815571661107242,0.028008967575927576,372,-0.00012730853377433958
0.0,0.011488628946244717,0.0,9,0.0029919406166300177,0.034425188042223456,64800,4.710485288039005e-05,0.0,0.0,-4.6986605803171795,3325.1666666666665,0.001914340818844872,1.352236865083493e-05,2.1919605493545533,0.003093152803679307,0.01148862869789203,385,4.710485288039005e-05
0.0,0.01218649847432971,0.0,10,0.0031169670323530833,0.02828436065465212,72000,-0.00019185439678039983,0.0,0.0,-4.297073062260946,3325.1666666666665,0.0016840567063909524,9.79525837010442e-06,2.191272815068563,0.0029697006723533076,0.012186498505373795,397,-0.00019185439678039983
0.0,0.011844776415576538,0.0,11,0.003665057748245696,0.04074021888275941,79200,-8.334314267510005e-05,0.0,0.0,-4.629393895467122,3325.1666666666665,0.002359821523355347,1.7293565830793036e-05,2.191599210103353,0.0036609247404461105,0.01184477616722385,408,-8.334314267510005e-05
0.0,0.009976214729249477,0.0,12,0.0024753412891489763,0.023868832737207413,86400,-9.536438128634472e-05,0.0,0.0,-4.714722696940104,3324.8333333333335,0.0013758582636971225,6.944033293621032e-06,2.193223063151042,0.002458404089945058,0.00997621463611722,417,-9.536438128634472e-05
0.0,0.020764799260844787,0.0,13,0.0034514371926585834,0.028885775431990623,93600,-0.00016291020113688622,0.0,0.0,-4.029295404752095,3324.8333333333335,0.0031195392053114464,1.2887199500255519e-05,2.1780094305674234,0.0033423557722320157,0.020764799043536186,426,-0.00016291020113688622
0.0,0.01487361326192816,0.0,14,0.002333962837777411,0.026966612227261065,100800,-7.395264253015435e-05,0.0,0.0,-4.810398610432943,3324.8333333333335,0.0022480527375424992,9.188177129241619e-06,2.1865243832270305,0.002309424135213097,0.01487361304461956,436,-7.395264253015435e-05
0.0,0.010563150141388178,0.0,15,0.0033876183986042935,0.033938238583505156,108000,-7.534576532937838e-05,0.0,0.0,-4.574317725499471,3324.8333333333335,0.0018724600829864995,1.1634577307025514e-05,2.1927584409713745,0.003375591399768988,0.010563149986167749,445,-7.534576532937838e-05
0.0,0.010937510058283806,0.0,16,0.002586560118167351,0.02047352142011126,115200,-9.101223804464098e-06,0.0,0.0,-4.5904115835825605,3324.8333333333335,0.0010786837033929094,5.2590485817442335e-06,2.192415984471639,0.0026402756804600356,0.010937509747842947,454,-9.101223804464098e-06
-4.715324317619701e-06,0.011276314552177232,0.0,17,0.0033169532721357563,0.03305760993825172,122400,-0.0002602797054635749,0.0,0.0,-4.689914335198217,3325.0555555555557,0.0018945778427623778,1.1010144357818188e-05,2.1918364703483224,0.0030819551134582813,0.01372179767548296,458,-0.00025556438097169615
-3.2801138121114842e-06,0.016092732512754285,0.0,18,0.0017773837526646465,0.0262287325860696,129600,-7.93400842843449e-05,0.0,0.0,-3.471532281745994,3325.0555555555557,0.0018534559725664707,7.154694102292336e-06,2.1864093335942614,0.001730976751157955,0.020413262803358808,457,-7.605996975880337e-05
-1.4098045186806809e-06,0.021177863214674984,0.0,19,3.664648427431489e-05,0.026325075675871355,136800,1.8065081177160477e-05,0.0,0.0,-2.4837823129977497,3325.0555555555557,0.0022489775513490134,7.2913069602366566e-06,2.178246519918795,5.126733177376465e-05,0.025799806503906713,454,1.9474885671915795e-05
5.4984053411322705e-06,0.015377918420453118,0.0,20,0.0005547988344611084,0.02301953548926456,144000,8.057386678249009e-06,0.0,0.0,-2.0912151628062525,3325.0555555555557,0.0013793625645407753,4.915275129106973e-06,2.1876635815447605,0.0005656060604538921,0.01973766170550512,452,2.5589818011349763e-06
5.576787440315068e-06,0.01493797311872224,0.0,21,0.0007243274412687203,0.020631622703346824,151200,-8.18556105898058e-06,0.0,0.0,-1.894108889752595,3325.0555555555557,0.0011885398853682726,3.9238394224316095e-06,2.188276983196773,0.0007250751658370227,0.019551835638697616,449,-1.3762348005571459e-05
9.098135358187527e-06,0.014706753205862785,0.0,22,0.0005142130280346849,0.020300495767480543,158400,-4.06792882673741e-05,0.0,0.0,-2.0038734112135947,3325.0555555555557,0.0010986919525455099,3.912113343320679e-06,2.1884447035083068,0.00046520495810623453,0.019821958024739707,446,-4.977742362650022e-05
6.45137214859768e-06,0.013674097953108014,0.0,23,0.000182652328107016,0.016720209136684105,165600,-6.405215100785042e-06,0.0,0.0,-2.4199111818888834,3324.6458333333335,0.0008413568942523404,2.789923767477135e-06,2.189593525260845,0.00017517554655660685,0.018367507632811943,446,-1.2856587439745018e-05
