P01:episode_rewards,grad_norm,policy_loss,explained_variance,fps,frames,advantage_norm,epoch_idx,episode_length,policy_entropy,PMM:episode_rewards,P09:episode_rewards,value_loss
0.0,3.034008622192849,0.012353169782218175,-1.4722489792108535,406,8000,2.108214275762439,1,172.609756097561,1.317172954082489,1.0975609756097562,3.0,0.09723672602962324
0.0,0.2757177967467,0.002126889267237857,0.22725239336490632,204,16000,1.268038053661585,2,180.95238095238096,1.357533460855484,1.3571428571428572,4.0,0.014941059660741303
0.0,0.2943278790128733,0.003748375401482917,0.06508558273315429,266,24000,1.281684283539653,3,189.82,1.3756129133701325,1.57,4.0,0.015560869393502798
0.0,0.2632386813396908,-0.0015637117985170335,0.05812671422958374,303,32000,1.227010396644473,4,182.54,1.3707762658596039,1.39,4.0,0.013320077778626
0.0,0.2931408256617213,-0.0016076171002350748,0.300431889295578,334,40000,1.2063012886047364,5,175.88,1.3475864470005035,1.24,4.0,0.01317840653762687
0.0,0.3175251817943366,-0.0008712758001638576,0.22691606521606444,358,48000,1.3770864307880402,6,179.29,1.350945097208023,1.29,4.1000000000000085,0.015093657436664217
0.0,0.2725478382372943,0.0016482715448364615,0.2319788759946823,378,56000,1.0848430188000202,7,180.68,1.3716995644569396,1.36,4.0,0.011293255282071186
0.0,0.2983659741834654,-0.0002474583737784997,0.24120353758335114,393,64000,1.2515598098933696,8,179.27,1.3671333420276641,1.39,3.0,0.012371416037785821
0.0,0.5568258909145745,0.0012510549084981904,0.2987953418493271,406,72000,1.2976300528645515,9,169.87,1.3729899662733078,1.12,3.0,0.023738988031982444
0.0,0.3401604228267218,-0.0031954869205947033,0.5365987426042557,417,80000,1.1822359442710877,10,161.12,1.3686701452732086,0.87,2.0,0.01136810813943157
0.0,0.4041236291481202,-0.001090692152210977,0.5605042457580567,428,88000,1.3593884259462357,11,173.29,1.3654372954368592,1.21,3.0,0.01464805165771395
0.0,0.48418825918327735,-0.001082033963612048,0.6040504455566407,436,96000,1.4947038182616235,12,191.99,1.3616230076551437,1.64,5.0,0.020414840049925262
0.0,0.3820681655086639,-0.0037146291707176714,0.7739222472906113,444,104000,1.308579097390175,13,185.64,1.3717459082603454,1.45,4.0,0.01276066864724271
0.0,0.3148517088800756,0.001402989693415293,0.8195068746805191,451,112000,1.1019065546989442,14,187.7,1.3679722952842712,1.58,4.0,0.008841928509064019
0.0,0.36145661632337245,-0.003442048457218334,0.8849152308702469,457,120000,1.202966545522213,15,199.15,1.3393862283229827,1.88,5.0,0.01014635459985584
0.0,0.30288266636349526,-0.002619826672016643,0.9081109100580216,463,128000,1.0902402925491332,16,207.02,1.3237982666492463,2.08,5.0,0.008645907576428725
0.0,0.3175425637656655,-0.0026532496471190826,0.9180812758207321,468,136000,1.0808433350920676,17,217.28,1.3402839648723601,2.4,7.1000000000000085,0.00836930531775579
0.0,0.2824698603012054,-0.0026795917648269095,0.9267824077606202,472,144000,0.9855029743909836,18,219.65,1.3294414603710174,2.46,5.200000000000017,0.007628879371914081
0.0,0.22568573473854625,-0.00027152051334269347,0.9564365386962891,476,152000,0.8357432016730308,19,210.24,1.3294810712337495,2.21,5.0,0.00499892533000093
0.0,0.2750068907615194,-0.000598058890318498,0.917543601989746,480,160000,0.9976324608922005,20,218.46,1.3485822033882142,2.41,5.0,0.007710200927685946
0.0,0.215828981644768,-0.0005283320980379358,0.9613878202438354,483,168000,0.7632779443264007,21,219.36,1.329224944114685,2.37,5.1000000000000085,0.004551424235105514
0.0,0.22291793690398923,-0.00020210723392665385,0.932014799118042,486,176000,0.8507040873169899,22,203.51,1.3563656437397003,2.07,6.200000000000017,0.0058725078686256895
0.0,0.35674330556383027,-0.005882925082405563,0.9065785580873489,489,184000,1.0206328898668289,23,204.09,1.3238587999343872,2.14,8.100000000000009,0.010556738374289125
0.0,0.16829084138101386,-0.0009834626244264654,0.9411710625886918,491,192000,0.6387965102493763,24,206.67,1.333182544708252,2.18,6.200000000000017,0.003539472840493545
0.0,0.1907815806074537,-0.000520815163035877,0.9421877002716065,494,200000,0.7518502680957317,25,202.18,1.342327779531479,1.97,5.0,0.0045530063702608455
0.0,0.15472313013745947,-0.0014091137740615523,0.9671731567382813,496,208000,0.6001682856678963,26,206.56,1.3244974875450135,2.12,5.0,0.002991557219065726
0.0,0.17717854844954214,-0.00031728336442029105,0.9664985418319703,499,216000,0.6832055549323559,27,209.43,1.3328066623210908,2.17,5.0,0.0036638438486261294
0.0,0.17069370919498436,-8.837332206894644e-05,0.940827214717865,501,224000,0.6970994327962399,28,199.87,1.3514914512634277,1.96,5.0,0.004015564876026474
0.0,0.17831801688522173,-0.0006261746064046747,0.9666692662239075,506,232000,0.6897451439499855,29,201.6,1.338466272354126,2.03,5.1000000000000085,0.003903161751513835
0.0,0.17377525306913352,-0.0003505326267622877,0.9586819124221801,512,240000,0.6771089172363282,30,208.87,1.3588061225414276,2.22,6.0,0.0038442544557619838
0.0,0.17182289417241348,-0.0010369645059108733,0.9577649837732315,517,248000,0.6929941055178642,31,213.84,1.3463590085506438,2.26,6.0,0.0042218669262365435
0.0,0.17156559488390133,-0.0006142215559157194,0.9391997736692429,522,256000,0.6955353242158889,32,205.67,1.3567137205600739,2.07,6.0,0.004212065763422288
0.0,0.22755939688005689,-0.0011306434113430442,0.9277251040935517,524,264000,0.8437627917528152,33,203.97,1.3494280087947845,1.97,5.0,0.005820756737957709
0.0,0.15262561949346057,-0.000843330195712042,0.9696357023715972,526,272000,0.6449473839998245,34,210.35,1.3518456709384918,2.2,5.1000000000000085,0.0033732887796941212
0.0,0.15548297379716622,-0.00035038020309002604,0.9715695041418075,527,280000,0.6281296944618225,35,209.82,1.3478848588466645,2.22,6.1000000000000085,0.003459390203061048
0.0,0.1581145622469824,-0.0007839815830811858,0.9687084013223648,529,288000,0.6702132669091224,36,201.46,1.3573905050754547,2.01,6.0,0.003621944806072861
0.0,0.15174808680373197,0.0008107705473958049,0.9572675997018814,530,296000,0.6110681797564029,37,201.39,1.3650430512428284,1.94,5.0,0.003244719617650844
0.0,0.1703158637441403,-0.001542888772673905,0.9666468137502671,532,304000,0.6596762217581272,38,201.7,1.3500017130374908,1.85,5.0,0.0036073574124020524
0.0,0.12142129195743567,-0.0016603011429833713,0.9838513785600662,532,312000,0.49238323092460634,39,195.05,1.3300336289405823,1.77,5.0,0.0020922448855708355
0.0,0.1701087150677595,0.0002015470148762688,0.957526353597641,531,320000,0.686560226380825,40,209.77,1.36744043469429,2.2,6.0,0.003827449078671634
0.0,0.21805285937120888,-0.0026918786588066724,0.9117262071371078,522,328000,0.8965929621458053,41,208.27,1.3736684095859528,2.12,6.0,0.006564823972876183
0.0,0.11771172126540533,-0.0006398713070666417,0.9754413431882858,519,336000,0.5435343100130559,42,194.56,1.3546257424354553,1.71,5.0,0.002565111458679894
0.0,0.13895328673511578,-0.0006499296386027709,0.9727807092666626,518,344000,0.5709946782886982,43,194.39,1.3411563551425933,1.72,5.0,0.00279839044844266
0.0,0.18159881367149905,-0.000607969205657355,0.9562269300222397,513,352000,0.7527680288255215,44,205.33,1.3692612755298614,2.04,6.1000000000000085,0.004758737402153201
0.0,0.16969497278763693,-0.0017222440680779983,0.9076267290115356,507,360000,0.6839059579372406,45,204.0,1.3632871294021607,2.02,6.1000000000000085,0.003831174972874578
0.0,0.17543018978708225,-0.000780409028466238,0.9475837898254394,490,368000,0.7389193193614483,46,207.81,1.3427175176143646,2.17,7.0,0.004456125188444276
0.0,0.1810214533723637,-0.00015062739817949477,0.9514275407791137,481,376000,0.6854860569536686,47,213.51,1.3472029149532319,2.34,7.1000000000000085,0.004763682332413737
0.0,0.1778125301520465,-0.00047478352091275157,0.9583342045545578,474,384000,0.7265535478293895,48,211.45,1.3605195784568787,2.17,6.0,0.004375227836426347
0.0,0.12864064352700486,-0.0011441636175004532,0.9772891443967819,467,392000,0.552808897048235,49,202.12,1.3475219261646272,1.86,5.0,0.002578760893520666
0.0,0.16072128870019875,-0.0007431636510591488,0.9705487281084061,462,400000,0.6195478822290897,50,201.84,1.3493380272388458,2.0,5.1000000000000085,0.003215584905119613
0.0,0.1803077046082817,-0.0025763510371325537,0.9695869982242584,457,408000,0.6545927068591118,51,200.08,1.352978801727295,1.99,5.1000000000000085,0.0037411556419101543
