epoch_idx,grad_norm,fps,frames,P09:episode_rewards,policy_entropy,P01:episode_rewards,explained_variance,episode_length,advantage_norm,policy_loss,value_loss,PMM:episode_rewards
1,29.358850524591112,523,8000,3.0,1.317931736856699,0.0,-11.694569919109345,174.73170731707316,4.5975058253854515,-0.023194178409758025,1.0689801462111064,1.1951219512195121
2,0.13351684929548363,315,16000,3.6000000000000085,1.374757022857666,0.0,-21.19801642358303,179.83529411764707,0.7941031005512923,-0.0007360503632662585,0.006414684276601293,1.3411764705882352
3,0.11141508881113239,354,24000,3.1000000000000085,1.3834250235557557,0.0,-6.2175586533546445,184.55,0.744653408266604,0.00023556265057550263,0.0057755592821786194,1.49
4,0.1055496479719122,377,32000,3.0,1.385387887954712,0.0,-3.021124866604805,181.25,0.7326934587210416,0.0005375896799523617,0.0056575964357659814,1.36
5,0.07552632125802104,393,40000,3.0,1.3772296965122224,0.0,-2.210268424153328,184.92,0.7435435444675386,-0.00010011157137341797,0.005633406338474743,1.44
6,0.07322339230126777,402,48000,4.0,1.376765707731247,0.0,-1.0710701549053192,186.53,0.7835574657469988,-1.6250037879217417e-05,0.005908937628837521,1.47
7,0.06810092395451553,406,56000,3.0,1.3815991878509521,0.0,-3.588588066697121,174.42,0.605327419731766,-7.51508615212515e-05,0.004631014222923113,1.14
8,0.11536106029561533,411,64000,3.1000000000000085,1.3839148843288422,0.0,-1.5621972590684892,173.04,0.7246609450876713,0.0020191665692254903,0.0059794143522731245,1.16
9,0.0715035744821815,414,72000,4.0,1.3846991407871245,0.0,-1.7085930567979812,179.12,0.6662765674479306,-9.064720099559053e-05,0.005034054528723572,1.31
10,0.06278064721253408,415,80000,4.0,1.3848916113376617,0.0,-1.2078261542320252,177.56,0.6783888331428171,-0.00044695723918266597,0.004856071397534833,1.24
11,0.06710884263990842,415,88000,3.0,1.385480171442032,0.0,-2.2295747327804567,170.18,0.6444417817890644,0.001272641553550784,0.004907453576729495,1.08
12,0.06636800711929515,418,96000,4.0,1.3833715307712555,0.0,-1.0527178621292115,185.54,0.8099405868351459,0.000244957244140096,0.006220087857636827,1.5
13,0.06291041366286612,419,104000,3.0,1.3830422949790955,0.0,-2.6786278039216995,183.9,0.6256347172893584,-0.0003639502682199236,0.00470766479206759,1.39
14,0.06453613755407375,419,112000,3.0,1.3830514240264893,0.0,-0.9721837657690048,170.28,0.6477809185907245,-4.194806097075343e-05,0.004880342302774352,1.02
15,0.06300428404701014,420,120000,3.0,1.384435476064682,0.0,-0.8276962316036225,177.16,0.7122906667366624,-0.00046078647137619554,0.00560889243190104,1.23
