PMM:episode_rewards,P09:episode_rewards,advantage_norm,P01:episode_rewards,explained_variance,policy_loss,fps,policy_entropy,frames,value_loss,grad_norm,episode_length,epoch_idx
1.1162790697674418,3.0,2.8430686628073456,0.0,-3.8022741723060607,-0.005872219604862039,231,1.2672596274223178,8000,0.23677721780655703,7.197897423912428,171.2325581395349,1
1.0795454545454546,3.0,1.12750276401639,0.0,-0.04400981068611145,0.001979056652344298,220,1.3780052709579467,16000,0.012371528869371104,0.22402688254752331,170.64772727272728,2
1.46,4.0,1.32002585824579,0.0,-0.010601014494895936,0.0025648236874258146,237,1.3732132124900818,24000,0.016264300497005023,0.21511507161040563,186.91,3
1.56,4.0,1.158865909986198,0.0,-0.020844414830207825,0.0012170434562722222,249,1.3776193368434906,32000,0.012881380129674653,0.1781828926430646,190.76,4
1.2,3.0,1.0339874055981637,0.0,0.00011472523212432861,0.002275775989401154,257,1.3803343045711518,40000,0.011061449966437067,0.1595538358095316,176.62,5
1.36,3.1000000000000085,1.3789936166256667,0.0,-0.004040935635566711,0.00020245412400981877,263,1.3824746894836426,48000,0.015865518059836176,0.18461092935645074,184.05,6
1.49,4.0,1.1969106104969978,0.0,0.01317831814289093,-6.591192650375887e-05,267,1.3838615965843202,56000,0.012827214415538038,0.17252816885635675,186.96,7
1.34,4.0,1.1562267474085093,0.0,0.05820276737213135,0.0027624551253393292,269,1.3846524333953858,64000,0.013249846031176276,0.2146564629984166,179.54,8
1.3,3.0,1.3232890417426824,0.0,-0.0754019981622696,-0.001018476085155271,271,1.373333740234375,72000,0.01646330296527594,0.30344937922130466,176.47,9
1.39,3.0,1.2035669846832753,0.0,0.13820180773735047,0.0016877038148231805,274,1.3761860644817352,80000,0.012549172550352523,0.2188970693056057,180.1,10
1.41,3.0,1.1928099323809147,0.0,0.0748229706287384,0.0009232549328589812,274,1.3672491896152497,88000,0.012332193959446158,0.24977610819166288,179.72,11
1.12,3.0,1.2230235220491885,0.0,-0.15931302428245545,0.0016895075769571121,277,1.366972597837448,96000,0.017920703146082816,0.4507951141902425,169.23,12
0.93,3.0,1.2026509177684783,0.0,0.2633553272485733,-0.00450881168973865,278,1.3723835396766662,104000,0.012981101449404377,0.3375183846023001,164.54,13
1.05,3.0,1.2434255585074425,0.0,0.2695156651735306,-0.0037482485253713094,279,1.3703739142417908,112000,0.01270834082068177,0.3127544993802499,170.31,14
1.25,3.0,1.3884390999376774,0.0,0.2449566739797592,-0.001636754108767491,280,1.3633030104637145,120000,0.015491490792192053,0.43962228199235376,176.53,15
1.31,3.0,1.523344577550888,0.0,0.36087399423122407,-0.00805100989062339,280,1.342709732055664,128000,0.019565800700802355,0.5323669635212489,177.91,16
1.17,3.0,1.1913507986068725,0.0,0.4720746284723282,-0.002240389852668159,281,1.3511123335361481,136000,0.011542670666240156,0.3402612013611342,173.38,17
1.04,3.0,1.2199556404352188,0.0,0.3231679362058639,-0.003977009564114269,282,1.3578836119174957,144000,0.010869957554969006,0.37775711983943805,167.02,18
0.97,2.0,1.2142352443933486,0.0,0.5462115550041199,-0.005382492493372411,282,1.349811965227127,152000,0.011059121971775311,0.45973176905847174,162.96,19
1.05,3.0,1.2871706768870355,0.0,0.6112429624795914,-0.0035028331270586933,282,1.3687963235378264,160000,0.012613412018399685,0.42353709439082854,167.05,20
1.08,3.0,1.1195548754930496,0.0,0.6376287597417831,-0.0016775606642477215,283,1.3592046737670898,168000,0.009867503266432322,0.3898700113735947,169.78,21
1.28,4.0,1.3803694209456443,0.0,0.7559819549322129,-0.00458627340150997,284,1.349702432155609,176000,0.013257715301006102,0.42350453705350233,178.85,22
1.89,5.0,1.3773262685537337,0.0,0.7654966259002686,-0.0071747770853107795,283,1.3501023721694947,184000,0.014271909510134718,0.46788817419126033,197.82,23
2.03,5.0,1.1795480409264565,0.0,0.858347635269165,-0.0028006483998615295,283,1.3356565046310425,192000,0.009579925489379092,0.3795656287215359,203.67,24
1.39,4.0,1.444261907339096,0.0,0.8149901098012924,-0.010841603782610036,283,1.3273680698871613,200000,0.021766236601397395,0.6406688015642699,182.52,25
1.68,5.0,1.1222946840524672,0.0,0.9053978389501571,-0.002540666910354048,284,1.3376582884788513,208000,0.009089323619846254,0.33890698587371654,193.91,26
1.85,6.0,0.9853665161132813,0.0,0.9130401134490966,-0.000746161958668381,284,1.347616227865219,216000,0.007044611613964662,0.25785105061230285,195.72,27
1.73,5.0,0.9113968625664711,0.0,0.9238653594255447,-0.0010212940906058066,284,1.356407744884491,224000,0.006162432177225128,0.24145056169468057,190.23,28
1.82,5.0,0.9872434294223785,0.0,0.9350633645057678,-0.0007712092192377895,285,1.3330209946632385,232000,0.006763215260580182,0.2885722891989648,194.91,29
2.26,6.0,1.0168253496289252,0.0,0.9291049385070801,-0.00396739373813034,285,1.3398111867904663,240000,0.007649284101789817,0.3090075249611665,213.16,30
2.37,6.1000000000000085,0.8946139717102051,0.0,0.9525170814990997,-0.0012196484426385723,287,1.3310420644283294,248000,0.005796970070805401,0.24892674688223107,217.47,31
2.05,5.0,0.7942379692196846,0.0,0.953612596988678,-0.0002701362263178453,288,1.3375342297554016,256000,0.004405695227906108,0.2133061654895425,207.55,32
1.8,5.0,0.7751177588105201,0.0,0.9560029625892639,-0.0028034674243826883,290,1.3214788699150086,264000,0.0045120457868324595,0.2134115968606926,199.14,33
1.8,5.0,0.7653292191028594,0.0,0.9666124165058136,-0.0008741378737613559,291,1.3126470613479615,272000,0.004270173546392471,0.2084284230790542,197.1,34
2.15,5.1000000000000085,0.8273939511179924,0.0,0.9459594440460205,-0.0008983437790448078,292,1.3414086818695068,280000,0.005077418998116628,0.21570577379694936,208.33,35
2.16,5.1000000000000085,0.7193729224801063,0.0,0.9626127862930298,-0.0015730080986395478,293,1.325249263048172,288000,0.00399427540571196,0.19426875493745965,207.8,36
