P01:episode_rewards,P09:episode_rewards,epoch_idx,fps,value_loss,approx_kl_divergence,PMM:episode_rewards,grad_norm,advantage_norm,policy_entropy,explained_variance,frames,policy_loss,clip_fraction,episode_length
0.0,150.0,1,433,703032.7018797679,1788.9108622230874,57.5,2553446.3374318555,15.968706208467484,1.4708237452454966,-4.57420772202313,10240,0.03061878981652626,0.453369140625,303.23333333333335
0.0,275.0,2,338,0.008707690068877127,0.002990947688886081,118.44262295081967,0.058930162525401196,15.968715912103653,1.7680806413292884,3.7252902984619143e-10,20480,-0.0009820732495427365,0.2116455078125,318.9672131147541
0.0,290.0000000000002,3,381,0.010025799162394832,0.0026188868004169306,139.21052631578948,0.05210632946414451,15.968717831373215,1.7759580597281457,9.685754776000977e-09,30720,-0.001568556462007109,0.208251953125,322.5684210526316
25.0,405.00000000000045,4,407,0.010169038452022505,0.0026202080886207567,186.0,0.05166270584987479,15.968717724084854,1.7682700917124747,-9.685754776000977e-09,40960,-0.0014081086796068122,0.1983642578125,333.55
47.50000000000001,332.5000000000006,5,426,0.008113904844231001,0.0027187254450950606,175.0,0.05417259013559158,15.968717539310456,1.780531295388937,1.3411045074462891e-08,51200,-0.0011459007757366635,0.2058837890625,330.95
25.0,327.5000000000002,6,443,0.008802587351601688,0.003239192054712703,173.25,0.05532664710898041,15.968717533349992,1.7849078826606273,-1.862645149230957e-09,61440,-0.002032073709415272,0.2654052734375,333.67
25.0,275.0,7,453,0.00829909389635759,0.003930151884105726,153.25,0.0550537290517006,15.968717283010482,1.7736636243760586,-1.0430812835693359e-08,71680,-0.0017837369668995962,0.26884765625,333.57
25.0,277.5000000000002,8,461,0.010290781176399833,0.002772141782671156,166.5,0.055464007540216284,15.968717819452285,1.772881917655468,1.3783574104309083e-08,81920,-0.001767399991149432,0.207861328125,339.03
25.0,307.5000000000006,9,469,0.006923154026389966,0.0037408723512044164,160.75,0.05174990957883564,15.968717527389526,1.7764599598944186,1.080334186553955e-08,92160,-0.0018788713012327207,0.2612548828125,335.39
25.0,477.5000000000002,10,476,0.008054859905041668,0.002689701270742262,171.0,0.053410807987122555,15.968717581033706,1.775554182380438,-2.60770320892334e-08,102400,-0.0011234275858441833,0.2067626953125,329.65
22.500000000000007,430.0000000000004,11,481,0.008374406597431517,0.004391687784959686,158.75,0.055866821533571184,15.968717843294144,1.766497016698122,-2.2351741790771484e-09,112640,-0.002439308663451811,0.3121337890625,326.89
25.0,480.00000000000045,12,485,0.007634939504345084,0.0037165745548577434,163.5,0.052904800122293,15.96871446967125,1.772165421396494,-7.450580596923828e-09,122880,-0.0019052783103688854,0.2615234375,332.94
25.0,350.0,13,488,0.008299899984922376,0.003165445571028158,167.75,0.055062462753838394,15.968717753887177,1.773582535982132,-7.82310962677002e-09,133120,-0.0016170903720194474,0.2408203125,337.89
25.0,327.5000000000002,14,491,0.007648746520908389,0.0034586525394161073,158.25,0.05326812047680041,15.96871737241745,1.7770184375345708,8.195638656616212e-09,143360,-0.0013425605509837623,0.2488037109375,331.18
50.0,327.5000000000002,15,491,0.007827189846284454,0.0027317124531464287,149.25,0.05576136940656382,15.968717533349992,1.773472462594509,-4.8428773880004884e-09,153600,-0.0009287412183766719,0.1886962890625,321.38
25.0,302.5000000000002,16,494,0.006656515696886345,0.0032278145747568487,138.0,0.051239553987245515,15.968717592954636,1.769089911878109,3.3527612686157227e-09,163840,-0.001576188748003915,0.2267822265625,316.83
25.0,305.00000000000045,17,496,0.00856511851579853,0.002611283658279717,141.25,0.05440573274391615,15.968717855215072,1.7750129967927932,2.16066837310791e-08,174080,-0.001259168450269499,0.205908203125,322.57
25.0,282.5000000000007,18,497,0.008280006882660017,0.003535329060167669,146.5,0.052991238845420764,15.968717402219772,1.7787210129201412,4.8428773880004884e-09,184320,-0.0018659674562513829,0.243701171875,330.84
