epoch_idx,value_loss,frames,episode_length,PMM:episode_rewards,fps,policy_loss,P01:episode_rewards,P09:episode_rewards,policy_entropy,advantage_norm,grad_norm,explained_variance
1,0.015979994234639888,8000,186.64102564102564,1.4871794871794872,716,0.0032766838785028085,0.0,3.0,1.3841663765907288,1.3372513689100742,0.09403576169002763,-1.0520413571596146
2,0.011320379391672759,16000,178.67415730337078,1.303370786516854,685,0.0021586277539609,0.0,3.0,1.3849045526981354,1.060878876335919,0.03704949839662337,0.06831957399845123
3,0.014291253505252826,24000,174.35,1.2,675,0.003244272437877953,0.0,3.0,1.385238810777664,1.2700359557941556,0.042089512684150766,-0.3436810314655304
4,0.014253630526236521,32000,179.73,1.32,672,0.0019319356349296868,0.0,3.0,1.3840744495391846,1.268088288679719,0.04671438321604357,0.03608690917491913
5,0.012336911305173998,40000,182.2,1.38,671,5.2197183831594887e-05,0.0,3.0,1.3851626873016358,1.1548848976939916,0.03711947186787615,0.032020553946495056
6,0.01121330224104895,48000,171.8,1.14,669,0.00325864790356718,0.0,3.0,1.3855362617969513,1.064053125344217,0.032490193207275336,0.03961173951625824
7,0.010655984321547294,56000,167.41,1.03,668,-0.0011852130340412258,0.0,2.0,1.3843707585334777,1.0001873387396336,0.03510473978808338,0.0750109887123108
8,0.01160693527028343,64000,171.5,1.11,667,0.0023529441608116032,0.0,3.0,1.3854226887226104,1.0752660529315472,0.03429492096063888,0.07889272034168243
9,0.012639520142693072,72000,176.99,1.27,668,0.0027095525554614143,0.0,3.0,1.3847944247722626,1.1742570685595275,0.036725529947611656,0.06546087741851807
10,0.013614021838584449,80000,185.37,1.51,667,-0.0008394633524585515,0.0,3.1000000000000085,1.3853340983390807,1.2642912460863591,0.03918974352755523,0.08643034636974335
11,0.012180897672878927,88000,179.21,1.33,668,0.003195151099935174,0.0,4.0,1.385718754529953,1.1650045741721988,0.03722341703487324,0.12481635808944702
12,0.0105078416068136,96000,171.51,1.09,667,0.0002725559158716351,0.0,3.0,1.385868045091629,1.0408582340180874,0.03557814877313679,0.15112762808799743
13,0.013017165048950119,104000,175.55,1.18,667,0.0008307296049315482,0.0,3.0,1.3853377318382263,1.20012934461236,0.04554382717635125,0.1749100434780121
14,0.013449088853085413,112000,180.11,1.29,667,0.0025980985607020556,0.0,3.0,1.3842231845855713,1.2467047749459743,0.04873112103988672,0.15985065937042237
15,0.013915399072866421,120000,187.54,1.51,668,0.00020765025081345812,0.0,4.0,1.3836945128440856,1.250903516858816,0.05615488530754811,0.26395727813243863
16,0.013877277709689224,128000,191.58,1.67,668,0.000325156090548262,0.0,4.1000000000000085,1.3825414156913758,1.2559180592000485,0.06329654869749889,0.2773219931125641
17,0.012145949074038072,136000,181.91,1.41,668,0.0025835701820324177,0.0,3.0,1.3839540255069733,1.2064456401765347,0.058151873478901696,0.4033153468370438
18,0.01151421139773447,144000,182.33,1.37,668,0.0006018631405459019,0.0,3.0,1.3844051742553711,1.159825308173895,0.0661057638960699,0.44716414391994475
19,0.007933325680933195,152000,176.2,1.19,668,0.0011043231887742878,0.0,3.0,1.3852782726287842,0.9861465208232403,0.05306488391928596,0.4298753607273102
20,0.011004775680194144,160000,170.0,1.04,667,0.00030428035359364,0.0,3.0,1.3843630981445312,1.1395004661381245,0.0720117285054274,0.4539940810203552
21,0.009707302470342256,168000,166.37,1.01,666,0.0019475804515968775,0.0,3.0,1.3850160229206085,1.1204814025759697,0.06835419910009298,0.49120729267597196
22,0.012175367524032482,176000,168.18,1.08,666,-0.00037462906329892575,0.0,3.0,1.3849915015697478,1.2218594580888749,0.07657176071796291,0.3818570375442505
23,0.01387294948886847,184000,184.52,1.41,667,0.005506814556429163,0.0,3.0,1.3835338258743286,1.3539733219146728,0.09619596280190469,0.5679572808742523
24,0.012394219439011067,192000,184.6,1.41,666,-0.0024867958582763094,0.0,3.0,1.3838571441173553,1.2428284965455532,0.09741198346414427,0.432483491897583
25,0.013493884158087895,200000,178.47,1.29,666,-0.0002283778286073357,0.0,3.0,1.3847189342975617,1.3328990620374679,0.11217354659337683,0.5044529116153718
26,0.012056024904595689,208000,182.54,1.43,666,0.0016005446040071548,0.0,3.0,1.38588054895401,1.291320949792862,0.09686968351302097,0.6273546344041825
27,0.008861122213420457,216000,178.26,1.34,666,-0.0006878784104446822,0.0,3.0,1.3859310257434845,1.0605415759980679,0.08743059034741199,0.5712129324674606
28,0.01018570593383629,224000,170.61,1.13,665,0.0007078305201139301,0.0,3.0,1.385269864797592,1.1735461455583573,0.08885921113749932,0.6718646520376206
29,0.010504357659083325,232000,170.65,1.18,665,-0.0007226583259762265,0.0,3.0,1.3854161250591277,1.1623070046305657,0.10744791426229144,0.6642063933610917
30,0.01428584441775456,240000,180.87,1.5,665,-0.0009829268520115874,0.0,3.0,1.3850071012973786,1.3860478794574738,0.1213742424855546,0.6578221851587296
31,0.012801049086847342,248000,186.44,1.6,666,4.192531283479184e-05,0.0,4.0,1.3832433712482453,1.3227515709400177,0.10658966589783535,0.7043958961963653
