frames,P09:episode_rewards,fps,policy_entropy,PMM:episode_rewards,epoch_idx,P01:episode_rewards,grad_norm,value_loss,episode_length,advantage_norm,explained_variance,policy_loss
8000,3.0,536,1.3405209541320802,1.125,1,0.0,22.557596568605103,0.6817113541704429,176.2,4.291971848178655,-2.028808661699295,-0.11522851059082313
16000,3.9000000000000057,323,1.3834923529624938,1.4268292682926829,2,0.0,0.10019797171761258,0.006498414409215911,185.0731707317073,0.7881393488310278,-2.308032160997391,-0.00036540836255881
24000,4.0,365,1.3841257035732268,1.54,3,0.0,0.08583334953856499,0.005860027468397675,189.87,0.7097494557127356,-8.929572097659111,0.0007430517993634567
32000,4.0,389,1.3855015587806703,1.56,4,0.0,0.08656551874048109,0.005821644262923655,191.92,0.7316681604459881,-2.4553038835525514,0.0005852804542519153
40000,4.0,405,1.3852618491649629,1.61,5,0.0,0.07593706086915311,0.005716370515906419,190.04,0.7412680253759026,-2.1382909566164017,0.0003557690291199833
48000,4.0,415,1.3842522525787353,1.64,6,0.0,0.08714472322055788,0.006549022824419808,190.18,0.7896618566662074,-2.5667017036676407,0.0003471991315018386
56000,4.0,422,1.3849440908432007,1.4,7,0.0,0.06919226732320848,0.00505051901255456,183.27,0.6545704161562026,-1.89953244805336,-0.0001293397011477282
64000,3.0,424,1.3839544188976287,1.15,8,0.0,0.07231237336168415,0.0052087530519008855,174.97,0.6779007591772824,-2.5154443323612212,0.00017078619421226904
72000,3.1000000000000085,428,1.384558951854706,1.38,9,0.0,0.0874025206790478,0.0058796170521554815,183.38,0.7428537864238024,-1.8755620074272157,0.0003578237566398457
80000,3.0,431,1.3829389202594757,1.41,10,0.0,0.11482488124157131,0.00580768537524591,183.9,0.722464871648699,-3.179780541062355,-0.0010584301875678648
88000,3.0,431,1.3851198852062225,1.32,11,0.0,0.0826148981818452,0.005664736039557283,180.59,0.7044205630011856,-2.021163255572319,0.00010297097207512707
96000,3.0,433,1.3853999519348144,1.19,12,0.0,0.08132233702813194,0.005093787698508549,175.74,0.6583202256634831,-2.483769494891167,0.0005712119183590403
104000,3.1000000000000085,436,1.3842912590503693,1.34,13,0.0,0.0788167480246593,0.005410476188296797,181.21,0.6844729608483613,-2.009376588463783,-0.0004472659292514436
112000,3.0,438,1.3845167291164397,1.27,14,0.0,0.07288797863712115,0.004902959943740371,181.57,0.619254765752703,-2.96327230989933,0.0004929104681650643
120000,3.0,439,1.3849208676815032,1.36,15,0.0,0.08855105278513908,0.0059298330318415535,184.16,0.7567917358223348,-1.7000433266162873,-0.0008235391971538775
128000,3.0,440,1.385423036813736,1.34,16,0.0,0.09354264211605536,0.005422446921688789,181.14,0.6987846103683114,-1.5357519215345383,0.0003500493415049277
136000,3.1000000000000085,442,1.3837816095352173,1.44,17,0.0,0.09745106831574513,0.005781608166344086,185.42,0.7574634574353695,-2.0471257793903352,-0.00010874845058424398
144000,4.0,443,1.3845123982429504,1.52,18,0.0,0.09361116354009959,0.004994443490713821,189.54,0.6844423768669367,-2.7936495447158816,-9.744691695232177e-05
152000,4.1000000000000085,444,1.3845307910442353,1.48,19,0.0,0.10172413417767294,0.005645292304434406,185.94,0.7484876352921128,-2.2210955572128297,-7.3690015415195375e-06
160000,5.0,445,1.3840634751319885,1.62,20,0.0,0.3389429006230937,0.009000246664236329,190.43,0.7893557526916265,-2.381698538661003,-0.007835444381926208
168000,4.0,445,1.3853145968914031,1.57,21,0.0,0.09755682398239479,0.004392921755206771,190.81,0.6483803180977702,-1.67644081056118,0.0002977857677615248
176000,3.0,446,1.383013207912445,1.47,22,0.0,0.12858706538069428,0.005525668189184216,187.6,0.7614821097254754,-1.855693472623825,0.0017640621957252733
184000,4.0,446,1.384271376132965,1.61,23,0.0,0.39307013069709607,0.008066150706599728,191.2,0.7529126124829054,-5.766786187887192,-0.011906317634566222
192000,4.0,447,1.3855039978027344,1.57,24,0.0,0.09346587786409613,0.003938585107443941,188.15,0.6028984656184911,-2.484064911007881,4.3257353245280685e-05
200000,3.0,448,1.3851131808757782,1.24,25,0.0,0.10310353626379756,0.0036659132813474573,175.6,0.6038870400935411,-2.764472609162331,-0.00016455606251838617
208000,3.0,448,1.3846238565444946,1.07,26,0.0,5.102021597819898,0.22293913682071434,169.35,1.1397969749569894,-4.121473550200462,-0.08523149523677603
216000,3.0,449,1.3848735296726227,1.0,27,0.0,0.08020598425708964,0.002742028781103727,168.22,0.5129206171631813,-2.37164045214653,-0.00021356327801186126
224000,3.0,449,1.3849406850337982,1.08,28,0.0,0.10171100999061024,0.0032798682008797187,170.29,0.6063126609474421,-3.870547496676445,0.0010327004352257063
232000,3.0,450,1.3840553224086762,1.4,29,0.0,0.08300769688878379,0.0030244932041023275,181.82,0.5521172999590636,-3.190895658135414,-0.00029004189746046906
240000,3.0,449,1.3850339293479919,1.3,30,0.0,0.08095519023158274,0.0021481049000431087,178.45,0.45193971499800684,-3.33521289229393,0.0004597502631804673
248000,3.0,449,1.3855877888202668,1.3,31,0.0,0.10158622297522198,0.003918259751699225,176.82,0.6517922582477331,-2.8688834100961684,0.0003620095318183303
256000,3.0,450,1.3855205833911897,1.39,32,0.0,0.08881448089893819,0.002480659270004253,180.78,0.4876466631144285,-1.9967523527145385,-0.0006708247979986482
264000,3.0,450,1.3823616743087768,1.23,33,0.0,0.0749125650818498,0.002698245099199994,176.34,0.5117457608133554,-3.896184252500534,0.0002888826322305249
272000,3.0,451,1.38251074552536,1.17,34,0.0,0.09391982361140531,0.003021884565932851,173.39,0.5467627100646496,-3.167547045946121,-0.0003531814974849112
280000,3.0,453,1.3829795026779175,1.3,35,0.0,0.09507472482561222,0.00297804913327127,178.44,0.5653817050904035,-2.5992389476299285,-0.00037312651838874447
288000,3.0,454,1.3847666311264037,1.35,36,0.0,0.08494680002178427,0.002637575859116623,180.67,0.5363719426840544,-4.2793255120515825,0.0001045257416262757
296000,3.0,456,1.383986964225769,1.35,37,0.0,0.08675329086877773,0.00276630369531631,180.35,0.5307543756812811,-1.9425381523370744,0.0004077385635173414
304000,3.0,457,1.384953075647354,1.36,38,0.0,0.06528202564155933,0.002167332189019362,181.13,0.43727627240121364,-4.877147631049156,0.0003724814438101021
312000,4.0,458,1.3854445385932923,1.34,39,0.0,0.0867478421745361,0.0029541509733098793,180.77,0.5714614512771368,-1.8957620495557785,-8.682780200615525e-05
320000,4.0,459,1.3854964458942414,1.38,40,0.0,0.08314569401453832,0.0024678379595388833,181.38,0.4990353123098612,-1.657873427271843,2.6090860073963996e-05
328000,3.0,460,1.3847294497489928,1.36,41,0.0,0.07862276601679732,0.002096890757566143,181.41,0.46188776023685935,-2.2644473737478257,-0.0001800111308693886
