P01:episode_rewards,fps,grad_norm,policy_entropy,frames,advantage_norm,PMM:episode_rewards,episode_length,explained_variance,policy_loss,value_loss,epoch_idx,P09:episode_rewards
0.0,349,2.8256063607980817,1.3175440019369125,8000,1.9653138172253966,1.2380952380952381,178.92857142857142,-0.31741868555545805,-0.02436332395300269,0.17141789729825177,1,3.0
0.0,172,0.2411043270845601,1.382076712846756,16000,1.298723283596337,1.2325581395348837,179.19767441860466,0.008644670844078065,0.0034518247132655235,0.016147241716562347,2,3.0
0.0,208,0.3173341408107761,1.3316712021827697,24000,1.2599616411328316,1.46,189.07,0.004737359881401062,-0.00031007765035610644,0.015538324690314766,3,3.0
0.0,234,0.27108878533334135,1.3675970709323884,32000,1.2413780088350177,1.43,186.0,0.0047744899988174435,0.0003833999461494386,0.01416252958446421,4,3.0
0.0,252,0.23586605307296898,1.3747519433498383,40000,1.2340478497743606,1.26,178.17,0.014468392133712768,0.0014494721009396016,0.013801331596951058,5,3.0
0.0,267,0.2532352391401566,1.3696152234077454,48000,1.0664552845060826,1.37,181.85,-0.035707555413246155,0.0029292304814589444,0.011460970688785892,6,3.0
0.0,278,0.2653357277930065,1.3774359214305878,56000,1.2638199546933173,1.44,183.1,0.15119092404842377,0.0028641428123228254,0.013996949353459059,7,3.0
0.0,288,0.3110078395811565,1.3770123636722564,64000,1.3822568853199482,1.47,185.31,0.3002643328905106,0.0020448239993856986,0.015374881767493208,8,4.0
0.0,296,0.5026346838339684,1.3421920788288118,72000,1.6138566106557846,1.71,194.56,0.6077504533529282,-0.007602503682719543,0.02211783197475597,9,4.0
0.0,304,0.5025634751432314,1.3505723345279694,80000,1.4920418807864189,2.39,213.11,0.5694744545221329,-0.004537073023093399,0.017900028380099683,10,7.0
0.0,309,0.35755663156678713,1.3666365337371826,88000,1.2623408734798431,2.01,199.86,0.6313165730237961,-0.0007389322196831926,0.013411292799864895,11,6.0
0.0,313,0.36802424695679653,1.346516271829605,96000,1.420386238694191,1.59,186.68,0.8171568310260773,-0.004900911136646755,0.014209805997088551,12,5.0
0.0,317,0.3137056275646174,1.3678400444984435,104000,1.155752342045307,1.62,187.58,0.8344156724214554,-0.003113210561750748,0.009761520785978063,13,5.0
0.0,321,0.3410322057344339,1.350149563550949,112000,1.2195098307728767,1.77,194.98,0.8402126890420913,-0.00045849678746890277,0.011583969641942532,14,5.0
0.0,324,0.27833749847510725,1.3547763621807098,120000,1.0670690801739693,1.84,197.49,0.8709120953083038,-0.0007017709661158733,0.008185035248752684,15,5.0
0.0,328,0.2876261156043005,1.3488048422336578,128000,1.042608703672886,1.83,197.96,0.9115002435445786,-0.0032805448999715736,0.008244473295053466,16,5.0
0.0,331,0.2771566740884093,1.345477558374405,136000,0.983661071062088,1.7,191.34,0.9186257547140122,-0.0021450408123200758,0.0069423597725108265,17,4.1000000000000085
0.0,333,0.24168513247776452,1.3274884295463563,144000,0.8854902908205986,1.68,190.38,0.938278346657753,0.0008741135156014934,0.006342408111668192,18,5.0
0.0,336,0.3646150796024792,1.3427308988571167,152000,1.133339785039425,2.12,204.79,0.8830170261859894,0.0007413277224986814,0.01009728582110256,19,6.0
0.0,342,0.2791912605558951,1.3493469178676605,160000,1.0087983721494675,2.57,221.97,0.9205308789014817,-0.0005686571125988848,0.007618246704805642,20,9.0
0.0,347,0.2046420832731282,1.3642259240150452,168000,0.7613573622703552,2.26,213.47,0.959423286318779,-0.0003616847986995708,0.0044046133093070235,21,6.0
0.0,354,0.19839256725280127,1.3488180649280548,176000,0.7614273875951767,2.09,208.62,0.9503420001268387,-0.0006202341568314296,0.004590611099265516,22,5.0
0.0,361,0.20413129544869135,1.3425234103202819,184000,0.74558911383152,1.95,202.65,0.9572333455085754,-0.0032682481184019706,0.004394653356866911,23,5.0
0.0,369,0.19897190682390004,1.3614311170578004,192000,0.7956476655602455,2.01,207.28,0.9426313197612762,0.000926582509491709,0.004994270484021399,24,5.0
0.0,375,0.19706869206617894,1.3542381608486176,200000,0.7518784123659134,1.8,199.53,0.9508662354946137,-0.0011697267960698809,0.004477021818747744,25,5.0
0.0,379,0.252274867880875,1.3572715532779693,208000,1.0152307114005088,2.09,209.14,0.8829374760389328,-0.0014893838980788133,0.00812912721768953,26,6.0
0.0,385,0.19444944253572363,1.3296919679641723,216000,0.7307684950530529,2.09,208.59,0.958283686041832,-0.002710201031877659,0.004489009761309717,27,6.0
0.0,390,0.17068632209172882,1.349477891921997,224000,0.6306565189361573,1.95,204.81,0.9720534974336624,0.00040925064007751643,0.0030265477776993065,28,5.0
0.0,396,0.24924976457543363,1.3731810796260833,232000,0.9237868118286133,1.87,199.49,0.9145400935411453,0.0002019015300902538,0.006767059286357835,29,5.0
0.0,402,0.23886591131859167,1.3613075757026671,240000,0.957342044711113,1.71,191.78,0.9264890074729919,-0.0026532825815957038,0.007204332827823237,30,5.0
0.0,400,0.22712723148042202,1.3429493880271912,248000,0.9027533507347107,1.98,202.87,0.9312298280000687,-0.0026435277494601906,0.006303830873221159,31,5.1000000000000085
0.0,407,0.16527739740340144,1.3229953336715699,256000,0.6580113863945007,2.29,217.25,0.9699126374721527,0.00045155406056437644,0.003409338531200774,32,5.1000000000000085
0.0,411,0.20794978367889294,1.360936208963394,264000,0.9011972287297249,2.48,220.75,0.9261362969875335,-0.0014272581617115066,0.0062956382255651986,33,6.1000000000000085
0.0,416,0.16038366409255464,1.3343739795684815,272000,0.6355706651508808,2.37,216.17,0.9704906672239304,-0.0008534513631548179,0.0032724855419655795,34,7.0
0.0,421,0.20380029592686413,1.3636657810211181,280000,0.8342283037304878,1.79,195.1,0.9357884651422501,-0.00021409035893157124,0.005805399175442289,35,5.0
0.0,426,0.14844065866107475,1.349695451259613,288000,0.6715922337770462,2.02,204.11,0.9637989729642868,-0.0012784021128027234,0.0038593004443100653,36,5.0
0.0,430,0.1716355834309804,1.3405214023590089,296000,0.7186834688484669,2.34,212.85,0.9641705089807511,-0.0008940627538686386,0.004289158214814961,37,7.0
0.0,435,0.18604726842669753,1.3663555943965913,304000,0.7297472454607487,2.11,206.24,0.9522741264104844,-0.000848920742282644,0.004426693075802177,38,5.1000000000000085
