q_loss,epoch_idx,explained_variance,grad_norm,P01:episode_rewards,avg_q_selected,policy_gradient_loss,rollout_prob_std,model_prob_std,avg_q_retraced,fps,advantage_norm,P09:episode_rewards,episode_length,frames,policy_entropy,policy_gradient_bias_correction,policy_loss,PMM:episode_rewards
0.000678650741247111,1,-21.667057116826374,0.03630727662259088,0.0,0.012536675591642657,-0.00027279433140089775,0.03234143927693367,0.03234144002199173,0.012504744809120893,499,0.07207084832092127,0.0,0,7200,2.1273033221562705,-3.434103695854063e-13,-0.00027279433140089775,0.0
0.0003660919088815717,2,-66.01333586374919,0.034475371800358284,0.0,0.003747092268895358,8.212696014500883e-05,0.026898529628912607,0.02689852938055992,0.0029675577107506493,260,0.02913022069260478,0.0,0,14400,2.15441476504008,0.0,8.212696014500883e-05,0.0
1.540825423944625e-05,3,-8.561217021942138,0.002627465116269044,0.0,-0.0006105733700678684,1.1089030848173327e-05,0.011064336666216453,0.011064336728304624,-0.0006191858708765115,297,0.021378161820272603,0.0,0,21600,2.1922390540440877,0.0,1.1089030848173327e-05,0.0
6.022417217081966e-05,4,-11.007826773325602,0.005881719254525069,0.0,-0.003518149194618066,8.105592042587281e-05,0.018704110228766998,0.0187041104460756,-0.0035855795877675215,321,0.05043794652447105,0.0,0,28800,2.183310135205587,0.0,8.105592042587281e-05,0.0
1.641412563155124e-05,5,-6.133542847633362,0.0021976175439408037,0.0,-0.0014848185062874108,1.706491580080183e-05,0.012887063187857468,0.012887063312033813,-0.0014594396304649611,335,0.021610333180675904,0.0,0,36000,2.189877160390218,0.0,1.706491580080183e-05,0.0
3.166720867966433e-05,6,-10.800286070505779,0.0035331246591354406,0.0,-0.0019804410684931403,4.311111493962017e-05,0.016878903998682897,0.016878903843462467,-0.0018385818499761324,339,0.0356681608594954,0.0,3324.9166666666665,43200,2.1849406719207765,0.0,4.311111493962017e-05,0.0
3.8256857313475246e-06,7,-12.747230021158854,0.0012178214051627688,0.0,-0.0009267305634693912,1.0522148196893491e-05,0.01073580061395963,0.010735800582915544,-0.0009068060940383778,340,0.01098347312460343,0.0,3324.9166666666665,50400,2.192512599627177,0.0,1.0522148196893491e-05,0.0
2.0960576383307244e-06,8,-13.913382863998413,0.0008996293005067157,0.0,-0.0013433706983657127,3.473965838907134e-05,0.00957185992350181,0.009571860016634067,-0.0012970489305416776,346,0.008269114202509325,0.0,3324.9166666666665,57600,2.1934948444366453,0.0,3.473965838907134e-05,0.0
1.8084162358415295e-05,9,-8.215221659342449,0.002149144319923048,0.0,-0.00109033127616082,1.8150129547696756e-05,0.012484559478859106,0.012484559354682763,-0.0011067846823910562,353,0.026252810657024384,0.0,3324.9166666666665,64800,2.1903982162475586,0.0,1.8150129547696756e-05,0.0
1.1677351066434009e-05,10,-11.41557110150655,0.0016906631622080914,0.0,-0.0009509096726105781,3.068559628900402e-05,0.01032526632770896,0.010325266405319174,-0.0009446258264536785,358,0.01914480495421837,0.0,3324.9166666666665,72000,2.1922772248586018,0.0,3.068559628900402e-05,0.0
2.569796093041532e-05,11,-6.430813805262248,0.003004766672604133,0.0,-0.0017124630578715975,2.465424576409229e-05,0.012694260291755199,0.012694260198622942,-0.0016183045906169962,362,0.03607077018047373,0.0,3324.9166666666665,79200,2.1902859210968018,0.0,2.465424576409229e-05,0.0
3.627841868099798e-06,12,-8.362087361017863,0.0006787542370041169,0.0,-5.573610281620252e-05,-4.781403580030504e-06,0.00683313705958426,0.006833137044062217,-6.760857406031088e-05,365,0.008843935017163554,0.0,3325.25,86400,2.1951385895411173,0.0,-4.781403580030504e-06,0.0
1.0314760383304626e-06,13,-11.517835648854573,0.00043988458412047256,0.0,0.00012200940873299259,-2.9986806445355305e-06,0.00589266528065006,0.005892665311694145,0.00013563569170097858,369,0.005002773498805861,0.0,3325.25,93600,2.1958098808924356,0.0,-2.9986806445355305e-06,0.0
6.749607734946039e-07,14,-10.05344516436259,0.00036138039203062927,0.0,0.00046821558535157235,-9.976208067049205e-06,0.005666159512475133,0.005666159403820832,0.0004622929709209226,373,0.005324777099303901,0.0,3325.25,100800,2.195917097727458,0.0,-9.976208067049205e-06,0.0
2.03885010146602e-05,15,-9.499537086486816,0.0024594508218872195,0.0,-0.0005542526743132233,1.5578927347329832e-05,0.010542632406577468,0.010542632391055426,-0.0005460246369087448,377,0.03306065180416529,0.0,3325.25,108000,2.1925246318181357,0.0,1.5578927347329832e-05,0.0
4.396279762630684e-06,16,-13.74839382171631,0.0006324443175792831,0.0,0.0003083683249618237,-1.0892002001128276e-05,0.00606358521617949,0.006063585231701533,0.0003108632634393871,381,0.009119930296825866,0.0,3325.25,115200,2.195535143216451,0.0,-1.0892002001128276e-05,0.0
1.2427114723672434e-05,17,-7.900454331182298,0.0018581662127672223,0.0,-0.00045179467576316606,-3.492030356165565e-07,0.011374087895484757,0.007721324219009913,-0.00040474250505501423,379,0.027268813849567246,0.0,3325.1666666666665,122400,2.1946017230503143,2.2233142787955427e-07,-1.2687153690378462e-07,0.0
2.7522055275840385e-06,18,-9.110318746964138,0.0007299816715871126,0.0,0.00019822911076601416,-1.60012036515554e-06,0.011843175808276991,0.004998156168755568,0.00018844796504506828,372,0.012388646344983182,0.0,3325.1666666666665,129600,2.1961850854770213,-2.130042367818389e-06,-3.730162736111971e-06,0.0
