episode_length,PMM:episode_rewards,value_loss,frames,explained_variance,advantage_norm,epoch_idx,fps,P09:episode_rewards,policy_entropy,grad_norm,P01:episode_rewards,policy_loss
159.51111111111112,1.0,1.1755911585756984,8000,-2.726293067932129,5.01733757102862,1,531,2.0,1.3046843137592077,28.838329352300672,0.0,0.006475974682398373
167.82417582417582,1.0879120879120878,0.005843662206882527,16000,-9.429227927923202,0.7381737729534507,2,327,3.0,1.3838924813270568,0.09363677705583326,0.0,-2.630004280945286e-05
181.35,1.33,0.005608984249588503,24000,-5.745718421339989,0.695090095102787,3,387,3.0,1.3835916197299958,0.0826519178119083,0.0,-3.8468297134386376e-05
175.49,1.21,0.004496907123780147,32000,-9.61973116517067,0.5897669918462634,4,424,3.0,1.3847128331661225,0.06335263328578489,0.0,0.0009776574379066006
167.89,1.06,0.004757771004533424,40000,-5.954375792741775,0.6090456604026258,5,446,3.0,1.3826352012157441,0.07288890000780372,0.0,-0.0005045687572282987
168.02,1.05,0.0048115772705637026,48000,-3.3770836001634597,0.6214088041335344,6,461,2.1000000000000085,1.3795034158229829,0.05850174243749545,0.0,-0.0001538193301530555
170.05,1.08,0.005250232650780617,56000,-2.149113794565201,0.6407088188268244,7,483,3.0,1.3817408859729767,0.06803900555513032,0.0,-8.083350141532719e-05
170.33,1.13,0.005996713351523794,64000,-1.1799667072296143,0.7409027645364403,8,489,3.0,1.3812570202350616,0.07484790843667719,0.0,0.0002742402086732909
178.68,1.38,0.005811987092406525,72000,-1.3694719690084458,0.7175337061844766,9,502,3.0,1.3833015513420106,0.08744782045696292,0.0,-0.0008303580316714942
185.73,1.49,0.005974260508014595,80000,-1.1828755247592926,0.753584199026227,10,512,4.0,1.383930003643036,0.07757484811121762,0.0,0.0006804175631259568
176.66,1.23,0.00477222319305838,88000,-2.2242237734794617,0.6285629670601338,11,519,3.0,1.381527497768402,0.06326093969402878,0.0,-0.0003705915583122987
