episode_length,P09:episode_rewards,value_loss,P01:episode_rewards,epoch_idx,policy_loss,explained_variance,frames,fps,grad_norm,policy_entropy,PMM:episode_rewards,advantage_norm
206.38,5.1000000000000085,0.003777494656969793,0.0,38,-0.00010919018444838002,0.9604571002721787,304000,519,0.1677108425479542,1.3622354471683502,2.12,0.676132218837738
199.36,5.0,0.003929745501518482,0.0,39,-0.0014796474977629259,0.9609850251674652,312000,519,0.18101479509971058,1.3527085626125335,1.88,0.6536720269918441
199.59,5.0,0.003991908138850704,0.0,40,-0.0006810335672344081,0.9596514493227005,320000,510,0.18217461963756632,1.3591797924041749,1.92,0.6816264303028583
187.32,5.0,0.0035793734970502554,0.0,41,-0.0005759926882456057,0.9609444469213486,328000,508,0.1656376033889237,1.3592503011226653,1.58,0.6744687648117542
189.9,5.0,0.005134889751498122,0.0,42,-0.0015584020625101403,0.9384620463848115,336000,507,0.21116236978616315,1.3590975642204284,1.64,0.7804809229075909
210.87,9.0,0.0032998961227713153,0.0,43,-0.0006943343425518834,0.9648361587524414,344000,501,0.15474926001492895,1.3506793999671936,2.28,0.6527226915955544
215.48,8.100000000000009,0.0037061173623078505,0.0,44,0.0005480746955436189,0.9583932894468308,352000,497,0.16498630468997014,1.3460179913043975,2.4,0.642696525901556
220.19,9.0,0.009070720644085668,0.0,45,-0.001351657669292763,0.8961491477489472,360000,483,0.28650199777482865,1.371424036026001,2.54,1.0561591985821723
213.6,7.0,0.008223331408808009,0.0,46,-0.001481451687286608,0.8660673105716705,368000,474,0.2586153896132334,1.3745140147209167,2.36,1.044665484726429
212.63,6.0,0.004860417258460075,0.0,47,-0.002131558292603586,0.9420254963636399,376000,467,0.21155991881674224,1.3573003041744232,2.27,0.8104295352101326
212.75,5.0,0.011630406996700912,0.0,48,-0.0009075138007756323,0.822581278681755,384000,461,0.3290410054193638,1.3745746910572052,2.27,1.2734956330060958
209.2,5.0,0.005166826053173281,0.0,49,-0.0003776374364679214,0.9531350272893906,392000,455,0.19916380289121374,1.3578293430805206,2.11,0.8227923581004143
218.58,8.0,0.004964767581550404,0.0,50,-0.0007082626468036323,0.9553705209493637,400000,450,0.20256914052325506,1.3470902383327483,2.52,0.8187749257683754
228.7,9.0,0.005997396834427491,0.0,51,-3.787647627177648e-05,0.9338891625404357,408000,445,0.21084624669726248,1.367033350467682,2.8,0.8808276453614234
211.47,6.1000000000000085,0.005753294524620287,0.0,52,-0.0016357908939244226,0.9373099917173385,416000,441,0.2177366077447492,1.3660992872714997,2.25,0.8603592790663243
209.95,5.1000000000000085,0.007480569319450296,0.0,53,-0.001445200545276748,0.9181672984361648,424000,436,0.2708882022521021,1.3641815519332885,2.17,0.9979087698459626
206.64,5.0,0.005353640030953102,0.0,54,-0.0012892874617864436,0.9457602858543396,432000,431,0.20179479395516187,1.3636558604240419,2.16,0.8338901701569558
220.74,6.1000000000000085,0.013752999812131747,0.0,55,-0.003126377394873998,0.838457088470459,440000,428,0.3449047423558366,1.3643132066726684,2.56,1.3763248816132545
213.4,5.0,0.007908298356924207,0.0,56,-0.0001878527842927724,0.8832078200578689,448000,423,0.26135538756129123,1.3576160764694214,2.29,1.048756394982338
198.28,4.1000000000000085,0.010011819282663054,0.0,57,-0.002118443787767319,0.8832545930147171,456000,420,0.2946802128673968,1.3522144079208374,1.85,1.1425796234607697
199.37,5.0,0.007289455670397729,0.0,58,-0.0026494203151560215,0.9338023030757904,464000,416,0.2842548051146727,1.3326418495178223,1.82,1.0031640240550042
215.69,5.0,0.00931395145948045,0.0,59,-1.4823022065684199e-05,0.8823606210947037,472000,413,0.28959669389115894,1.344860497713089,2.32,1.1356316465139389
209.14,5.0,0.009329522806219757,0.0,60,-0.0015712460421491415,0.8893003779649734,480000,410,0.2958728988472201,1.3479463350772858,2.2,1.1402315950393678
212.39,5.0,0.007578755546710454,0.0,61,-0.0025143604562617838,0.9318973594903945,488000,407,0.27371333389771557,1.3370676267147064,2.25,1.0151742297410964
227.35,6.0,0.006592996691470034,0.0,62,-0.0007920579265373817,0.9358080625534058,496000,404,0.24076322728929994,1.3288896071910858,2.59,0.9302583736181259
233.66,6.0,0.009982031284598633,0.0,63,-0.002281728310044855,0.8919322717189789,504000,401,0.315450324773856,1.344055541753769,2.77,1.1719099462032319
231.24,6.0,0.008945840117521585,0.0,64,-0.0014457382098771632,0.9104362243413925,512000,399,0.2846905313581859,1.3282446992397308,2.66,1.1061827951669694
233.96,5.1000000000000085,0.009125886253314093,0.0,65,-0.0010270295759255532,0.8985146027803421,520000,396,0.2926829599565481,1.3405939245224,2.79,1.1291330078244208
236.89,7.0,0.008427253472036681,0.0,66,-0.0023610076433396897,0.8997322410345078,528000,393,0.272673838384738,1.3329782915115356,2.96,1.0831042364239694
236.06,5.0,0.007185207236907445,0.0,67,-0.0007685632605716818,0.9317501157522201,536000,392,0.2632780494935669,1.3337381315231323,2.91,1.014139457643032
250.46,9.0,0.009696079092100263,0.0,68,-0.0027328808011952786,0.8877640521526337,544000,390,0.3406827212038045,1.3349255633354187,3.32,1.1695714828372001
250.95,9.0,0.008000755229732022,0.0,69,-0.003480112346915121,0.9023806738853455,552000,388,0.29796728634980424,1.324429543018341,3.29,1.0432422870397569
246.84,9.0,0.009059896556427702,0.0,70,-0.0011710335838142783,0.9007420945167541,560000,386,0.30403770852539547,1.3384193766117096,3.22,1.1311196777224541
244.21,8.0,0.01074439230374992,0.0,71,-0.002260274745058268,0.8909184759855271,568000,384,0.31046101077718286,1.3209159994125366,3.16,1.2580977219343186
251.75,8.100000000000009,0.010358375830110162,0.0,72,-0.004238820219761692,0.884835974574089,576000,382,0.3292520160259616,1.3004440224170686,3.41,1.2171223843097687
255.52,8.100000000000009,0.01233480780152604,0.0,73,-0.005461981240659952,0.8672068816423416,584000,380,0.3933758176367744,1.2925489616394044,3.58,1.3141940999031068
251.09,9.0,0.006812063315883279,0.0,74,-0.0011340436838509049,0.9365037196874618,592000,379,0.24545461534020185,1.324253511428833,3.6,0.9531699880957604
259.13,9.100000000000009,0.009955233592772856,0.0,75,-0.0019005605472193566,0.8896273982524872,600000,378,0.286387617801088,1.3278420197963714,3.82,1.1986177229881287
247.93,9.100000000000009,0.009131272594677284,0.0,76,-0.0018493259395472705,0.8845578736066818,608000,377,0.2826501363366746,1.3288122928142547,3.34,1.1361284175515174
230.87,6.0,0.008726206973660737,0.0,77,-0.0034137649793410676,0.9136625200510025,616000,376,0.3128050621321208,1.2965543150901795,2.78,1.141236879825592
229.83,6.1000000000000085,0.011094883375335485,0.0,78,-0.003389071422170673,0.8814634662866593,624000,374,0.35861283196988175,1.283350682258606,2.89,1.260600521862507
251.18,7.1000000000000085,0.010532927303574979,0.0,79,-0.004580960301682353,0.9017731493711472,632000,373,0.32588473639851423,1.2922906374931336,3.44,1.2231863391399385
261.91,9.0,0.010089211494196205,0.0,80,-0.003512532356544398,0.9035550659894943,640000,372,0.32210271128667484,1.2957764708995818,3.84,1.214620696902275
268.33,9.0,0.011257552516181022,1.0,81,-0.0024977963487617673,0.8890406143665314,648000,371,0.33884598097405344,1.2883271491527557,4.0,1.2841941237449646
272.07,10.0,0.009666572015266866,1.0,82,-0.0022443549375020665,0.9049198704957963,656000,370,0.31136421577642254,1.3032843697071075,4.42,1.185282003879547
265.68,10.0,0.011813451535999775,1.0,83,-0.003214005697518587,0.8932001435756683,664000,369,0.3858819616637256,1.3065708553791047,4.2,1.3090571409463883
267.66,10.0,0.009524419493973256,0.9000000000000004,84,-0.005203051625285298,0.910010215640068,672000,369,0.34206271916556497,1.2731294846534729,4.32,1.176471716761589
261.36,9.0,0.01019840860273689,0.0,85,-0.0045132216985803095,0.8943064659833908,680000,368,0.3448287304936343,1.2914611279964447,3.96,1.2257901084423066
259.92,9.100000000000009,0.008895368519006297,0.0,86,0.0001371831021970138,0.9172309708595275,688000,367,0.2891040445972074,1.2989430379867555,4.01,1.13801937520504
258.05,9.0,0.010966974121984094,0.0,87,-0.004719893720466644,0.8822944849729538,696000,367,0.35094418899591495,1.272416077852249,4.02,1.2735644000768662
275.14,9.100000000000009,0.01475517610553652,0.0,88,-0.005307555903855245,0.844888237118721,704000,366,0.41061629988429277,1.28932736992836,4.41,1.481693172454834
290.58,9.100000000000009,0.014497479507699609,1.0,89,-0.0008162185590481386,0.8696482396125793,712000,365,0.4116664188065583,1.2792635118961335,4.81,1.4835516321659088
306.2,10.0,0.014149756054393947,1.9000000000000004,90,-0.005512635876948479,0.8668323373794555,720000,364,0.420405122290142,1.2679491364955902,5.3,1.4569590830802917
321.95,12.0,0.011944349412806332,2.0,91,-0.004199791628780076,0.8818666732311249,728000,364,0.3714523907970188,1.2667078852653504,5.84,1.335497859120369
315.31,11.0,0.010440651020035148,2.0,92,-0.0010509719693800434,0.8957680511474609,736000,363,0.3661347938982409,1.2799789488315583,5.61,1.2490321540832519
319.08,11.0,0.013224209393374622,2.0,93,-0.0016869835069519468,0.8450538510084152,744000,363,0.3832503587508635,1.2893955206871033,5.7,1.4033799594640732
315.69,11.0,0.019571105050854385,1.0,94,-0.0068133345250680575,0.7897444933652877,752000,362,0.5281003565038551,1.2439304661750794,5.58,1.7063648039102555
312.52,9.100000000000009,0.012894049675669522,1.0,95,-0.005146632259129547,0.8596366262435913,760000,362,0.41929069086313264,1.2358804547786713,5.49,1.386638890504837
317.41,9.0,0.01419086625566706,2.0,96,-0.00600579593450675,0.8568259024620056,768000,361,0.428165773412223,1.2664983248710633,5.55,1.454728980064392
320.89,9.0,0.01441208335570991,2.0,97,-0.0036766546851686142,0.8301683872938156,776000,360,0.4502228031654235,1.2527494168281554,5.79,1.485549795627594
319.44,9.100000000000009,0.01595452827401459,2.0,98,-0.007883424567407928,0.8440809971094132,784000,360,0.457901256444474,1.2362064945697784,5.74,1.5357863503694533
328.59,11.100000000000009,0.015495036845095456,2.0,99,-0.005371710891486145,0.8321245390176774,792000,359,0.4577046778906259,1.246229704618454,6.1,1.5202794766426087
334.72,11.0,0.015115174576640128,3.0,100,-0.005184339315455873,0.8483578127622604,800000,359,0.4347003886485924,1.2294444930553436,6.37,1.5103238499164582
