fps,frames,advantage_norm,P09:episode_rewards,grad_norm,explained_variance,P01:episode_rewards,epoch_idx,value_loss,PMM:episode_rewards,policy_loss,episode_length,policy_entropy
538,8000,1.562326763048768,2.0,1.45813324263673,-0.6027501755952835,0.0,1,0.04331814738079629,1.146341463414634,-0.02230638419987372,172.7560975609756,1.3646316796541214
318,16000,1.4934904015064239,3.0,0.28915000016355147,-0.04371428668498993,0.0,2,0.019363226065615892,1.4588235294117646,0.002929466949426569,185.8235294117647,1.3762107801437378
362,24000,1.2018492612987757,3.1000000000000085,0.2502446328780952,-0.015455705523490905,0.0,3,0.013560927589060157,1.48,0.0030668863022583538,186.39,1.372796790599823
390,32000,1.257294521704316,3.1000000000000085,0.3564811378824603,-0.04492415547370911,0.0,4,0.017324931217663108,1.35,-0.005002117093572451,182.81,1.36887575507164
410,40000,1.144545987099409,3.0,0.291005160308743,0.0034610259532928465,0.0,5,0.012137905381241581,1.18,0.002698084961393761,175.48,1.3732793271541595
424,48000,1.2884645979106426,3.0,0.4037332282931833,0.2508479303121567,0.0,6,0.015254036417827592,1.22,0.0031281744042644275,174.82,1.3616774129867553
432,56000,1.2959024885296822,4.0,0.3446932558646165,0.4742725843191147,0.0,7,0.013898103792453185,1.53,-0.003954526341403835,185.3,1.3705540108680725
439,64000,1.3431692509353161,3.0,0.4884239834800579,0.31813809990882874,0.0,8,0.015373656295705586,1.51,-0.00418545422173338,186.29,1.362206197977066
446,72000,1.1578950303792954,3.0,0.36591104233035393,-0.16051510095596314,0.0,9,0.010761021216894732,1.21,-0.0010061899316497146,176.26,1.3808364355564118
451,80000,1.370917387008667,3.1000000000000085,0.4104219740188476,0.7032940065860749,0.0,10,0.013415706257510464,1.28,-0.004286374533257913,177.89,1.3724043667316437
457,88000,1.4887086372077465,5.0,0.47112235168631633,0.7242939049005508,0.0,11,0.015798935726488706,1.62,-0.002642148214217741,190.1,1.3585693550109863
462,96000,1.2644423323869705,6.0,0.45638726645160566,0.8281196928024293,0.0,12,0.011800386518007144,2.21,-0.005823168682400137,212.3,1.326009395122528
464,104000,1.1144812607765198,5.0,0.3792908689671535,0.9195594012737274,0.0,13,0.008609525873325766,2.3,-0.0017413379228673875,215.34,1.3111124348640442
466,112000,0.947148662507534,5.0,0.30979198292631266,0.947405561208725,0.0,14,0.006140141343930736,2.31,-0.002262733230490994,216.89,1.3125055181980132
468,120000,1.012339359819889,5.0,0.3248776984380358,0.8857776319980621,0.0,15,0.0076392703340388834,2.16,-0.0023339470781502314,214.85,1.3220110547542572
471,128000,0.8037675964832306,5.0,0.24928304812977994,0.9493098074197769,0.0,16,0.005085871421906632,2.17,-0.0011468888816307298,212.17,1.3347894763946533
473,136000,0.8184305322170258,5.0,0.26757639481629797,0.9518306320905685,0.0,17,0.005348609368083999,2.05,-0.002156800801312784,204.41,1.3415812408924104
475,144000,0.7149956944584847,5.0,0.22853019215911655,0.9656626254320144,0.0,18,0.00391575589281274,1.72,-0.002262368795236398,193.56,1.3361795496940614
476,152000,0.770149450302124,5.0,0.21888683172904447,0.9552654683589935,0.0,19,0.004662340235081501,1.8,-0.0010128396034997421,198.23,1.33896461725235
479,160000,0.6579979546368122,5.1000000000000085,0.1779482863338143,0.9621325236558914,0.0,20,0.003704653794702608,2.02,-0.001391927619188209,204.91,1.3327863323688507
481,168000,0.9012923793494702,7.0,0.272855072383736,0.9340024679899216,0.0,21,0.0066991605306975545,2.74,-0.001970575123996241,232.28,1.341828602552414
482,176000,0.8789760893583298,9.0,0.24427225063411734,0.93048364341259,0.0,22,0.006112705277628265,2.84,-0.0019513287616427987,231.58,1.348781852722168
483,184000,0.7380914880335331,8.100000000000009,0.19883798453457588,0.949775984287262,0.0,23,0.004682608319417341,2.52,-0.00026778083789395166,221.81,1.3549746906757354
484,192000,0.628453120291233,6.0,0.17525495020030893,0.9692897975444794,0.0,24,0.003354552704258822,2.15,-0.0013270352556719444,209.33,1.3564452290534974
486,200000,0.8187689876556397,5.1000000000000085,0.2301663610654532,0.9392747962474823,0.0,25,0.005441327260050457,2.02,-0.0017483694401744286,206.18,1.3411764132976531
487,208000,0.9625149664282798,6.0,0.2646006540880342,0.9206776976585388,0.0,26,0.007394362211343832,2.2,-0.0005019609243026935,210.05,1.3644706392288208
487,216000,0.6101910445094109,5.0,0.1676264745167798,0.9734807687997818,0.0,27,0.0029537551489192994,2.14,-0.00025275685417000207,207.6,1.354936522245407
490,224000,0.6118049812316895,5.0,0.15813014724266575,0.9714292657375335,0.0,28,0.002937508409959264,2.05,-0.0008886330091627314,203.31,1.3655131137371064
492,232000,0.6395190204679966,5.0,0.184168840543566,0.9679817306995392,0.0,29,0.00355306002573343,2.06,-0.0010946829221211373,204.31,1.3405200242996216
494,240000,0.8357738563418389,7.200000000000017,0.22771335806567472,0.9373623198270797,0.0,30,0.005912152494711336,2.51,-0.0007475662566139362,220.25,1.3505782687664032
496,248000,0.7297026313841343,5.200000000000017,0.19628445588583063,0.955649117231369,0.0,31,0.004391096549807116,2.52,-0.0021110710759239737,221.81,1.346710603237152
498,256000,0.661695950627327,6.0,0.1821014506502854,0.9412340450286866,0.0,32,0.004030440343194641,2.13,-0.0007983740634517745,206.08,1.3599555945396424
501,264000,0.8250632248818874,5.0,0.2242129824640484,0.9213782119750976,0.0,33,0.005400661470484919,1.85,-0.0006084905212628655,200.9,1.3666108906269074
503,272000,0.8064611642062665,5.0,0.22050008744421778,0.9330747991800308,0.0,34,0.005486384886316955,1.92,-0.0008277245180215686,205.54,1.3655065548419953
506,280000,0.8415249904990196,5.0,0.21031741707550775,0.8842740029096603,0.0,35,0.005913632182055153,2.02,-0.0001502435463044094,209.05,1.361899460554123
507,288000,0.8550510847568512,5.0,0.21522283821888918,0.942170941233635,0.0,36,0.005727574430056848,2.05,-0.0014914750451862347,210.27,1.3420936858654022
509,296000,0.7475234121084213,6.0,0.18695656448755943,0.9472729182243347,0.0,37,0.004482884629105684,2.22,-2.3215809487737716e-05,214.46,1.3402750766277314
512,304000,1.0654961529374123,8.100000000000009,0.29331553936374255,0.9158555579185486,0.0,38,0.008432113982853479,2.35,-0.0021022548677865414,213.81,1.3552430069446564
516,312000,1.1048087140917777,8.100000000000009,0.30076990081651916,0.88935187458992,0.0,39,0.00909869966097176,2.58,0.0015308086841832847,221.9,1.3660775554180145
520,320000,0.8915692239999771,7.1000000000000085,0.24091167362927235,0.912990180850029,0.0,40,0.006389440390921664,2.45,-0.0007128225971246139,217.6,1.3643053519725798
524,328000,1.0957918709516525,5.1000000000000085,0.31677327251740217,0.9022352594137192,0.0,41,0.009568728178855963,2.42,-0.002166542608756572,219.31,1.356188441514969
528,336000,0.880160431265831,6.0,0.24301840630742308,0.9297818446159363,0.0,42,0.006429748557275161,2.5,-0.000641127778799273,224.45,1.3596081280708312
532,344000,0.9457116347551345,5.1000000000000085,0.27179381335862635,0.9222204148769378,0.0,43,0.006855833113077097,2.38,-0.0005797393259126693,222.43,1.3632900404930115
