policy_loss,grad_norm,frames,P01:episode_rewards,advantage_norm,fps,epoch_idx,P09:episode_rewards,policy_entropy,explained_variance,episode_length,value_loss,clip_fraction,PMM:episode_rewards,approx_kl_divergence
0.022255617893165436,903774.5157444149,10240,0.0,15.968708825111388,466,1,245.0,0.39127946175978395,-4.945798915997147,641.3076923076923,281831.97711258486,0.24365234375,117.3076923076923,588.7965091912608
9.35317249968648e-05,0.15101959105151658,20480,0.0,15.96871770620346,360,2,322.5,1.714106946438551,4.470348358154297e-09,467.1666666666667,0.010865154752900707,0.3366455078125,180.95238095238096,0.006411106924861088
-0.0013358707081351894,0.06310147240311788,30720,0.0,15.96871737241745,406,3,317.50000000000006,1.7784251235425472,4.097819328308106e-09,411.97297297297297,0.008224577428381962,0.231982421875,171.6216216216216,0.003230884028101855
-0.001165933519951068,0.053220716152415116,40960,25.0,15.96871550679207,427,4,332.5000000000006,1.7784744150936604,-1.0430812835693359e-08,377.98,0.006834683553324794,0.255810546875,172.0,0.0036947588236444064
-0.001995962087676162,0.051604770401576315,51200,25.0,15.968716967105866,443,5,277.5000000000002,1.778418492525816,-2.6077032089233397e-09,328.33,0.007067972606887451,0.270751953125,137.5,0.004288721375837667
-0.0015901402461167891,0.05271448133154677,61440,25.0,15.968717795610427,458,6,300.0,1.769074732810259,-3.7252902984619143e-10,323.95,0.008441310304442595,0.23935546875,134.75,0.0032460747176969564
-0.0019652806942758614,0.05043380528434351,71680,25.0,15.968716895580291,465,7,310.00000000000085,1.779698883742094,-7.078051567077636e-09,325.0,0.006653022384080031,0.26689453125,138.25,0.004170713686289673
-0.0016381382076360751,0.05313639803855992,81920,25.0,15.968717402219772,472,8,300.0,1.7833412542939187,-1.1175870895385742e-08,330.03,0.008821965823972277,0.2417724609375,143.0,0.003114736033285226
-0.0023615701789822196,0.05569281169078263,92160,25.0,15.968717795610427,477,9,312.5000000000011,1.7819667056202888,5.215406417846679e-09,330.98,0.009874233622394969,0.2622314453125,151.0,0.0031838407525810906
-0.0019667234933876897,0.05575632396053869,102400,25.0,15.968717819452285,478,10,380.00000000000045,1.7744154311716556,-5.587935447692871e-09,337.34,0.009172254195436835,0.22197265625,174.75,0.002725189165420261
-0.0017781778118660442,0.05450651920354801,112640,25.0,15.968717736005782,483,11,380.00000000000045,1.7701004177331925,9.313225746154785e-09,335.34,0.009417515550740062,0.2264892578125,181.25,0.002905436339949574
-0.0017985224196308991,0.053708361037088904,122880,25.0,15.968717461824417,486,12,302.5000000000002,1.772306326776743,1.2665987014770507e-08,340.82,0.008913263480280875,0.2163818359375,185.25,0.0029409680438220675
-0.0018904466021922417,0.052789118499186646,133120,47.50000000000001,15.968717575073242,489,13,277.5000000000002,1.7752999179065228,-1.4901161193847656e-08,336.68,0.009190827697057102,0.26455078125,174.0,0.0035192110708976545
-0.0019472427000437164,0.05601760915768513,143360,25.0,15.968717992305756,489,14,300.0,1.7705731995403766,-9.313225746154785e-09,336.28,0.010545429994817824,0.237841796875,171.25,0.0031591759407774587
-0.0023534584881417684,0.05475609945616113,153600,50.0,15.968717658519745,492,15,350.0,1.769709539413452,-2.6077032089233397e-09,340.2,0.009825049244682305,0.260791015625,180.5,0.003397976216535881
-0.0014772898732189788,0.054401170962545355,163840,50.0,15.968717867136002,494,16,350.0,1.7655665963888167,-7.450580596923828e-09,347.32,0.010496809687901986,0.186767578125,193.25,0.0023607575240021106
-0.001280488003976643,0.05466196645822365,174080,50.0,15.968717479705811,496,17,355.00000000000045,1.7680249258875846,-8.568167686462402e-09,348.19,0.007802248094640163,0.226708984375,199.25,0.0031282839019468158
-0.001675852450716775,0.04980251276634614,184320,25.0,15.96871384382248,495,18,302.5000000000002,1.761891671270132,2.9802322387695314e-09,333.61,0.005561386598532181,0.243310546875,150.5,0.003375145323866491
-0.0018937825068860547,0.05371122662526597,194560,0.0,15.968713909387589,495,19,250.0,1.7786430597305298,-2.0489096641540527e-08,324.02,0.008369853171491571,0.2442138671875,130.75,0.0035472358151650953
-0.0017964889488212067,0.0531088183661521,204800,0.0,15.968716222047806,497,20,250.0,1.77572151273489,-7.450580596923829e-10,324.77,0.008015665525567784,0.2301513671875,130.0,0.003050702880443623
-0.0017410791529982816,0.05449622237005821,215040,25.0,15.968717789649963,497,21,352.5000000000002,1.7669551506638528,-5.587935447692871e-09,331.99,0.011325667688652175,0.24697265625,170.25,0.00344589399603592
-0.0014820436706941109,0.05201917454007029,225280,50.0,15.968717813491821,496,22,500.0,1.7856213554739953,1.2293457984924316e-08,338.69,0.009761850808718008,0.2314697265625,195.25,0.0030261984628623395
-0.0015252706754836254,0.053312040232089984,235520,50.0,15.968714839220047,495,23,355.00000000000045,1.773183435946703,-5.960464477539063e-09,332.56,0.007758312412707369,0.2306884765625,176.0,0.003405116279259346
-0.0014345060706546064,0.05490588897828641,245760,0.0,15.968715465068817,496,24,275.0,1.7771914541721343,8.568167686462402e-09,325.99,0.007307069678167277,0.24140625,141.5,0.0035152526940066763
-0.0014970865995564964,0.05046108066909154,256000,0.0,15.968717330694199,496,25,250.0,1.7707903124392033,6.7055225372314455e-09,319.19,0.007192845198915165,0.2264404296875,127.75,0.003085855862423159
-0.0015917641911073587,0.05179039218787316,266240,25.0,15.968715864419938,496,26,252.50000000000023,1.7572329923510552,0.0,315.7,0.0061684695105284956,0.2404296875,122.0,0.0033357549726019896
