epoch_idx,advantage_norm,frames,value_loss,PMM:episode_rewards,policy_loss,P01:episode_rewards,fps,policy_entropy,P09:episode_rewards,episode_length,grad_norm,explained_variance
1,1.622275661379099,8000,0.05603870958366315,1.2195121951219512,-0.024487826701952143,0.0,565,1.347824380993843,3.0,174.14634146341464,1.416974897731314,-0.7216682642698288
2,1.414114523679018,16000,0.017056026441132417,1.5238095238095237,0.0012534506642259658,0.0,364,1.3647444546222687,4.0,184.10714285714286,0.25733651600701113,-0.02950029253959656
3,1.4417647747695446,24000,0.016513214326405432,1.92,0.0002521127695217729,0.0,441,1.3653607988357543,5.0,202.58,0.2953407199337722,0.09574479699134826
4,1.66928513109684,32000,0.029316365088307067,2.11,-0.00640928751177853,0.0,496,1.3623717248439788,5.0,208.57,0.5567442004373516,0.04198301911354065
5,1.156057202666998,40000,0.012287322017655242,1.78,0.0014130626193946227,0.0,534,1.3611070466041566,5.0,197.11,0.30011266663171876,0.128184095621109
6,1.1464538493752479,48000,0.010814511831267738,1.43,0.0004520403289643582,0.0,562,1.3682779693603515,5.0,185.31,0.29075680435404505,0.45387910544872284
7,1.1923497429490089,56000,0.01155230632648454,1.35,-0.0025360731208638756,0.0,586,1.3764602982997893,4.0,182.44,0.32463997366486685,0.6574827581644058
8,1.3302831557393073,64000,0.012642114025657064,1.68,0.00034091017703758553,0.0,606,1.3679746890068054,4.1000000000000085,194.43,0.3180227777806963,0.7227072858810425
9,1.6623913580179215,72000,0.04048070036689751,2.1,-0.00630314437137713,0.0,621,1.3238465625047684,5.0,210.61,0.6466605501563082,0.7675346308946609
10,1.37490974932909,80000,0.013614473235793411,1.98,-0.0027605564263649286,0.0,636,1.3548479521274566,5.1000000000000085,204.49,0.43540211619783625,0.8114180719852447
11,1.0757981264591217,88000,0.008188282743794843,2.32,-9.588387154508383e-05,0.0,647,1.3503805661201478,6.0,214.47,0.3073400959727811,0.8632375806570053
12,1.225826173722744,96000,0.01135936232516542,2.25,-0.0035966805370117073,0.0,656,1.357996701002121,6.0,212.49,0.3529049379835605,0.871837347149849
13,1.0698560371994972,104000,0.008389290351478848,2.27,-0.0014808439183980227,0.0,665,1.3623679494857788,6.0,212.69,0.2780100319431419,0.9068898099660874
14,0.8291741785407066,112000,0.004891337149892934,2.21,-0.0011470368540904019,0.0,672,1.3383596289157866,6.0,212.44,0.22994151030848795,0.9307532232999801
15,0.9472607542574406,120000,0.006635245888901409,2.15,0.0012279348948504775,0.0,678,1.3572181344032288,5.1000000000000085,210.19,0.2591760936644866,0.9284511238336564
16,0.8947206474840641,128000,0.006295497204409912,1.9,-0.00044091578223742544,0.0,684,1.3504930317401886,5.0,201.06,0.24365929842005166,0.9362231707572937
17,0.8629661518335342,136000,0.0058815268380567436,2.33,0.0001453570876037702,0.0,689,1.3351179027557374,6.0,216.16,0.23067122806353624,0.9423568511009216
18,0.8825742492079734,144000,0.006114896319922991,2.05,0.00018801826205162798,0.0,694,1.3536724412441254,6.0,206.48,0.21631937543813767,0.9343021780252456
19,0.8821857285499572,152000,0.0058329561952268705,2.23,-0.001121477041306207,0.0,698,1.3485682260990144,6.0,213.44,0.2191462474022953,0.9482630467414856
20,0.7641499915719032,160000,0.004609711791854352,2.17,-0.000623877274338156,0.0,701,1.347072538137436,6.1000000000000085,209.73,0.1876704050751245,0.9490692847967148
21,0.7593502347171307,168000,0.004935495456302306,1.87,-0.0023692191032751,0.0,703,1.3450499260425568,5.0,195.88,0.1845287949431334,0.9419069969654084
22,0.7768417692184448,176000,0.00511859921796713,2.17,-0.00036599886720068754,0.0,707,1.3419965136051177,6.1000000000000085,206.41,0.18337338426288138,0.9537539011240006
23,0.7053603388369083,184000,0.004082606156007387,2.25,-0.002225509688787497,0.0,710,1.3472233533859252,5.1000000000000085,213.45,0.18440936660271848,0.9615991401672364
24,0.6559046410024166,192000,0.0036368647965718992,2.35,-0.0012401793838944285,0.0,712,1.3355022990703582,6.0,217.97,0.16528548665717516,0.9672416877746582
25,0.6390900282561779,200000,0.003340376430132892,2.13,0.00015803608657734004,0.0,714,1.3372194826602937,5.1000000000000085,208.03,0.16137751929382624,0.9572398221492767
26,0.6809907066822052,208000,0.004215239586483221,2.2,0.0006460958026582375,0.0,714,1.3640624260902405,5.0,212.01,0.1658376905900406,0.9513370531797409
27,0.592596374899149,216000,0.0031320148523082026,1.61,-0.0009231057592114666,0.0,716,1.3653006875514984,5.0,193.03,0.14228651500194084,0.934165228009224
28,0.6974635978043079,224000,0.004423166061169468,1.56,0.000744571685208939,0.0,718,1.3636375641822815,4.1000000000000085,190.4,0.17033798914559714,0.9486438453197479
29,0.9283337047696114,232000,0.007190090274671093,1.62,-0.002167768408253323,0.0,720,1.3583340549468994,4.0,190.25,0.24063853765037035,0.9154330164194107
30,0.6532090938091278,240000,0.003448523646511603,1.72,-0.000431102250731783,0.0,721,1.3490890705585479,5.0,194.57,0.14788984612261274,0.9627683925628662
31,0.5596548070013523,248000,0.002951111844740808,1.68,-0.0015384926478145644,0.0,722,1.3406645596027373,5.0,193.65,0.14131429039866536,0.9683983790874481
32,0.6854440566897392,256000,0.0036744409290258772,1.79,-0.0009361212352814619,0.0,723,1.3504198789596558,5.0,196.98,0.16114589444427443,0.9604245162010193
33,0.5700292859971523,264000,0.0030730078688065987,1.8,-0.0009575497104378882,0.0,724,1.339872372150421,5.0,196.68,0.15283050850207347,0.9654627108573913
34,0.5428684800863266,272000,0.0024991449901426675,1.71,-0.0009123537932464388,0.0,725,1.3489669513702394,5.0,192.7,0.13497936237344757,0.9770696818828583
35,0.5528549428284169,280000,0.0029499485236010514,1.96,-0.00015006608307885472,0.0,726,1.3277199268341064,5.0,202.61,0.1311714964085825,0.9703725361824036
36,0.5199043029546737,288000,0.0023639879160327836,1.97,-0.001458486725896364,0.0,728,1.3474869430065155,5.0,201.95,0.12529313835153336,0.9784798604249955
37,0.647937823086977,296000,0.003605660996690858,2.31,-0.0004297182901063934,0.0,729,1.3544952940940858,5.1000000000000085,215.85,0.15451227136579573,0.9637434023618698
38,0.5997841393947602,304000,0.003598716701962985,2.15,-1.5612725401297213e-05,0.0,730,1.3585565841197969,6.0,208.76,0.14191164463276393,0.9608988589048386
39,0.7342112217843533,312000,0.004795703880663495,1.81,-0.00111451460106764,0.0,730,1.3664454090595246,5.0,197.38,0.16248032861989853,0.920177971124649
