#{"t_start": 1544596948.2882373, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,234,40.443491
1.0,155,43.52736
0.0,125,46.433731
3.0,236,68.247755
2.0,217,72.352251
2.0,203,76.354776
0.0,127,78.863031
0.0,129,81.362384
1.0,157,84.440951
2.0,192,88.237741
2.0,222,92.495861
0.0,127,94.76286
2.0,202,98.582407
1.0,177,101.931134
5.0,372,109.643379
3.0,231,114.018005
6.0,375,121.393921
0.0,127,123.637398
2.0,198,127.376271
3.0,248,132.21505
5.0,352,138.837507
0.0,129,141.266861
3.0,272,146.581277
2.0,200,150.271683
3.0,250,154.93577
0.0,127,157.314884
3.0,248,162.315459
0.0,129,164.4876
0.0,127,167.022692
0.0,129,169.419388
0.0,129,171.874915
5.0,331,178.334759
0.0,127,180.503558
0.0,127,182.841094
1.0,155,185.785866
4.0,291,191.454134
1.0,171,194.712394
5.0,350,201.631321
6.0,396,209.607784
4.0,319,216.038272
0.0,127,218.620123
0.0,127,220.811159
0.0,125,223.012752
0.0,127,225.338162
0.0,127,227.654616
2.0,202,231.660326
2.0,200,235.573886
10.0,453,244.523727
5.0,350,251.549658
0.0,129,253.857129
5.0,352,260.916986
0.0,129,263.23726
5.0,350,269.903977
5.0,348,276.772673
0.0,129,279.03321
0.0,127,281.599612
0.0,129,284.006443
0.0,129,286.318839
0.0,129,288.544669
0.0,129,290.704949
0.0,125,293.148187
0.0,127,295.910334
0.0,127,298.311669
4.0,281,303.938444
0.0,129,306.536465
0.0,127,308.953118
0.0,123,311.317779
0.0,129,313.614396
0.0,127,316.191554
0.0,127,318.514079
5.0,352,325.76425
0.0,129,328.076828
7.0,322,334.200615
5.0,350,341.063515
3.0,248,345.872977
4.0,298,351.780905
0.0,127,354.198054
3.0,246,358.846485
0.0,129,361.150617
0.0,127,363.791442
2.0,202,367.5272
0.0,129,369.812935
9.0,404,377.703197
7.0,430,386.332465
1.0,157,389.460406
4.0,297,395.334101
6.0,381,402.775254
5.0,350,409.60255
9.0,404,417.310227
0.0,129,419.687483
0.0,125,422.065739
6.0,396,429.920779
0.0,129,432.053046
5.0,372,439.585596
2.0,198,443.447294
2.0,202,447.484592
5.0,350,454.138314
4.0,299,460.10244
1.0,156,463.301696
0.0,127,465.98148
0.0,129,468.43641
2.0,202,472.322463
