P01:episode_rewards,grad_norm,policy_loss,explained_variance,P09:episode_rewards,policy_entropy,value_loss,frames,episode_length,advantage_norm,epoch_idx,PMM:episode_rewards,fps
0.0,1.9315507656763764,0.004645447015063837,-4.253103949427604,2.0,1.356989052295685,0.050726544218432534,8000,161.25,1.659160797521472,1,0.9318181818181818,401
0.0,0.2524608782944842,0.004035994775113068,-0.014920305013656616,3.1000000000000085,1.3823687136173248,0.015665399467507085,16000,178.0222222222222,1.2826164456456899,2,1.3444444444444446,202
0.0,0.22310513229894652,0.0009452516672899947,0.010163430571556092,4.0,1.3819281935691834,0.012979197208123879,24000,181.56,1.1946557258069515,3,1.39,262
0.0,0.2228800341999438,0.0011821435438469053,-0.0035269516706466675,3.0,1.3778679466247559,0.013201169136882527,32000,178.85,1.1912367018312215,4,1.35,297
0.0,0.1916824425812467,0.0005816399259492755,-0.005917479395866394,3.0,1.3770928597450256,0.011242220326573715,40000,176.98,1.0853259053267539,5,1.31,329
0.0,0.19121500763486993,0.001971362717595184,-0.04379130125045776,2.1000000000000085,1.3806254482269287,0.010688502408975183,48000,167.87,0.9840380154922604,6,1.05,352
0.0,0.2779220384814256,-0.00014413713382964487,0.043679180145263674,3.0,1.3783254373073577,0.016947750605067993,56000,174.83,1.4090612387657167,7,1.24,371
0.0,0.24607011299501733,0.0033307349518872796,0.04616534352302551,4.0,1.378815277814865,0.01314436589847901,64000,186.32,1.1839620286226273,8,1.52,387
0.0,0.34210268695266804,0.0009304813997005112,0.05049829483032227,3.1000000000000085,1.3738658595085145,0.015162033454253106,72000,184.84,1.2357228405028582,9,1.48,400
0.0,0.25610013653610425,0.0008050606522010639,0.11335214972496033,3.0,1.3678864681720733,0.010263819821848302,80000,169.49,1.0441815069317817,10,1.11,411
0.0,0.5408869835075929,-0.0006574918515980244,-0.26229907989501955,2.0,1.3550356364250182,0.020287986195035045,88000,165.25,1.3661165079474449,11,0.98,420
0.0,0.3317387681970846,0.00045119608752429484,0.28579086422920225,4.0,1.3738325893878938,0.013072697884636,96000,174.25,1.2732562552392483,12,1.17,428
0.0,0.38657819584372144,-0.0022485477704321964,0.5156033909320832,4.0,1.3719307327270507,0.012112093793984969,104000,180.85,1.2604973319172859,13,1.33,437
0.0,0.41941373150851285,0.0005016440409235656,0.6253744530677795,5.0,1.3788836526870727,0.014251704140333459,112000,193.34,1.4128349828720093,14,1.69,444
0.0,0.6182164282744792,-0.010774475358775817,0.7353789335489274,5.0,1.3471896409988404,0.023835337554337456,120000,195.84,1.6777216851711274,15,1.81,449
0.0,0.3780925257541402,-0.002022727462754119,0.8202826797962188,5.1000000000000085,1.3493394207954408,0.012320881108753384,128000,203.26,1.3193421185016632,16,1.99,454
0.0,0.37509325567105917,-0.002866569699108368,0.8081231611967087,5.1000000000000085,1.3440082454681397,0.010726254796609283,136000,203.32,1.214455285668373,17,1.99,459
0.0,0.32563667475037333,-0.0021684803818061483,0.9035947674512863,5.0,1.3441603410243987,0.008110906291985884,144000,200.13,1.081634824872017,18,1.8,463
0.0,0.32435383855699074,-0.0011482357763452455,0.9024258691072464,5.0,1.3189358234405517,0.008468334055505693,152000,198.88,1.0823997235298157,19,1.74,466
0.0,0.29167396372725973,-0.0032952638721326366,0.9212571513652802,5.0,1.3157281458377839,0.007691061099176295,160000,206.1,1.011871238052845,20,2.1,470
0.0,0.29034747483101875,-0.000765580326115014,0.9246912914514541,6.1000000000000085,1.321305011510849,0.0075275985940243114,168000,203.29,1.001324219107628,21,2.08,473
