value_loss,explained_variance,advantage_norm,policy_entropy,fps,policy_loss,grad_norm,P09:episode_rewards,PMM:episode_rewards,P01:episode_rewards,frames,epoch_idx,episode_length
0.041531658073035944,-0.6945441043376923,1.8772302158921956,1.2905668242648245,609,-0.0036012867424051365,1.7243714430372898,3.0,1.3333333333333333,0.0,8000,1,174.21428571428572
0.015804457120430014,-0.0720628833770752,1.3182907763496041,1.3168569350242614,478,0.0014402353693731128,0.2850668978641915,3.700000000000003,1.4880952380952381,0.0,16000,2,182.83333333333334
0.009716492642033926,-0.12173735857009887,0.8978076355531812,1.3744953131675721,549,0.0016193318921432366,0.1913513826878846,4.0,1.37,0.0,24000,3,180.22
0.01618001509214082,-0.000964086651802063,1.3930027509853244,1.383562103509903,585,0.00035560619755415246,0.24175841437615708,4.0,1.37,0.0,32000,4,180.68
0.015748703102508442,-0.019707964658737184,1.311470155864954,1.3825647151470184,615,0.005086971471901052,0.24678484464861516,4.0,1.5,0.0,40000,5,187.01
0.011588113379293646,0.0010581398010253906,1.115896850526333,1.379860451221466,638,-0.00014478689758107066,0.21390035917441078,4.0,1.37,0.0,48000,6,182.77
0.015799997586291283,0.033387559652328494,1.3768385218083858,1.375407783985138,655,0.0039743183820974085,0.2951533478517735,4.0,1.39,0.0,56000,7,182.99
0.01868446444743313,0.19160177528858185,1.396946998089552,1.3784726965427399,662,-0.005666361525945831,0.40279240454431564,5.0,1.69,0.0,64000,8,195.04
0.014744877756456845,0.32826828718185425,1.3594669650495053,1.3775399553775787,671,-0.0024491724388281,0.3699703944732565,5.0,1.72,0.0,72000,9,195.25
0.012315653836267301,0.4862308567762375,1.2133816768229009,1.3783966553211213,681,-0.0012407080276170745,0.3092287965148442,4.1000000000000085,1.62,0.0,80000,10,190.14
0.008477172483108007,0.7370080804824829,1.030420232117176,1.3748517644405365,688,-0.0029246364100981737,0.2823164247373752,3.1000000000000085,1.3,0.0,88000,11,178.01
0.01293978508329019,0.7857258212566376,1.358843646645546,1.3697319424152374,693,-0.003918809589695229,0.3944726119601479,4.1000000000000085,1.38,0.0,96000,12,181.15
0.021916927255224438,0.7552722269296646,1.4822426593303681,1.3538034510612489,701,-0.006422899136377964,0.5097923420132263,5.0,1.61,0.0,104000,13,191.39
0.010178293812205084,0.8619784712791443,1.1927272894978522,1.3292420399188996,707,-0.0038328337487655516,0.3453800984158288,5.0,1.93,0.0,112000,14,203.19
0.007685597455711104,0.9239056688547135,1.004493464231491,1.3376919555664062,712,-0.004209404132561758,0.3307703563096622,5.0,1.67,0.0,120000,15,191.82
0.007583721729461103,0.9139751827716828,1.0237833765149116,1.3444695281982422,716,0.0004969670102218515,0.2747561589196814,4.1000000000000085,1.8,0.0,128000,16,194.69
0.005986919824499637,0.9413700848817825,0.8761606547236442,1.3342614603042602,719,-0.0034941599458397834,0.23712539125228155,6.1000000000000085,2.19,0.0,136000,17,207.77
0.00710633144248277,0.9245848435163498,0.9825359952449798,1.3323824465274812,722,-0.001315457719101687,0.266372127778948,7.0,2.0,0.0,144000,18,200.39
