policy_entropy,value_loss,PMM:episode_rewards,P01:episode_rewards,fps,frames,explained_variance,grad_norm,episode_length,policy_loss,P09:episode_rewards,advantage_norm,epoch_idx
1.3179054734110833,0.06519227097156545,1.0769230769230769,0.0,554,8000,-3.1881569308042526,1.9420713321035357,167.76923076923077,-0.02063356825034134,3.200000000000003,2.0052921376004815,1
1.3266655325889587,0.015148021948580209,1.451219512195122,0.0,329,16000,-0.022396584749221803,0.27555986298554785,182.4390243902439,0.0019804653599567244,4.900000000000006,1.3155367387086152,2
1.367203140258789,0.012092224714488111,1.68,0.0,373,24000,-0.03275532901287079,0.21524569770608365,189.69,0.0010331481079629157,5.0,1.103986862078309,3
1.358723304271698,0.014158745245149476,1.51,0.0,398,32000,0.05530264914035797,0.25592464925978,183.98,0.0034946380415931343,5.0,1.2315846910327672,4
1.3682466113567353,0.020395346910663647,1.42,0.0,417,40000,0.08770469844341278,0.38894521529612186,182.25,-0.0014372553367866204,4.1000000000000085,1.4578440347313881,5
1.3758848702907562,0.01520959505753126,1.6,0.0,430,48000,0.17040883123874664,0.3665164912386938,190.24,-0.001736506435991032,5.0,1.2775559009611606,6
1.3781755435466767,0.012344773745280691,1.25,0.0,438,56000,0.31779426634311675,0.34445760645073376,177.45,-0.00353158727142727,4.0,1.2123749843239784,7
1.3649082791805267,0.018755016744544262,1.33,0.0,444,64000,0.5307197654247284,0.45784789618550037,178.38,-0.0011964536068262532,4.0,1.4441585959494114,8
1.3605210590362549,0.010746460200753063,1.5,0.0,450,72000,0.5361360561847687,0.3240943618040503,186.08,-0.0009886111138621345,3.1000000000000085,1.190528021156788,9
1.3658446145057679,0.014781825260142796,1.6,0.0,454,80000,0.6740022230148316,0.4216932375776156,190.33,-0.0036353022005641833,4.0,1.3909317177534104,10
1.3676534759998322,0.011627953454153612,1.38,0.0,458,88000,0.7001644027233124,0.3642258990486934,182.57,-0.001287432825192809,4.0,1.2145283722877502,11
1.3611176586151124,0.010702782056760042,1.19,0.0,462,96000,0.7847026795148849,0.3597047833284879,176.32,-0.003468335060751997,4.0,1.210271812081337,12
1.3451390075683594,0.010399201069958508,1.46,0.0,465,104000,0.8575057154893875,0.34503447264206405,184.02,-0.00338040366594214,5.0,1.1625141522288323,13
1.3306304466724397,0.014064570093760267,1.77,0.0,469,112000,0.8269294834136963,0.4687921932806078,194.57,-0.004465824712824542,6.0,1.321267204284668,14
