epoch_idx,PMM:episode_rewards,approx_kl_divergence,value_loss,clip_fraction,P09:episode_rewards,P01:episode_rewards,fps,policy_entropy,episode_length,frames,explained_variance,advantage_norm,grad_norm,policy_loss
1,24.21875,1217240.7571878205,211615192.78238252,0.5189208984375,95.00000000000011,0.0,537,0.6515193169613553,292.25,10240,-0.626672750711441,15.968714648485184,355306588.6800818,0.05180245727824513
2,25.37878787878788,0.007791683060986543,0.002277258534654436,0.1947021484375,75.0,0.0,537,0.8707489863038063,300.25757575757575,20480,-1.862645149230957e-09,15.968664503097534,0.09710800853231584,0.0017960384400794282
3,44.0,0.004437082456024655,0.008399767707305727,0.1934326171875,125.0,0.0,538,1.2554413482546807,306.26,30720,-7.450580596923829e-10,15.968717741966248,0.10148164582124712,0.000923316937405616
4,74.0,0.004073828998730278,0.006377485188033915,0.18330078125,152.50000000000023,0.0,540,1.2666270829737187,316.53,40960,0.0,15.968716377019883,0.04630427223615944,-0.0005409973004134372
5,88.25,0.0040428649287605365,0.003494862357546635,0.2445068359375,200.0,0.0,533,1.3494377814233303,316.31,51200,-3.7252902984619143e-10,15.968585479259492,0.0446142263662053,-0.0008519629249349236
6,62.25,0.003964986091023093,0.0023895120478414356,0.2197509765625,150.0,0.0,535,1.3508438713848592,304.83,61440,-4.8428773880004884e-09,15.96868371963501,0.0424282643900348,-0.0005042255914304405
7,39.0,0.004340314123146527,0.0031314560035895058,0.280859375,77.50000000000021,0.0,541,1.4740421876311303,294.65,71680,2.6077032089233397e-09,15.968714600801468,0.04570025304922702,-0.0013378442061366513
8,43.25,0.004510525638897889,0.004234196419497493,0.3118408203125,100.0,0.0,547,1.4844338051974773,292.16,81920,-1.4901161193847656e-08,15.968716281652451,0.04567149398567814,-0.0018475005723303183
9,68.5,0.004389746156311958,0.0072264640457433416,0.27568359375,150.0,0.0,548,1.6483360171318053,299.37,92160,7.82310962677002e-09,15.968717557191848,0.05343290078090389,-0.0005169574753381312
10,102.75,0.003242182770418367,0.008429363574032322,0.256103515625,200.0,0.0,548,1.721799299120903,310.73,102400,-4.0605664253234865e-08,15.968717557191848,0.05634513039978637,-0.0013247325114207342
11,126.75,0.0024723018187614797,0.008368464171326195,0.1666015625,250.0,0.0,549,1.7192428410053253,319.48,112640,4.470348358154297e-09,15.968717777729035,0.05210811464286537,-0.0005721179622923955
12,109.25,0.005094643495294804,0.0036370529732423053,0.3074462890625,202.50000000000023,0.0,545,1.6870887279510498,314.93,122880,-1.5273690223693846e-08,15.968691450357436,0.04780122615476527,-0.0015132410073420033
13,80.75,0.003444535918379188,0.005919477880570412,0.229052734375,175.0,0.0,543,1.6863147020339966,306.62,133120,0.0,15.968717569112778,0.05285897846743034,-0.0010874335828702896
14,61.75,0.002876649449922297,0.00424139581447176,0.2031005859375,125.0,0.0,544,1.617984340339899,301.3,143360,-1.5273690223693846e-08,15.968641024827956,0.04984676775947272,-0.0011763062968384475
15,67.0,0.004145997499904297,0.003979878417038662,0.3271484375,125.0,0.0,542,1.658602800965309,303.1,153600,-2.16066837310791e-08,15.968709498643875,0.04974497950062225,-0.0012606545235030354
16,61.5,0.005091296736293316,0.003994155230884644,0.28447265625,125.0,0.0,539,1.6730425082147122,302.97,163840,1.6763806343078613e-08,15.968715393543244,0.04906955643129848,-0.001275063437060453
17,58.5,0.0054408219793458555,0.004127283804882609,0.3377197265625,127.50000000000021,0.0,538,1.6390352465212346,300.23,174080,-1.1175870895385742e-09,15.968717128038406,0.046853078685403095,-0.001969381878734566
18,45.75,0.004059326031688215,0.0018916017612767178,0.2344482421875,100.0,0.0,536,1.5087480805814266,295.08,184320,3.3527612686157227e-09,15.968695932626725,0.0417765618685852,-0.0012227562023326755
19,35.25,0.0041592549627466726,0.002470858663421005,0.2556640625,75.0,0.0,534,1.555757111310959,287.83,194560,1.1548399925231934e-08,15.968666738271713,0.044869894117938174,-0.0015163375297561287
20,28.25,0.004643605954629493,0.0018907761357688456,0.295263671875,50.0,0.0,535,1.5587332181632518,285.56,204800,-1.862645149230957e-09,15.968629044294357,0.04272352275090997,-0.0015169444697676227
21,32.25,0.0038050467406151255,0.0024042993447390025,0.256201171875,50.0,0.0,537,1.3851311653852463,285.69,215040,-4.097819328308106e-09,15.968653935194016,0.036919620078479085,-0.0012231030908878894
22,25.75,0.003649425067453649,0.001443200445974718,0.2322509765625,50.0,0.0,537,1.3645769290626049,285.69,225280,-5.215406417846679e-09,15.961187154054642,0.037879084992542694,-0.001045530813280493
23,24.25,0.004669127575414223,0.00167061010149796,0.2580078125,50.0,0.0,536,1.4148419141769408,286.96,235520,6.332993507385254e-09,15.968690699338913,0.040605008356247425,-0.0010163040278712288
24,19.25,0.0028920737093585556,0.0018387357891008094,0.1793701171875,50.0,0.0,539,1.4250361129641533,286.72,245760,-1.30385160446167e-08,15.9686549782753,0.046073051390250586,-0.00046668637078255414
25,24.25,0.004538905410865368,0.003202739729977111,0.3245361328125,75.0,0.0,539,1.5339872136712074,289.36,256000,-4.097819328308106e-09,15.968713384866714,0.04757678234965152,-0.0014020680217072367
26,31.5,0.00386552022701494,0.0028168232418924965,0.2962890625,75.0,0.0,537,1.5204274296760558,293.11,266240,-7.450580596923828e-09,15.968699884414672,0.04658704867706628,-0.0014805688057094812
27,33.5,0.0036427104234007857,0.002315900684427152,0.24990234375,75.0,0.0,538,1.4853805124759674,293.89,276480,-1.0430812835693359e-08,15.968590623140335,0.04910840408527448,-0.00079384210112039
28,35.0,0.004165600040505524,0.003780757519419353,0.2903076171875,75.0,0.0,539,1.5380706027150155,293.93,286720,-7.82310962677002e-09,15.968714690208435,0.05104951801670961,-0.001292836680659093
29,45.5,0.002983738254124546,0.0042209489182042145,0.2175537109375,100.0,0.0,539,1.6674522310495377,298.18,296960,3.725290298461914e-09,15.968709802627563,0.05036822486161775,-0.0007120596914319321
30,62.25,0.004955077803549557,0.004407679462026692,0.3377685546875,125.0,0.0,538,1.6843535415828228,304.11,307200,-1.862645149230957e-09,15.968711763620377,0.049343997158950284,-0.0012314638355746866
31,68.75,0.004247929354892222,0.004393322335716832,0.297119140625,125.0,0.0,539,1.6764542795717716,304.97,317440,9.313225746154785e-09,15.968715053796767,0.04950623849006415,-0.0019804191979346797
32,83.75,0.0029449963258230127,0.007616025463721599,0.2048095703125,152.50000000000023,0.0,540,1.6223086141049863,309.29,327680,1.0058283805847169e-08,15.96871782541275,0.05271073901890626,-0.00121008557616733
33,103.0,0.0026535894327366803,0.009101383613597136,0.174560546875,175.0,0.0,541,1.6807469703257083,317.03,337920,7.450580596923828e-09,15.96871775984764,0.05202255014235422,-0.0009808432194404304
34,127.0,0.002858207930239587,0.010116101449239068,0.2017333984375,202.50000000000023,25.0,542,1.7365239337086678,327.64,348160,1.1175870895385742e-09,15.968717813491821,0.0580318829942665,-0.001184061515959911
35,138.75,0.003821532518861659,0.009031495790259214,0.278271484375,227.5000000000002,50.0,544,1.7447819828987121,330.68,358400,8.568167686462402e-09,15.968717628717423,0.05746691671314012,-0.00189947837498039
36,131.0,0.0035673605918873363,0.006854623289223127,0.2547119140625,225.0,25.0,545,1.7297218568623065,331.01,368640,8.940696716308593e-09,15.968717366456985,0.05288536138877977,-0.0015696599206421525
37,114.5,0.0041202825102573115,0.005519318901474435,0.3062744140625,225.0,22.500000000000007,545,1.728884543478489,324.03,378880,-6.332993507385254e-09,15.968715089559556,0.05131151019257777,-0.0012587217119289563
38,101.5,0.004395939515632108,0.007988013529848103,0.24658203125,200.0,0.0,546,1.7509039886295796,319.19,389120,1.5273690223693846e-08,15.96871766448021,0.053960046013225314,-0.0012651358701987192
39,106.5,0.0028228146175251823,0.009141813393580379,0.223876953125,225.0,25.0,547,1.7571432538330556,318.42,399360,3.3527612686157227e-09,15.96871775984764,0.05456985039028511,-0.0016337826324161141
40,121.5,0.0030232422991048223,0.009291335651141708,0.2072509765625,227.5000000000002,25.0,548,1.7714476123452187,319.83,409600,4.8428773880004884e-09,15.968717688322068,0.05732936447626058,-0.000959638596395962
41,135.5,0.0027369695758011404,0.009366799151393934,0.2093017578125,277.5000000000002,50.0,548,1.7683547347784043,329.44,419840,1.080334186553955e-08,15.968717765808105,0.05620656620642737,-0.0010908430413110182
42,165.25,0.0026099433929630323,0.014526159992965405,0.1995849609375,300.0,50.0,549,1.748254718631506,340.25,430080,-2.4959444999694825e-08,15.968717944622039,0.05953062654900052,-0.0016294558852678164
43,184.25,0.0028604828098650614,0.01261567823239602,0.224560546875,352.5000000000002,50.0,550,1.7523019276559353,343.99,440320,1.0058283805847169e-08,15.968717902898788,0.05853840838012906,-0.0018861166172428057
44,217.0,0.0030041807461202554,0.013587422470300226,0.2142822265625,375.0,75.0,550,1.7158199213445187,349.38,450560,-7.450580596923829e-10,15.968717968463897,0.05902036227433458,-0.00135164437815547
45,233.75,0.002290915726143794,0.013419474940383225,0.174951171875,430.0000000000004,75.0,549,1.702545154094696,350.37,460800,-7.450580596923828e-09,15.968717885017394,0.06102709275295026,-0.0011818627535831183
46,226.5,0.0022356628822478796,0.012902631238102914,0.1644287109375,452.50000000000017,50.0,549,1.708384908735752,348.25,471040,-5.960464477539063e-09,15.968717908859253,0.05847731411306045,-0.0011526573565788568
47,213.75,0.0026944065160847686,0.011082818672912253,0.22060546875,405.00000000000045,50.0,550,1.7098769091069699,345.59,481280,-8.195638656616212e-09,15.96871782541275,0.05741920136143085,-0.001684322938672267
48,214.25,0.00254420995778446,0.015139853698201478,0.186181640625,352.5000000000002,50.0,550,1.6624708496034146,342.16,491520,-3.7252902984619143e-10,15.96871783733368,0.06106088379607812,-0.0012939048319822177
49,233.0,0.0019679994165642256,0.015584228804800659,0.1320556640625,527.5000000000002,50.0,551,1.5575054429471493,340.26,501760,4.097819328308106e-09,15.96871793270111,0.054707906275430665,-0.0010779275704408064
50,258.25,0.0021292275283030905,0.01651667330006603,0.1443115234375,550.0,125.0,550,1.5210109069943427,340.21,512000,1.0430812835693359e-08,15.968717861175538,0.056379168874661344,-0.0009778495586942881
51,276.75,0.00219538521969298,0.015479061465885024,0.1693115234375,552.5000000000002,125.0,550,1.4955223448574544,345.0,522240,-1.1920928955078126e-08,15.968717986345291,0.05988707059207295,-0.0011089198640547692
52,286.25,0.0017744999696560626,0.015852284076390787,0.1267333984375,577.5000000000002,150.0,550,1.5427031449973583,347.87,532480,-2.0116567611694337e-08,15.968717741966248,0.054794266605185195,-0.0009492604702245444
53,261.75,0.0021321989005173235,0.013401522160711466,0.173828125,425.0,125.0,550,1.564529325813055,353.28,542720,1.862645149230957e-09,15.968717920780183,0.059644172462896425,-0.0010697507415898145
54,244.25,0.002181449995168805,0.013327867104089819,0.1706298828125,502.5000000000002,75.0,551,1.5586805552244187,349.45,552960,1.1175870895385742e-09,15.96871793270111,0.05613404823917989,-0.0013076831790385767
55,238.5,0.0022380650727541252,0.014308693729981314,0.1828125,402.5000000000002,75.0,551,1.5294110737740993,355.37,563200,-7.450580596923828e-09,15.968717944622039,0.05660204493045282,-0.0016870282823219895
