epoch_idx,episode_length,grad_norm,fps,approx_kl_divergence,value_loss,P09:episode_rewards,policy_loss,explained_variance,policy_entropy,advantage_norm,clip_fraction,P01:episode_rewards,PMM:episode_rewards,frames
1,287.6875,1716186545.3839514,532,3207581.7061443822,1183018910.4142945,72.50000000000006,0.04204161062953062,-0.2942214235663414,0.3244968726336765,15.967622536420823,0.291845703125,0.0,17.1875,10240
2,287.0833333333333,0.06864942015224043,519,0.010655449236378445,0.0013351339177758216,50.0,0.0014770973823033274,-1.7136335372924803e-08,1.0145541358739139,15.966978347301483,0.2525146484375,0.0,14.583333333333334,20480
3,288.54,0.0383732529433072,523,0.007301249070792437,0.0024007948589241934,52.50000000000021,-0.0008508376049576327,4.097819328308106e-09,1.2731251694262027,15.968692308664322,0.2770263671875,0.0,18.0,30720
4,289.0,0.031988407382662884,530,0.004450463429657247,0.0014863666661423913,75.0,-0.0004430140135809779,8.568167686462402e-09,1.2340684667229653,15.968510246276855,0.19541015625,0.0,21.0,40960
5,289.91,0.029348753322399012,526,0.005595633252141852,0.0021616004229196408,75.0,-0.0005234303127508611,1.3411045074462891e-08,1.1979756966233253,15.968696141242981,0.2160888671875,0.0,22.25,51200
6,288.8,0.03972627543000248,523,0.004752738785623478,0.002166613104097781,75.0,-0.0007838869409170002,-7.078051567077636e-09,1.4779735587537288,15.968688029050828,0.239208984375,0.0,22.75,61440
7,295.26,0.04762977773381609,532,0.003095878639715011,0.005132157507091506,100.0,-0.0009393755841301754,2.6077032089233397e-09,1.467923853546381,15.968717187643051,0.200732421875,0.0,35.75,71680
8,301.85,0.04709749731628417,537,0.003298894552222009,0.004963024426564289,125.0,-0.0012422489933669567,2.123415470123291e-08,1.4094534561038017,15.968714070320129,0.197119140625,0.0,58.0,81920
9,306.81,0.0402514137174314,539,0.0030690762967708453,0.004553166777759543,125.0,-0.0008604543865658343,-1.0430812835693359e-08,1.1561459079384804,15.9687160551548,0.1904541015625,0.0,70.0,92160
10,312.39,0.03878588597828385,537,0.002668593225399718,0.005533465311327745,150.0,-0.0010132650670129806,-2.9802322387695312e-08,1.061332318559289,15.968716448545456,0.1512451171875,0.0,77.0,102400
11,315.96,0.03485209152602405,534,0.0028234901509563313,0.005447355548449195,150.0,-0.0006219844086444937,5.215406417846679e-09,1.12114167958498,15.96871713399887,0.121533203125,0.0,75.5,112640
12,321.46,0.048940143595603,532,0.0023729833490222065,0.007892516497622636,202.50000000000023,-0.0012770428438670933,7.82310962677002e-09,1.1591058567166328,15.968716579675675,0.1619384765625,0.0,96.25,122880
13,322.93,0.04926489025504876,530,0.0032037402817081785,0.007925697245900665,225.0,-0.0013125756522640586,-1.1920928955078126e-08,1.1858624428510667,15.968716895580291,0.1851806640625,0.0,106.75,133120
14,324.71,0.04431982875406136,528,0.0028263347522269554,0.008879696856274677,225.0,-0.0013735360058490186,-2.0116567611694337e-08,1.1561590164899826,15.968717449903489,0.1556396484375,0.0,123.25,143360
15,321.28,0.04335824518061705,528,0.002404918894533381,0.005969824948260793,202.50000000000023,-0.0005611826898530125,-2.4959444999694825e-08,1.0990978926420212,15.968717712163926,0.1247802734375,25.0,117.0,153600
16,317.99,0.03864839838189488,527,0.0021865747768003985,0.00789243509498192,225.0,-0.0007266917324159295,1.4901161193847657e-09,1.1035031750798225,15.968717789649963,0.1126220703125,0.0,117.75,163840
17,314.05,0.03709797912747087,526,0.0030778133417257436,0.005473816743085535,267.5000000000015,-0.000979589598136954,1.6763806343078613e-08,1.159779293090105,15.96871621608734,0.140478515625,0.0,115.25,174080
18,312.51,0.04061645512631694,525,0.0033931099349388204,0.005494334379409338,425.0,-0.0009433235711185262,6.332993507385254e-09,1.2210150152444839,15.968717128038406,0.1611572265625,0.0,110.75,184320
19,306.65,0.030781307572683346,525,0.0030949391221497535,0.004970210556211896,177.50000000000023,-0.0009650554187828675,-7.82310962677002e-09,1.1032858155667782,15.968717181682587,0.1393310546875,0.0,86.75,194560
20,301.85,0.03465147841849603,527,0.0030955086383983145,0.003752962546673189,127.50000000000021,-0.0005166045535588637,-1.1175870895385742e-09,1.1404018756002188,15.968714958429336,0.1496337890625,0.0,67.25,204800
21,298.59,0.027542493406806406,529,0.002471285733486184,0.003190745518907079,100.0,-0.0010788426006911322,1.3783574104309083e-08,1.0658151600509882,15.968712037801742,0.1385498046875,0.0,50.0,215040
