explained_variance,episode_length,value_loss,policy_entropy,PMM:episode_rewards,policy_loss,P01:episode_rewards,frames,epoch_idx,approx_kl_divergence,grad_norm,clip_fraction,fps,advantage_norm,P09:episode_rewards
-3.2726011600345375,319.6,624082.8626395947,1.6197898623656535,128.33333333333334,0.04745607862278121,25.0,10240,1,2039.8277871270984,1788823.7541206267,0.4610107421875,469,15.9687180519104,200.0
9.685754776000977e-09,328.3606557377049,0.008988463397326996,1.7762478388845921,140.1639344262295,-0.0017320630890026224,25.0,20480,2,0.0033476544151426423,0.05273931096391639,0.222314453125,366,15.968717557191848,250.0
2.2351741790771484e-09,332.81111111111113,0.009808490688101301,1.773282814025879,162.77777777777777,-0.001848177036663401,25.0,30720,3,0.003026672129590224,0.055461921949190265,0.22431640625,406,15.968717098236084,307.5000000000006
-5.215406417846679e-09,340.17,0.008785291009644425,1.7765721142292024,180.25,-0.001669681237763143,25.0,40960,4,0.0030760613121856295,0.05384751199579968,0.23359375,433,15.968717658519745,452.50000000000017
1.3783574104309083e-08,336.66,0.007647509569324029,1.7743365094065666,174.25,-0.002080963318439899,50.0,51200,5,0.0035208531808791576,0.05329496641521444,0.2417724609375,445,15.968717396259308,330.0000000000004
2.644956111907959e-08,337.25,0.011098359078459907,1.7679211117327214,174.5,-0.0018148231269151439,50.0,61440,6,0.0031005538285626246,0.056700806869596235,0.2372314453125,456,15.968717700242996,300.0
3.3527612686157227e-09,329.48,0.010507051252716337,1.7696455165743827,159.75,-0.0017562900895427447,25.0,71680,7,0.0027728584526812484,0.05425574373461458,0.1938720703125,463,15.96871758699417,300.0
-1.080334186553955e-08,329.05,0.009379161585275141,1.781226360797882,165.5,-0.0010787936404085484,25.0,81920,8,0.002967545236879232,0.05425327288820834,0.2150390625,467,15.96871783733368,302.5000000000002
-1.1548399925231934e-08,329.64,0.007363046274895169,1.7752867929637433,166.0,-0.0014515080951241544,25.0,92160,9,0.0031663958236435976,0.0498577205619302,0.225439453125,469,15.968717396259308,325.0
-3.3527612686157227e-09,329.54,0.010244888966872168,1.7728702068328857,165.75,-0.001989390873131924,25.0,102400,10,0.0032878205451879693,0.05616284738211623,0.2647705078125,472,15.968717414140702,325.0
-6.332993507385254e-09,332.11,0.00963484419771703,1.7559536539018155,168.0,-0.0014470648777205497,25.0,112640,11,0.0029851497854451736,0.0524487371889741,0.228271484375,472,15.968717765808105,305.00000000000045
4.470348358154297e-09,335.84,0.009670602010737639,1.7548264540731906,179.25,-0.0014267258629843127,25.0,122880,12,0.002517381167649546,0.05091876968025155,0.1974609375,475,15.968717741966248,380.00000000000045
-1.2665987014770507e-08,342.74,0.00965297548827948,1.7687064319849015,200.5,-0.0016631830450933194,25.0,133120,13,0.0035579502493419566,0.053900955434427564,0.2857666015625,478,15.96871777176857,452.50000000000017
-7.82310962677002e-09,342.42,0.01095966835789568,1.7830907747149467,212.25,-0.002142420738528017,25.0,143360,14,0.0034159148298385845,0.056656521800079095,0.269091796875,482,15.968717646598815,527.5000000000002
