frames,advantage_norm,P01:episode_rewards,clip_fraction,P09:episode_rewards,approx_kl_divergence,explained_variance,grad_norm,policy_loss,episode_length,fps,policy_entropy,value_loss,PMM:episode_rewards,epoch_idx
10240,15.968716144561768,127.5,0.5598876953125,372.50000000000006,979.7435032356618,-2.6721452347934247,4948760.754357422,0.07598402416333556,403.0,477,1.3251145571686878,1605515.0594969238,234.0909090909091,1
20480,15.968717330694199,25.0,0.312353515625,362.5,0.00558298293505004,-2.421438694000244e-08,0.06080088975645322,-0.0014575569301086943,358.73214285714283,359,1.7618913508951664,0.007459355055925698,186.16071428571428,2
30720,15.968717813491821,25.0,0.2015625,350.0,0.0025555547966860104,-5.215406417846679e-09,0.05649246839781088,-0.0013586161741841352,350.4651162790698,402,1.7802710101008414,0.009515883355743427,183.72093023255815,3
40960,15.968717992305756,25.0,0.22578125,327.5000000000002,0.0030623869663145343,-1.0058283805847169e-08,0.05552261802392765,-0.002165432239416987,333.17,419,1.7817039735615254,0.00983387921587564,171.75,4
51200,15.968717712163926,50.0,0.2391845703125,355.00000000000045,0.0031110218698131575,0.0,0.052940813951803924,-0.0017984708123549354,335.74,440,1.7759030163288116,0.009039896255126223,186.0,5
61440,15.968717193603515,25.0,0.2563232421875,400.0,0.0032730518700304855,-8.195638656616212e-09,0.0564845809079653,-0.0018500051017326768,333.89,455,1.777987787872553,0.00945913604555244,181.5,6
71680,15.968716949224472,25.0,0.2430908203125,425.0,0.0034026636480007253,-3.3527612686157227e-09,0.05046862614822765,-0.0015702827709901611,332.73,466,1.7792249917984009,0.006500422898488978,172.0,7
81920,15.9687169611454,0.0,0.2494873046875,400.0,0.0035471701227152153,0.0,0.050555449711635704,-0.0018885947785747704,326.71,473,1.7751660749316216,0.00760954285005937,150.25,8
92160,15.96871595978737,0.0,0.247998046875,352.5000000000002,0.0032554885716251647,6.332993507385254e-09,0.05312233238463243,-0.0017136250928160735,321.32,476,1.765038125962019,0.006664718488269728,136.0,9
102400,15.968717271089554,25.0,0.279541015625,252.50000000000023,0.003498321789925285,-1.1920928955078126e-08,0.053146178696105426,-0.0022080708280554973,321.89,481,1.7736293628811837,0.008100551271081714,134.0,10
