epoch_idx,P09:episode_rewards,explained_variance,P01:episode_rewards,fps,frames,value_loss,policy_entropy,PMM:episode_rewards,episode_length,grad_norm,advantage_norm,policy_loss
1,3.0,-2.979071422815323,0.0,543,8000,0.04147130483986985,1.3443754160404204,1.2162162162162162,172.7027027027027,1.1260008561030863,1.7706249541789294,0.019810294350609183
2,5.0,0.015849779844284057,0.0,315,16000,0.01908779678255087,1.3182234597206115,1.76,196.89333333333335,0.39796726039455294,1.5215999998152256,-0.001129463305696845
3,5.0,-0.06045800507068634,0.0,353,24000,0.018287447492184583,1.3156854009628296,1.99,205.29,0.48741664584573124,1.411271556764841,0.003017889619222842
4,6.200000000000017,0.4057736152410507,0.0,375,32000,0.015030239545740186,1.3239357781410217,2.18,210.1,0.4597592630498974,1.400715515613556,-0.00026678069465560836
5,6.1000000000000085,0.6030835640430451,0.0,392,40000,0.015397239559097215,1.3397778630256654,2.23,211.13,0.49785026971677837,1.4184233903884889,0.0006339141940406989
6,5.0,0.7130488234758378,0.0,403,48000,0.012049000346742104,1.3602445173263549,1.96,203.99,0.42075040783255013,1.2374202126264573,0.001119344234757591
7,4.1000000000000085,0.7729399448633194,0.0,413,56000,0.013869724267278798,1.3597950088977813,1.74,196.11,0.4803255865771523,1.369653575718403,-0.005793034469243139
8,5.0,0.8708123856782913,0.0,419,64000,0.009154917740961537,1.3494690442085266,1.65,194.42,0.37809840914322845,1.128868573307991,-0.0038725347630679608
9,5.0,0.8985267615318299,0.0,425,72000,0.009334206389030441,1.3497923040390014,1.76,198.52,0.3982738840954002,1.1473972621560096,-0.003147912690765224
10,5.0,0.8740657979249954,0.0,433,80000,0.008644469848368317,1.3457197165489196,1.88,202.73,0.3704182639242669,1.0881580758094787,-0.002680993990506977
11,5.0,0.8417572069168091,0.0,436,88000,0.010024337990325876,1.34345431804657,1.95,201.04,0.37572200938924794,1.160132754445076,-0.001357053306128364
12,5.0,0.9080962949991226,0.0,440,96000,0.008001026774873026,1.3624975383281708,2.2,211.97,0.33886057122080826,1.0467607280611992,0.0005965252328314818
13,6.0,0.8822705030441285,0.0,445,104000,0.00883253117208369,1.3543050146102906,2.4,220.55,0.34640104792567755,1.1035635977983476,-0.001693637914941064
14,5.1000000000000085,0.8612397080659866,0.0,449,112000,0.00987900693260599,1.3441498959064484,2.08,207.49,0.3643449277372739,1.137706276625395,-0.004266541987308301
15,5.0,0.9600379347801209,0.0,451,120000,0.004649314963608049,1.3181051325798034,1.84,198.87,0.25126728153075933,0.7734187972545624,-0.0010115110024344176
16,5.0,0.949547199010849,0.0,454,128000,0.004834285646793433,1.3142026162147522,1.74,193.03,0.244628074843895,0.8036064094305039,-0.002755843119812198
17,6.0,0.9581998997926712,0.0,455,136000,0.003654522706056014,1.3154553616046905,2.03,202.22,0.19320117145652296,0.6666171272099018,-0.0006578406680637272
18,9.0,0.9300065225362778,0.0,457,144000,0.007577310064225458,1.330977693796158,2.45,214.53,0.34265824964527314,0.9517744565010071,-0.002492967507278081
19,7.200000000000017,0.922900859117508,0.0,459,152000,0.004765278754057363,1.339735870361328,2.29,210.83,0.2352985170983787,0.7501165416836738,0.00046284831551020035
20,5.0,0.917237588763237,0.0,460,160000,0.007183067072182894,1.3672870993614197,1.81,196.57,0.27360542411444255,0.9184744267165661,-0.001166665920172818
21,5.0,0.9650785803794861,0.0,461,168000,0.0038435816366109068,1.3593240582942963,1.7,194.36,0.19939798778010848,0.6827539867162704,-0.00046037380350753663
22,5.0,0.9550620138645172,0.0,463,176000,0.005096250438073185,1.3585604655742645,1.95,204.26,0.23950324497841147,0.7836168032884597,-0.001191206248186063
23,5.0,0.9086443942785263,0.0,464,184000,0.009422010242706164,1.3460597431659698,2.18,214.72,0.3706436469510958,1.0025578767061234,0.00044614312704652545
24,5.0,0.9460027551651001,0.0,466,192000,0.00504827349097468,1.3464698004722595,2.17,212.77,0.23525566608932344,0.7882342678308487,-0.0007670616719406098
25,5.0,0.943950492143631,0.0,468,200000,0.005976984443841502,1.3426140534877777,2.45,221.72,0.2526420567572213,0.8433242690563202,-0.001414969417237444
26,9.0,0.9139378142356872,0.0,469,208000,0.007437936723290477,1.3612588906288148,2.56,221.63,0.25441886963818283,0.9109995891153813,-0.001049672231893055
27,7.0,0.9273973309993744,0.0,471,216000,0.006812968315207399,1.3602482688426971,2.19,207.52,0.2569474374682776,0.9078406494855881,-0.0016002383828708844
28,5.1000000000000085,0.9217612308263778,0.0,472,224000,0.006206058925599791,1.3590438723564149,1.99,203.59,0.2752712888907603,0.8894491958618164,0.000286140339449048
29,5.1000000000000085,0.8958358097076417,0.0,474,232000,0.006062406517739874,1.369056568145752,1.91,200.65,0.24831043220266585,0.8380455195903778,0.0005614251876249909
30,5.0,0.9098042631149292,0.0,475,240000,0.009298177406308242,1.3671155762672424,1.91,200.15,0.3072934900581387,1.1070317482948304,-0.0024885773423011415
31,5.0,0.9065632557868958,0.0,477,248000,0.009474634317448362,1.361863317489624,2.22,210.68,0.33000163940720584,1.128060881793499,-0.000818253019824624
32,6.0,0.9042319059371948,0.0,478,256000,0.007608428784587886,1.3654936981201171,2.39,217.99,0.28831851776318645,0.9820719796419144,-0.0007697199349058791
33,7.1000000000000085,0.9143184924125671,0.0,479,264000,0.007441250119009055,1.3499161982536316,2.69,227.6,0.28510831718793084,1.0015051856637,-0.001021732884219091
34,6.0,0.8525066632032394,0.0,479,272000,0.010849685150897131,1.3617155075073242,2.21,211.12,0.3361128949914823,1.1841839796304703,-0.002991481489443686
35,6.0,0.9070615190267562,0.0,479,280000,0.008704642569646238,1.350576468706131,2.64,224.01,0.28774885122804505,1.067237288057804,-0.0014647782625979743
36,5.1000000000000085,0.9387615579366684,0.0,479,288000,0.006673522882629186,1.3366703259944916,2.34,215.3,0.27710925601766623,0.9049882343411446,-0.001820280535293932
