value_loss,P01:episode_rewards,episode_length,advantage_norm,grad_norm,PMM:episode_rewards,explained_variance,fps,frames,policy_loss,epoch_idx,policy_entropy,P09:episode_rewards
0.0658357948378989,0.0,159.42857142857142,1.8206276604160667,2.906282147472274,0.8095238095238095,-2.458862696290016,234,8000,0.009981085048784734,1,1.3614832788705826,2.8999999999999986
0.014990414857857104,0.0,184.04819277108433,1.317532316967845,0.17699518002717432,1.4096385542168675,0.0033925575017929076,221,16000,0.0011700915941037237,2,1.3817598795890809,3.0
0.012559634022973115,0.0,192.53,1.1472045556642114,0.16126295434596824,1.6,-0.018131290674209596,241,24000,0.002011175645166077,3,1.3846030855178832,4.0
0.010555393251806891,0.0,182.76,1.040004427060485,0.18812796557811448,1.35,-0.02162895441055298,251,32000,-0.0009362312179291621,4,1.3849829518795014,3.0
0.01172588946169526,0.0,176.13,1.0554568111896514,0.16767290989885933,1.18,-0.028462157845497132,258,40000,0.0018621340792742559,5,1.3841632342338561,3.0
0.017409737658235825,0.0,180.01,1.4080862008780242,0.2569449752016259,1.32,-0.09097608864307404,265,48000,0.004721515990095213,6,1.380409939289093,3.0
0.016329684251832077,0.0,192.59,1.324537232965231,0.32307122624731544,1.64,0.025096948146820067,270,56000,0.000665233600011561,7,1.3786650431156158,4.0
0.01786038802092662,0.0,200.04,1.4768601593375206,0.3492435913391337,1.86,0.07734863460063934,272,64000,0.000559265551273711,8,1.3775098848342895,5.0
0.011862242957431591,0.0,191.98,1.1611909797787667,0.29998958795837216,1.62,0.24391198694705962,275,72000,0.0016984113038051873,9,1.3812732529640197,4.0
0.01676364252271014,0.0,185.32,1.4267824131250382,0.4121524934652722,1.5,0.17939012229442597,277,80000,0.0006634645367739722,10,1.3838299036026,4.0
0.01771666615852155,0.0,187.84,1.4948981648683548,0.43436051591522373,1.71,0.5570502752065658,279,88000,-0.004734651285543805,11,1.3765080904960632,4.0
0.013619355030241422,0.0,195.98,1.343561917245388,0.3644903011160363,1.86,0.5382608234882355,280,96000,-0.002755313896341249,12,1.381830917596817,5.0
0.012269643228501081,0.0,192.21,1.2450648427009583,0.36228090722757356,1.7,0.6519113600254058,283,104000,-0.0010455539310351015,13,1.3759418714046479,4.1000000000000085
0.01198266243096441,0.0,185.42,1.3086589643359183,0.387478400906973,1.52,0.805941356420517,284,112000,-0.0017810239701066166,14,1.371498348712921,4.0
0.015854470097692683,0.0,190.23,1.32501452177763,0.5212117539628136,1.64,0.6975241446495056,284,120000,-0.0008808400449925102,15,1.3634371149539948,4.0
0.009930140015203506,0.0,197.01,1.1812437722086906,0.3740594577319037,1.76,0.8628846293687821,284,128000,-0.003979165330238174,16,1.3574586701393128,5.0
0.009852333375019952,0.0,201.33,1.1745518976449967,0.359485674605327,1.85,0.852534019947052,285,136000,0.0010720935275458031,17,1.3481350064277648,5.0
0.011421557016437872,0.0,185.65,1.0436663937568664,0.4061860612766443,1.45,0.8766979956626892,285,144000,-0.0010448606847785413,18,1.3487827122211455,5.0
0.006733997901319526,0.0,179.24,0.9609497570991516,0.2925601931039194,1.33,0.9293168818950653,285,152000,-0.0032742909784428775,19,1.3553670024871827,5.0
0.010479766104836016,0.0,192.09,1.1516812980175017,0.39346194314119265,1.78,0.8476237803697586,286,160000,-0.00214985327093018,20,1.3234241962432862,5.0
0.007543366981553845,0.0,210.23,1.0199633774161339,0.30442716001328063,2.22,0.9224344277381897,287,168000,-0.001848188533913344,21,1.3363455760478973,6.0
0.009116701966850087,0.0,224.17,1.114657836854458,0.32095266421208435,2.65,0.9036515516042709,287,176000,-0.0008255244710016996,22,1.3477451515197754,8.100000000000009
0.007521866872557439,0.0,216.0,1.0130186587572099,0.3009294977426727,2.41,0.9014993965625763,287,184000,-0.002902479835029226,23,1.3464963638782501,6.0
0.004594217431149445,0.0,199.23,0.7727469453215599,0.2356161553205002,1.95,0.9466803520917892,287,192000,-0.0007009062643919605,24,1.3358609664440155,5.0
0.0036333859578007834,0.0,189.13,0.6896809032559394,0.211346844886442,1.61,0.9651120644807816,288,200000,-0.0017746960968361236,25,1.3296364641189575,5.0
0.00635759761906229,0.0,188.86,0.8547930085659027,0.259684818965771,1.57,0.9144153201580048,288,208000,-0.0007454689102451085,26,1.349218897819519,5.0
0.0032884941596421414,0.0,191.54,0.6438777551054955,0.17586258545224812,1.65,0.9436898040771484,288,216000,-0.001725360318669118,27,1.3371709549427033,5.0
0.0030236689263256266,0.0,187.82,0.6544219034910203,0.19138070368430188,1.6,0.9699585908651351,288,224000,-0.000847991899063345,28,1.339320067167282,5.0
0.006165965766413138,0.0,203.61,0.9164865383505821,0.2590786933135326,2.06,0.9431155699491501,289,232000,-0.0001502723385419813,29,1.3577194154262542,5.1000000000000085
0.004416340481839143,0.0,218.57,0.7659807407855987,0.1992276604166811,2.43,0.9603633558750153,289,240000,-0.0017638895253185183,30,1.3569865643978118,6.1000000000000085
0.004006315704609733,0.0,212.66,0.7195426920056343,0.1957799872449515,2.2,0.9548036581277848,290,248000,-0.000907315545482561,31,1.3478883874416352,5.0
0.0047243857738794755,0.0,192.91,0.7222716844081879,0.1995051186045456,1.66,0.9545299738645554,291,256000,0.000118362370194518,32,1.337121720314026,5.0
0.0043969167585601095,0.0,204.23,0.714301972091198,0.20344606449067001,2.03,0.955785197019577,293,264000,-0.003202889291278552,33,1.3409002709388733,5.0
0.002349188412190415,0.0,211.83,0.562143381536007,0.1467801467217603,2.25,0.9748534440994263,294,272000,-0.0004398571934507345,34,1.327779175043106,7.1000000000000085
