policy_loss,epoch_idx,PMM:episode_rewards,P09:episode_rewards,P01:episode_rewards,explained_variance,value_loss,policy_entropy,advantage_norm,fps,grad_norm,episode_length,frames
-0.0022736434667604043,1,1.024390243902439,2.0,0.0,-0.9602952378988266,0.03074849746079053,1.359618284702301,1.6179264760389924,544,1.2393610379974191,166.41463414634146,8000
0.00019422202138230204,2,1.1444444444444444,3.1000000000000085,0.0,-0.064252490401268,0.015865149830278823,1.3775155067443847,1.289362811408937,317,0.2900412814085729,172.15555555555557,16000
0.001011232128366828,3,1.48,4.0,0.0,-0.0011078220605850219,0.01495527889688674,1.3701318168640138,1.3396881894767285,359,0.20236837398123939,185.93,24000
0.0016255262889899313,4,1.8,5.0,0.0,0.02019518435001373,0.0163790069535753,1.3688432025909423,1.377797270938754,389,0.24686541271806875,196.87,32000
0.001121017995174043,5,1.57,5.0,0.0,-0.0047867512702941895,0.01259492764929746,1.3580517280101776,1.1275769028812648,407,0.23750893612310453,187.57,40000
-0.00010522837095777504,6,1.47,4.0,0.0,0.03689349293708801,0.013097639746993081,1.3693062806129455,1.2512044170498848,420,0.2946387624890223,183.48,48000
-0.001340484726242721,7,1.71,4.0,0.0,0.47416215121746064,0.014506727953339578,1.3598709857463838,1.3378902350366115,428,0.3704466665106159,193.11,56000
-0.0004699430026084883,8,1.92,5.0,0.0,0.5378296393156051,0.017196820938843303,1.3613693022727966,1.5151141160726547,438,0.3852812450042024,202.28,64000
-0.007607549677832139,9,1.65,4.1000000000000085,0.0,0.7146460294723511,0.02243268370279111,1.361038852930069,1.641173231303692,444,0.5052816126586473,193.98,72000
-0.0036810615903232246,10,1.75,5.0,0.0,0.7649183094501495,0.013859585387981497,1.3666948664188385,1.3717034614086152,450,0.38874360125673457,197.57,80000
-6.461211072746665e-05,11,1.84,5.0,0.0,0.5630590194463729,0.013762185140512884,1.3521787804365157,1.328322497010231,455,0.38784664053136714,199.68,88000
-0.005239506663492648,12,2.07,5.0,0.0,0.8514246255159378,0.013038830131990834,1.3527383816242218,1.3584051251411438,460,0.3788374288980462,206.57,96000
-0.0023761423130054028,13,2.27,5.0,0.0,0.8568896192312241,0.016675390612799674,1.334881493449211,1.2512731236219405,464,0.42842788806697135,216.0,104000
-0.00042136828385991976,14,2.31,5.0,0.0,0.9116221332550049,0.006810001793783158,1.3268241441249848,0.9679933890700341,468,0.26675229862361394,218.43,112000
-0.0010181193286553025,15,1.81,5.0,0.0,0.9096495223045349,0.0066430631408002224,1.3400838124752044,0.9279709497094154,470,0.2764290743591706,199.73,120000
-0.0008511025400366635,16,1.83,5.0,0.0,0.9274754965305329,0.0058140242256922645,1.3326967191696166,0.894228047132492,474,0.237366825532756,199.19,128000
