fps,advantage_norm,grad_norm,episode_length,policy_loss,explained_variance,P09:episode_rewards,P01:episode_rewards,value_loss,frames,epoch_idx,policy_entropy,PMM:episode_rewards
537,4.644413614161312,31.78798817684002,163.15217391304347,0.07789841829093348,-7.66922554910183,2.0,0.0,1.2753903292050426,8000,1,1.31934295989573,0.9782608695652174
330,0.6909085818007589,0.1146053725995873,166.0,0.0007474649227515328,-5.0582045632600785,3.0,0.0,0.005174410625340897,16000,2,1.381002538204193,1.0104166666666667
373,0.552109986776486,0.08990226328074145,166.23,0.0007807649533788207,-7.491536986231804,3.0,0.0,0.004403103458371333,24000,3,1.383479026556015,1.02
401,0.6946112476475537,0.08818410379926825,163.94,0.00030294743288322934,-3.883348367214203,2.0,0.0,0.005241530454347867,32000,4,1.3850515854358674,0.99
421,0.8140075865015387,0.09569685308728375,180.38,-0.0003775193361798301,-1.5533916473388671,3.0,0.0,0.00625086205185653,40000,5,1.3853224861621856,1.33
430,0.7378028409555555,0.11635271401602719,185.25,-0.0005698281175136799,-3.093409024477005,3.0,0.0,0.005992409909845264,48000,6,1.3853646397590638,1.44
432,0.707145465835929,0.085416661545771,179.16,-0.0006380445108516142,-1.6975028681755067,3.0,0.0,0.005316651910898145,56000,7,1.3858093798160553,1.29
432,0.8872317910194397,0.11761194338449908,189.92,0.0005334863487223628,-1.5195118224620818,4.0,0.0,0.007034782873688528,64000,8,1.3853903639316558,1.54
433,0.7198079789057374,0.09651408936806204,195.97,-0.00015816995521163334,-2.717439950108528,4.0,0.0,0.00539338105250863,72000,9,1.3837763667106628,1.75
434,0.6847889568284153,0.09443577044769907,174.89,0.00016845740145072342,-2.3301519817113876,3.0,0.0,0.0050999665538984116,80000,10,1.3846628296375274,1.28
433,0.6629351112991572,0.09777876570934882,165.53,0.0009444615456777683,-2.8460361939668655,2.1000000000000085,0.0,0.005037421446331791,88000,11,1.385854721069336,0.97
434,0.7437970060110092,0.11401909996754479,180.44,-0.0002949378904304467,-1.9455359148979188,4.0,0.0,0.00621725934765891,96000,12,1.3855728971958161,1.36
434,0.7772071670740843,0.11270895127360726,190.54,7.28215895651374e-05,-1.6084593433141707,4.0,0.0,0.005916777854290558,104000,13,1.3821258962154388,1.57
433,0.6649384367838502,0.10054569138026186,186.04,7.667563433642499e-05,-2.3776081842184067,4.0,0.0,0.0046081698345551555,112000,14,1.380644325017929,1.44
433,0.6544626608490944,0.10553372757387557,179.71,0.0010029054631013423,-2.7902107858657836,4.0,0.0,0.004566571760296938,120000,15,1.3834720158576965,1.28
433,0.7038136623799801,0.11195223129369877,182.36,-0.0005551345965068322,-2.0949302738904954,4.0,0.0,0.004645915663568303,128000,16,1.3845353865623473,1.35
434,0.6739326626807451,0.11311874050868838,189.28,0.0005455468065338209,-3.3944765508174894,4.0,0.0,0.0043644755522473135,136000,17,1.383733947277069,1.57
435,0.7411709083616733,0.4467892111263164,183.44,-0.011395010701089631,-2.177022618055344,4.0,0.0,0.009224341495810221,144000,18,1.3840905821323395,1.48
435,0.6275018555670977,0.14201083288403463,184.63,7.967520505189895e-06,-1.546721111536026,4.0,0.0,0.0035669921826047358,152000,19,1.3853350710868835,1.42
436,0.6033952535688877,0.12493081184890543,187.59,-0.0006891275072121062,-2.874443187713623,4.0,0.0,0.003486956022170489,160000,20,1.3802804481983184,1.45
436,0.49504769742488863,0.10437689818564058,177.72,-3.757301703444682e-05,-1.8159281092882156,3.0,0.0,0.0023455601256137017,168000,21,1.384359323978424,1.24
436,0.6099269630759955,0.286908263464973,171.79,-0.009037334399472456,-1.736924033164978,3.0,0.0,0.0046384903912257865,176000,22,1.3839735901355743,1.14
436,0.5750087671726942,0.1301350160414851,173.62,-0.0027496879565296695,-2.532081329226494,3.0,0.0,0.003396915438643191,184000,23,1.3824200165271758,1.24
