PMM:episode_rewards,value_loss,fps,explained_variance,P09:episode_rewards,policy_entropy,frames,episode_length,epoch_idx,policy_loss,grad_norm,P01:episode_rewards,advantage_norm
0.9523809523809523,0.018286995528351325,545,-0.5081635069847107,2.0,1.363910870552063,8000,165.76190476190476,1,-0.0003775419332669117,0.7162416916984633,0.0,1.2998767300322651
1.244186046511628,0.015223529848808539,319,-0.030744972229003905,3.0,1.3731480038166046,16000,179.25581395348837,2,0.004598041785066016,0.21728780961053282,0.0,1.3073054192960263
1.59,0.019388620138488476,363,-0.06656533837318421,4.0,1.3693381500244142,24000,195.44,3,-0.0019075147551484407,0.3236802019395801,0.0,1.4727391400933265
1.84,0.0152092871061177,391,-0.008691092133522033,5.0,1.376925038099289,32000,203.23,4,0.001688192341098329,0.2633187025975289,0.0,1.3189159017056227
1.61,0.01348394994292903,409,-0.02836176335811615,4.0,1.382019064426422,40000,189.37,5,0.002929329441030859,0.22356088294362,0.0,1.1870851196348666
1.6,0.01737673507654108,424,0.06559851109981536,5.0,1.3778100800514221,48000,190.45,6,-0.0012007338166586123,0.3354830975872526,0.0,1.504017577469349
1.95,0.016643627708544953,433,0.12204760849475861,5.0,1.3779427301883698,56000,204.07,7,0.00041173657882609405,0.371642970395387,0.0,1.4445928475260734
1.65,0.01688381846586708,439,0.5005236595869065,4.1000000000000085,1.363652000427246,64000,193.8,8,-0.004043518723919988,0.42081613748665025,0.0,1.3659902068972587
1.67,0.0142993696173653,446,0.7519870346784592,4.1000000000000085,1.3556616663932801,72000,194.96,9,-0.0029671014526684303,0.3846235182688483,0.0,1.4345361012220383
2.2,0.016790038947947325,452,0.7786626499891282,6.0,1.3145284593105315,80000,211.34,10,-0.009429799973950138,0.4524830930884864,0.0,1.5167718774080277
2.42,0.010151387935038655,457,0.8813078105449677,9.0,1.3261957454681397,88000,216.48,11,-0.004920668749255128,0.3740972669460741,0.0,1.1794370049238205
1.97,0.006460038171499036,461,0.9082274097204208,6.200000000000017,1.3296733486652375,96000,200.14,12,-0.0019170083429162332,0.2768879678746265,0.0,0.9374009561538696
1.79,0.008705869717523455,465,0.8843182986974716,6.0,1.3427154159545898,104000,195.38,13,-0.001679334861692041,0.30112446229686607,0.0,1.0773406788706779
2.03,0.009186690329806879,469,0.884567278623581,6.0,1.3449428224563598,112000,202.83,14,-0.00271497507346794,0.32653635190201846,0.0,1.1316754272580147
2.29,0.00878284000325948,471,0.8488292616605758,6.0,1.360641087293625,120000,214.88,15,-0.00011717538291122764,0.2796968730928225,0.0,1.074716484248638
2.09,0.0068058873224072156,474,0.9159007298946381,6.0,1.339650331735611,128000,208.49,16,-0.0011068801686633378,0.26171803278879957,0.0,0.9535944932699203
1.9,0.007220629860530608,476,0.9140975630283356,5.1000000000000085,1.336607723236084,136000,199.11,17,-0.0015925044972391333,0.29403590767743987,0.0,0.9059376884996891
1.92,0.0052398311404977,478,0.9462826478481293,5.0,1.3324654769897462,144000,201.06,18,-0.0007996136537985877,0.226915748674554,0.0,0.8203816676139831
1.98,0.009467211191076786,480,0.8947917968034744,5.0,1.3449646282196044,152000,202.34,19,-0.004015324495267123,0.3521728478617531,0.0,1.0721881020069122
2.23,0.005349409346963512,482,0.9501954823732376,8.0,1.3281081402301789,160000,207.8,20,-0.0024314437751309015,0.22414950550540474,0.0,0.8158607809245586
