P01:episode_rewards,frames,PMM:episode_rewards,grad_norm,fps,advantage_norm,policy_entropy,value_loss,explained_variance,P09:episode_rewards,episode_length,epoch_idx,policy_loss
0.0,8000,0.9761904761904762,51.701497653756476,534,6.136297348905355,1.3271231326460837,1.8722106051882519,-6.5592756116390225,2.0,166.85714285714286,1,0.2539627322230081
0.0,16000,1.0,0.09054821593351647,321,0.6260733178909867,1.3856094288825989,0.0047401421034140865,-7.15589025080204,2.0,166.06315789473683,2,0.0010052957224252169
0.0,24000,1.11,0.10261153182676887,376,0.6910771827958524,1.385403617620468,0.005381441578983868,-4.102701307535171,3.0,170.6,3,-0.0007579258852638305
0.0,32000,1.16,0.09105896997180776,408,0.6657254495285452,1.3836515724658967,0.005194438833686945,-4.705163663029671,3.0,174.26,4,4.598415958753321e-05
0.0,40000,1.19,0.0953327509717558,426,0.6628070350922645,1.384264360666275,0.005065822575697893,-3.956034928560257,3.0,175.62,5,0.0003039703631657176
0.0,48000,1.17,0.0811908880715783,435,0.7805272826179862,1.3838345408439636,0.006079047669600186,-1.712897036075592,3.0,174.67,6,0.00012372454639262287
0.0,56000,1.46,0.08155451208617792,435,0.7473857013322412,1.3830703604221344,0.005790668927338629,-2.2366288554668428,4.0,186.07,7,0.0004992356487855432
0.0,64000,1.65,0.09611618664186422,433,0.753393478449434,1.3850868678092956,0.005945434118148114,-1.790256341099739,4.0,193.74,8,0.00012191557529149577
0.0,72000,1.59,0.10268357371280619,434,0.70963567558676,1.3846784794330598,0.0057788961677943005,-1.8381790339946746,4.0,191.07,9,0.00045690117935009766
0.0,80000,1.82,0.14492073393567284,434,0.7685481477901339,1.3811053204536439,0.006054018023905883,-2.966148266196251,4.1000000000000085,198.57,10,-0.0012845857398951922
0.0,88000,1.71,0.11042911442188057,432,0.6919622680172324,1.375928292274475,0.005057292626224808,-1.9728022462129593,4.0,193.11,11,0.0009816522485925816
0.0,96000,1.23,0.10236893279795442,432,0.6174779390543699,1.381890641450882,0.004180947435143026,-3.3721057081222536,3.0,174.73,12,-0.0008638867110130377
0.0,104000,1.02,0.12126834239377744,431,0.594746477715671,1.383886102437973,0.0038362910237810864,-4.077400137782097,3.0,165.26,13,-0.0006679300399264321
0.0,112000,1.29,0.8366833556940559,431,0.8928406693041324,1.3843531942367553,0.01584539934854547,-1.4218237376213074,3.0,178.32,14,0.015387216488452395
0.0,120000,1.27,0.1072127995912105,431,0.6170858754217625,1.3808760368824005,0.0036694507837819403,-2.70084763109684,3.0,178.25,15,0.000221754386379871
0.0,128000,1.18,0.11774688607333998,430,0.6504384685307741,1.3832951056957246,0.004110800313683285,-2.636770813465118,3.0,173.08,16,0.00016647689568344504
0.0,136000,1.3,0.10028570959846014,431,0.5511296228319407,1.384870525598526,0.0031986396997672273,-2.6419111567735674,3.0,178.47,17,-0.000312616261508083
0.0,144000,1.28,3.1957356133946244,431,1.1143997052311898,1.37674899995327,0.09002201789920945,-2.7765279525518416,3.0,178.28,18,-0.008196752790536267
