P09:episode_rewards,episode_length,epoch_idx,policy_entropy,frames,advantage_norm,explained_variance,fps,PMM:episode_rewards,P01:episode_rewards,value_loss,policy_loss,grad_norm
3.0,169.9512195121951,1,1.3297728000395,8000,5.325288017131388,-1.1969410812854766,508,1.0975609756097562,0.0,1.9344474900710702,-0.08175522306803032,43.76522509181409
3.0,168.60638297872342,2,1.3841034471988678,16000,0.6483267740532755,-4.119733154177665,306,1.0638297872340425,0.0,0.00495730947610582,0.000436996338685276,0.12414595816450898
3.0,173.78,3,1.385348094701767,24000,0.6306386285368353,-6.020893958806991,343,1.16,0.0,0.004990104363246246,-0.0003494325719657354,0.09290978212479553
3.0,176.23,4,1.3859911251068116,32000,0.7278011850081384,-2.541856262087822,367,1.23,0.0,0.005761633644644917,0.0008265859942912357,0.09860827065632571
3.0,173.77,5,1.3858943474292755,40000,0.6731604615226388,-2.008690207004547,383,1.21,0.0,0.005147272054509813,0.00030723127769306303,0.07299270746484054
3.0,178.12,6,1.3857626390457154,48000,0.734668552801013,-1.6454750871658326,395,1.31,0.0,0.005793295643679812,-0.0008205426388303749,0.09775991811528094
4.0,182.81,7,1.385185649394989,56000,0.7589558342471718,-1.2277045726776123,403,1.4,0.0,0.005952749730176947,-0.0002031660606735386,0.0670589351712521
4.0,179.94,8,1.3850193655490874,64000,0.6413088708743453,-2.403761401772499,408,1.29,0.0,0.004956473043462211,0.00030626355946878904,0.05936998019452746
3.0,182.78,9,1.3847427380084991,72000,0.7705303228273988,-1.2876759868860246,412,1.32,0.0,0.006143128721359972,0.00045941811404190955,0.07343405687465189
4.0,192.2,10,1.3852784359455108,80000,0.7816787916794419,-1.6468013352155686,415,1.6,0.0,0.006829666585354062,-0.0032129628368420524,0.1539945492247453
3.1000000000000085,180.0,11,1.3857344114780425,88000,0.6040187551081181,-2.1291477370262144,418,1.34,0.0,0.004767028293135809,-0.0006463654377148486,0.06598111243197215
3.0,173.57,12,1.3852679073810577,96000,0.7440329880639911,-1.2090397602319718,421,1.18,0.0,0.005839905955926952,0.0008640752892824821,0.07492539490804137
4.0,186.34,13,1.3857004356384277,104000,0.7590338098257781,-1.2742856884002685,424,1.47,0.0,0.0061836152983050854,0.00010038048611022533,0.08130965272181596
4.0,192.96,14,1.38559938788414,112000,0.7521459737420082,-1.3834132307767868,427,1.64,0.0,0.0059776032904483144,-0.0008067446779750754,0.08363427235490456
3.0,184.29,15,1.3857238364219666,120000,0.6460012487694621,-2.4070124292373656,429,1.45,0.0,0.004768180695427873,0.000671262642936199,0.06891735349101898
3.0,177.55,16,1.3858952832221985,128000,0.7055753326788544,-1.659013808965683,430,1.31,0.0,0.005556479398874217,0.0006196985713904724,0.08087625177429965
4.0,181.25,17,1.3855942726135253,136000,0.6873112871870398,-1.7263749611377717,432,1.39,0.0,0.005316721134659019,-0.00012009162601316348,0.07870867417019366
4.0,182.73,18,1.3844686269760131,144000,0.7581529745459556,-1.6234859555959702,433,1.38,0.0,0.005813531293879351,0.0003635087053407915,0.0801092479900513
4.0,178.24,19,1.385155189037323,152000,0.6317756789550185,-2.3951770675182344,434,1.28,0.0,0.004581518428331037,9.606151619664161e-05,0.06851221607430566
3.0,175.43,20,1.384733839035034,160000,0.7169078343361616,-2.411775298714638,435,1.25,0.0,0.005187385077952058,0.0005402257628156804,0.08199661642420121
3.0,186.89,21,1.3837485086917878,168000,0.7750103370845318,-1.695528137087822,436,1.49,0.0,0.0058899665124226884,3.0278289050329476e-05,0.10244911784961173
3.0,185.76,22,1.3849221920967103,176000,0.6980304728448391,-1.9935293167829513,437,1.44,0.0,0.00508280907281005,-9.268605703255161e-05,0.09690238018578987
3.0,183.98,23,1.3844899141788483,184000,0.7001479957252741,-2.0467455047369003,437,1.41,0.0,0.0050611450807991785,-0.00029275314054757475,0.09402858064450274
3.0,182.75,24,1.3847110152244568,192000,0.707618524134159,-1.976433254480362,438,1.41,0.0,0.004765012402385764,0.0005106524200527929,0.09294648591753198
3.0,179.19,25,1.3850839161872863,200000,0.6774699328094721,-1.653580870628357,439,1.34,0.0,0.004546785710263066,-0.0006615345830505248,0.11360227612488157
3.0,179.67,26,1.3848293697834015,208000,0.728318247422576,-2.60948157787323,440,1.34,0.0,0.005072888611211965,-0.00040112981223501266,0.11572032341554248
