frames,P01:episode_rewards,policy_loss,epoch_idx,PMM:episode_rewards,fps,value_loss,explained_variance,P09:episode_rewards,episode_length,advantage_norm,grad_norm,policy_entropy
8000,0.0,0.14631788801856602,1,1.0731707317073171,565,1.6152814254126155,-4.5808951687812804,3.0,168.0,5.556114190761,39.21224281399693,1.31440116584301
16000,0.0,-0.0009256770797583158,2,1.1666666666666667,338,0.00548479647678505,-6.766953505277634,3.0,172.83333333333334,0.7116043701581657,0.0976553402180582,1.3781569039821624
24000,0.0,0.0002294338122010231,3,1.31,388,0.00611305756763727,-3.267637081742287,3.1000000000000085,180.79,0.7705625588167458,0.0766468303835837,1.384000906944275
32000,0.0,-2.277795341797173e-05,4,1.34,408,0.004586550301869465,-3.168249526023865,4.0,181.74,0.6190573807246983,0.06383822767830999,1.3840246415138244
40000,0.0,0.000535501551348716,5,1.25,425,0.005841864974909186,-0.7733008426427841,3.1000000000000085,177.25,0.7542042560130358,0.06937882407034729,1.3828895449638368
48000,0.0,-0.000510488759027794,6,1.42,442,0.005899488283221217,-1.0036905741691589,3.1000000000000085,185.7,0.7507969273626804,0.05989048296179405,1.38524423122406
56000,0.0,-0.00045913969731373075,7,1.41,448,0.005759643145499922,-4.570478724241257,3.0,184.76,0.7034957445040345,0.08193316728871476,1.3841972410678864
64000,0.0,-0.0005808711482677609,8,1.42,455,0.006533029356223779,-1.0942351990938186,3.0,184.23,0.7988580264523626,0.08895042783736003,1.3830273616313935
72000,0.0,-1.8892147851374828e-05,9,1.52,462,0.005422973252539123,-1.915052855014801,3.0,186.84,0.7036648052744567,0.08055404634865874,1.376708745956421
80000,0.0,0.0004989952790310781,10,1.21,474,0.005241574096617114,-3.1177680867910387,2.1000000000000085,173.39,0.6866437504254281,0.0839040588593804,1.3692071008682252
