#{"t_start": 1544596947.5012624, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,203,41.07978
2.0,223,47.39769
1.0,173,71.187594
0.0,127,74.780037
0.0,129,78.470387
1.0,178,83.728266
1.0,173,88.757724
0.0,129,92.396227
0.0,125,95.82937
2.0,204,102.011645
1.0,155,106.288494
0.0,125,109.823201
2.0,200,115.723721
0.0,129,119.401279
0.0,129,123.10145
1.0,172,128.118713
4.0,299,137.407753
0.0,125,140.736241
0.0,125,144.20421
0.0,127,147.503183
6.0,399,160.237799
2.0,202,166.156405
4.0,299,174.894993
3.0,270,183.327111
0.0,127,186.902965
2.0,202,192.611491
1.0,173,197.67089
0.0,127,201.147371
1.0,155,205.888149
0.0,125,209.198376
1.0,178,214.500841
0.0,127,218.165742
0.0,129,222.029356
5.0,352,232.265819
0.0,129,235.864166
0.0,129,239.45298
2.0,220,245.872962
8.0,372,257.36964
0.0,127,261.191259
0.0,127,264.891793
0.0,129,268.59186
0.0,129,272.113564
0.0,129,275.834699
0.0,125,279.378609
0.0,125,282.757662
1.0,174,287.875361
2.0,224,294.728333
0.0,129,298.190984
5.0,350,308.389525
1.0,157,313.273378
6.0,380,324.610722
2.0,202,330.54202
0.0,127,334.445906
0.0,125,338.009733
3.0,248,345.279812
0.0,125,348.53527
4.0,280,356.989329
2.0,200,362.637608
2.0,198,368.187218
0.0,129,371.704891
2.0,202,377.348501
0.0,125,380.748704
5.0,350,390.758854
2.0,202,396.540461
0.0,127,400.354962
9.0,396,412.537094
9.0,382,424.19283
0.0,129,427.855224
0.0,125,431.303523
6.0,378,442.442721
3.0,248,449.624404
0.0,123,453.122826
5.0,350,463.588083
4.0,299,472.211496
5.0,350,482.423753
2.0,202,488.000765
0.0,127,491.468452
0.0,129,495.045296
4.0,297,503.364129
0.0,127,506.934372
10.0,453,519.393498
2.0,221,525.09892
1.0,176,529.982177
14.0,527,546.695985
0.0,129,550.175434
3.0,268,558.540883
0.0,127,562.179273
1.0,155,566.832335
1.0,173,572.571761
0.0,127,576.306238
1.0,171,581.758969
0.0,129,585.650291
1.0,175,591.221942
1.0,173,596.939572
1.0,176,602.2957
0.0,129,606.319272
3.0,249,614.693397
0.0,127,618.44127
2.0,202,625.033035
0.0,129,629.160999
0.0,127,633.346693
0.0,129,637.176306
1.0,157,642.156684
3.0,250,649.897686
8.0,480,666.960461
0.0,127,670.998168
3.0,248,679.236545
0.0,129,683.277894
6.0,398,697.091396
1.0,157,702.201119
2.0,198,708.56047
1.0,175,713.991902
2.0,198,720.920186
0.0,129,725.215173
1.0,153,730.337504
0.0,129,734.707814
4.0,297,745.041385
0.0,129,748.978113
3.0,229,757.017182
1.0,170,763.024809
3.0,237,770.664852
2.0,198,777.332078
0.0,127,781.633466
3.0,248,790.295752
3.0,248,798.965427
0.0,125,803.036016
2.0,207,810.308803
0.0,127,814.477458
0.0,129,818.806412
6.0,396,832.664922
1.0,175,838.732953
0.0,127,843.136133
3.0,248,852.57285
0.0,127,856.648128
3.0,248,865.111633
3.0,250,873.575152
1.0,173,879.21688
3.0,246,887.917147
1.0,157,893.319156
0.0,125,897.224458
0.0,127,901.32693
0.0,125,904.98499
0.0,127,909.301577
2.0,220,917.438098
0.0,129,921.759181
5.0,368,935.075422
5.0,306,946.090041
3.0,235,954.541141
3.0,250,963.456995
2.0,224,971.355485
6.0,379,984.584974
1.0,157,989.8757
0.0,127,993.770784
8.0,372,1007.143332
3.0,227,1015.395958
9.0,422,1030.703259
1.0,170,1036.797757
5.0,346,1048.713436
2.0,183,1055.266222
0.0,129,1059.514285
3.0,231,1068.260898
4.0,275,1076.519757
0.0,129,1080.203702
7.0,418,1093.091407
6.0,344,1103.522303
5.0,372,1115.126428
