fps,value_loss,explained_variance,policy_entropy,policy_loss,P09:episode_rewards,grad_norm,PMM:episode_rewards,epoch_idx,advantage_norm,episode_length,P01:episode_rewards,frames
493,0.005517482646973803,0.9429328417778016,1.3628914082050323,-0.00043540623926674015,8.0,0.18852652961831107,2.59,32,0.8418059995770455,224.67,0.0,256000
493,0.005122507305059116,0.9446860659122467,1.3536185014247895,-0.003308555605326546,6.0,0.22485653231248523,2.29,33,0.7695101903378964,213.46,0.0,264000
492,0.004583469287317712,0.9500131016969681,1.3395314168930055,-0.001233782842027722,6.0,0.18456357665795267,1.97,34,0.7432531993091106,200.77,0.0,272000
491,0.00549132622894831,0.9451745092868805,1.3624245715141297,-0.001664522179053165,5.1000000000000085,0.20210481752544268,1.97,35,0.8041397869586945,205.0,0.0,280000
490,0.0064941988786449655,0.9214039313793182,1.3682108676433564,-0.0002098756772466004,6.0,0.2144054652355521,2.15,36,0.8988170564174652,210.46,0.0,288000
489,0.005896861653018277,0.939661875963211,1.3442162048816682,-0.0016173359990352765,6.0,0.21650604608754506,2.35,37,0.8574585369229317,218.78,0.0,296000
488,0.003976893227081746,0.9542578434944153,1.3678519904613495,-0.0011024609315791168,8.100000000000009,0.15654413744382634,2.43,38,0.7124352963268756,217.36,0.0,304000
487,0.0053725124150514605,0.9466574913263321,1.3617297828197479,-0.0009524666273500771,8.100000000000009,0.20426927890052135,2.47,39,0.8415300023555755,221.27,0.0,312000
486,0.0044930947877583095,0.9589235335588455,1.3667114996910095,-0.0010328070682953693,9.0,0.17577985717276828,2.6,40,0.7462571798264981,224.31,0.0,320000
485,0.005844937128713355,0.930465829372406,1.3734614884853362,0.00037553791684331373,6.0,0.20082226583650126,2.13,41,0.8658254423737526,207.25,0.0,328000
484,0.007241556369117461,0.9285274058580398,1.366011242866516,-0.001354124629215221,6.0,0.23433813500247433,2.31,42,0.940854792892933,214.41,0.0,336000
482,0.004346967830642825,0.9621527957916259,1.3582988631725312,-0.001895580205018632,5.0,0.1770817226603104,2.02,43,0.7306142181158066,205.37,0.0,344000
481,0.00431719098938629,0.9542950427532196,1.3629954218864442,0.0007948245602165116,5.0,0.17524430293007406,2.05,44,0.7367657540738582,206.86,0.0,352000
480,0.004959731628769077,0.9407073092460633,1.3444837820529938,-0.002469645572200534,9.0,0.19414488548629508,2.64,45,0.7586260382831097,224.91,0.0,360000
479,0.004764979566389229,0.948763421177864,1.3594583249092103,-0.0002817693876568228,6.0,0.18479486129636277,2.26,46,0.7619627955555915,211.54,0.0,368000
478,0.0051384639301977585,0.9468346863985062,1.3664505553245545,-0.0009493359264160972,5.0,0.1891112484331167,1.71,47,0.8220377796888352,195.42,0.0,376000
477,0.004678954243427142,0.956931739449501,1.3416365575790405,-0.0010640063766913955,5.0,0.18511545710025548,1.96,48,0.7776483878493309,207.84,0.0,384000
475,0.004470936266006902,0.9572372460365295,1.355286854505539,0.00035677702602697535,5.0,0.18024646822392143,2.09,49,0.7031896388530732,212.09,0.0,392000
475,0.008306232164613903,0.9099792683124542,1.3527164793014526,-0.004256873440608615,6.0,0.28224352425456833,2.32,50,1.0216125419735909,219.48,0.0,400000
474,0.006418563036713749,0.9364499568939209,1.3439530885219575,-0.0004581675183726475,4.1000000000000085,0.23613227529749387,2.16,51,0.9231108620762825,209.99,0.0,408000
473,0.006057654382311739,0.9398910707235336,1.342197870016098,-0.0013769424657220951,6.0,0.2119068709855453,2.36,52,0.8922888746857643,214.48,0.0,416000
472,0.0079736750444863,0.9174189227819443,1.3570938682556153,-7.100386661477386e-05,6.0,0.26581996161236715,2.33,53,1.0206210580468178,211.45,0.0,424000
471,0.01148078429629095,0.8380154782533645,1.3581471121311188,-0.0006718807725701481,6.0,0.3109067311384543,2.45,54,1.2798021271824838,216.77,0.0,432000
470,0.012821332338498906,0.868995971083641,1.35420112490654,-0.0027434831167920492,5.0,0.34345836833905957,2.27,55,1.3295314002037049,211.92,0.0,440000
469,0.010180912132491358,0.8869878268241882,1.3372336089611054,-0.004314232748001814,5.0,0.28494551320114525,2.44,56,1.170020278096199,220.09,0.0,448000
469,0.009753114416962489,0.8941684556007385,1.3270107853412627,-0.0009635897579573793,5.0,0.27532426005818156,2.65,57,1.1814144629240035,229.56,0.0,456000
468,0.007935266841668636,0.9070183807611465,1.343141895532608,-0.0007214282926906889,6.0,0.250659563957174,2.88,58,1.0665437570214271,239.14,0.0,464000
467,0.009109331085928716,0.9096365994215012,1.345185878276825,-0.0002760244335513562,6.0,0.25827816313838226,2.88,59,1.1087876152992249,237.22,0.0,472000
466,0.011131101314676926,0.8359029805660247,1.326706770658493,-0.004791788502479903,5.0,0.2815603382680937,2.64,60,1.2368559378385544,229.12,0.0,480000
466,0.014496693426626734,0.8510720884799957,1.3255186331272126,-0.006267859067156678,5.0,0.3825316016955657,2.51,61,1.3769937962293626,222.37,0.0,488000
467,0.010705432285321876,0.9065092641115189,1.3238364458084106,-0.002126821895362809,5.1000000000000085,0.3041366578544916,2.69,62,1.2225799083709716,225.95,0.0,496000
467,0.0154562978586182,0.8192097443342209,1.3233237838745118,-0.002074282529356424,6.0,0.39220428493808,2.76,63,1.3833259153366089,228.01,0.0,504000
