#{"t_start": 1544596947.982482, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,157,39.39353
1.0,173,43.987827
0.0,127,47.607131
1.0,177,71.456584
3.0,252,79.014479
4.0,320,88.744285
3.0,269,96.667991
3.0,232,103.682269
0.0,129,107.290792
1.0,175,112.322572
2.0,201,118.328483
1.0,178,123.560437
0.0,127,127.186
2.0,206,133.405005
2.0,218,139.784815
1.0,173,144.667645
1.0,178,149.803235
7.0,405,162.554396
1.0,155,167.051185
3.0,271,174.875706
0.0,125,178.503105
2.0,204,184.771683
2.0,224,191.178865
2.0,200,197.081901
2.0,198,202.89368
3.0,252,210.504428
0.0,127,214.10236
0.0,127,217.758897
8.0,374,229.156867
0.0,123,232.357552
0.0,129,235.914567
0.0,129,239.491474
0.0,129,243.154215
0.0,129,246.816908
0.0,127,250.413392
4.0,297,259.636009
2.0,224,266.55145
0.0,129,269.974283
0.0,127,273.576001
2.0,200,279.539951
0.0,127,283.015626
4.0,297,292.088376
2.0,202,298.011199
4.0,297,306.621522
0.0,129,310.344595
0.0,127,313.964813
9.0,404,326.340776
0.0,129,329.811164
0.0,125,333.646656
9.0,380,345.173643
5.0,350,355.611334
0.0,127,359.029231
0.0,129,362.57759
0.0,127,365.982913
6.0,399,377.600943
2.0,202,383.159605
0.0,125,386.799379
4.0,278,394.452639
0.0,127,398.318522
5.0,329,408.165118
0.0,129,412.091027
0.0,129,416.04786
0.0,129,419.671319
0.0,129,422.978262
0.0,127,426.5599
6.0,381,437.91039
3.0,230,444.338599
0.0,127,447.9105
0.0,127,451.599741
3.0,268,459.492364
9.0,404,471.43359
0.0,127,474.854749
0.0,127,478.455428
3.0,248,485.267991
0.0,129,488.592546
0.0,129,492.197891
0.0,125,495.729468
0.0,129,498.961515
0.0,125,502.261729
0.0,127,505.861558
0.0,127,509.303427
0.0,127,512.821087
1.0,155,516.882724
0.0,127,519.625483
5.0,350,529.141239
6.0,397,541.777519
0.0,129,545.42364
2.0,202,551.156703
0.0,125,554.800138
0.0,125,558.61334
5.0,350,569.918259
2.0,202,576.259235
5.0,350,587.574944
0.0,129,591.879625
0.0,129,596.135677
2.0,200,602.20976
2.0,202,608.971633
6.0,396,622.264721
1.0,157,627.129655
10.0,452,642.600158
4.0,318,652.858755
0.0,129,656.922522
0.0,129,661.08057
4.0,297,671.390855
2.0,202,678.153922
11.0,484,695.021311
0.0,125,698.819385
0.0,129,702.835365
2.0,225,710.15937
8.0,375,723.464128
0.0,129,727.567436
0.0,129,731.815903
4.0,297,742.126728
0.0,127,746.367676
0.0,127,750.319925
0.0,129,754.722036
9.0,404,768.736104
0.0,129,772.810142
3.0,228,780.89707
2.0,202,787.748799
0.0,125,791.857838
5.0,350,804.522491
0.0,127,808.930984
2.0,202,815.564555
6.0,399,829.644354
6.0,399,844.453583
0.0,127,849.098656
2.0,200,856.006635
2.0,200,862.780138
1.0,157,867.619144
1.0,176,873.692004
4.0,319,884.846982
4.0,297,895.299031
1.0,172,901.014858
1.0,157,905.865876
0.0,125,910.068014
3.0,268,920.065184
5.0,352,932.835662
4.0,301,943.629982
1.0,175,949.664435
0.0,129,954.130046
2.0,202,961.323857
3.0,230,969.318841
1.0,157,974.822742
4.0,299,984.810139
0.0,129,989.180818
0.0,129,993.118804
1.0,176,999.075143
5.0,352,1011.962607
0.0,129,1016.325747
4.0,297,1027.265709
6.0,400,1041.617495
5.0,352,1054.202314
3.0,232,1062.478815
5.0,352,1074.156717
1.0,155,1078.785627
9.0,400,1091.143732
6.0,309,1100.494488
7.0,410,1113.351599
4.0,267,1121.203977
9.0,404,1133.513418
0.0,129,1137.103062
5.0,350,1147.861483
1.0,157,1152.147858
2.0,188,1157.778186
0.0,129,1161.368887
2.0,190,1166.98937
0.0,127,1170.60454
1.0,172,1175.947628
1.0,155,1180.463799
1.0,154,1184.871987
10.0,454,1198.747574
0.0,127,1202.245782
0.0,129,1205.915926
0.0,129,1209.696188
2.0,202,1215.517767
6.0,381,1226.89761
0.0,129,1230.446191
10.0,432,1243.096387
5.0,350,1253.387086
1.0,157,1257.993101
0.0,129,1261.375582
13.0,551,1277.768353
1.0,155,1282.208979
1.0,177,1287.432927
3.0,218,1293.916197
5.0,350,1304.48006
0.0,127,1307.838033
0.0,129,1311.511036
4.0,246,1318.905694
14.0,462,1333.284883
4.0,283,1341.495655
4.0,275,1349.575071
0.0,129,1353.135139
3.0,232,1360.259198
6.0,361,1370.883876
2.0,227,1377.669116
0.0,129,1381.555367
4.0,277,1390.012993
0.0,129,1393.521343
13.0,582,1411.08309
4.0,263,1418.679907
3.0,236,1425.419387
3.0,233,1432.203925
1.0,155,1436.715019
2.0,225,1442.993921
3.0,230,1450.299923
1.0,155,1454.456255
6.0,361,1465.759928
7.0,368,1477.001007
7.0,366,1487.644203
4.0,266,1495.648863
7.0,248,1503.024034
12.0,510,1518.42713
10.0,450,1532.406345
3.0,231,1539.44047
6.0,342,1549.600694
1.0,155,1553.767022
4.0,245,1561.125362
9.0,494,1576.031811
13.0,514,1591.702344
1.0,171,1596.623281
11.0,554,1613.641325
4.0,301,1622.613594
3.0,254,1630.209908
14.0,402,1642.460025
7.0,371,1653.590873
2.0,225,1660.366991
8.0,431,1674.252294
4.0,247,1681.907944
10.0,427,1694.846123
10.0,435,1707.701682
5.0,287,1716.503114
4.0,300,1725.467281
9.0,401,1737.575675
8.0,331,1747.552531
5.0,291,1756.271931
1.0,178,1761.284058
4.0,262,1768.856916
5.0,366,1779.840517
8.0,472,1793.982501
11.0,482,1808.644936
9.0,452,1822.370785
4.0,282,1830.884372
2.0,209,1837.016925
4.0,263,1844.729908
4.0,279,1853.178858
7.0,450,1866.740164
7.0,422,1879.406767
11.0,412,1891.245839
9.0,508,1906.952152
4.0,246,1914.284196
14.0,537,1930.460072
7.0,405,1942.560956
10.0,519,1958.609609
14.0,500,1974.107934
12.0,443,1987.62197
8.0,464,2001.715314
7.0,248,2009.011355
7.0,418,2021.565064
7.0,380,2033.040713
5.0,295,2042.057636
9.0,524,2057.41169
6.0,344,2067.626493
7.0,399,2079.404773
12.0,302,2088.613979
5.0,312,2097.522947
8.0,465,2111.44964
11.0,400,2123.64483
7.0,384,2135.213847
9.0,471,2149.983969
11.0,513,2165.113661
19.0,615,2183.589654
17.0,650,2203.252126
12.0,400,2215.016327
7.0,392,2226.194972
10.0,474,2240.298062
1.0,177,2245.491618
14.0,419,2257.919262
15.0,528,2275.005666
8.0,526,2291.159551
9.0,461,2304.862692
16.0,624,2324.073307
9.0,310,2333.301559
23.0,686,2354.260354
10.0,515,2369.71889
11.0,539,2385.358793
4.0,247,2392.670926
3.0,249,2400.037836
8.0,446,2413.401791
9.0,546,2429.885348
15.0,423,2442.591365
10.0,363,2452.891056
15.0,397,2464.543169
7.0,375,2475.866595
18.0,666,2496.067379
8.0,420,2508.633813
10.0,524,2524.411878
7.0,453,2537.745908
19.0,800,2562.034267
15.0,399,2574.539823
8.0,414,2586.903098
3.0,253,2594.051626
26.0,658,2614.06705
9.0,493,2629.044343
20.0,454,2643.025178
35.0,1018,2674.256047
14.0,618,2692.629326
31.0,798,2716.516238
28.0,845,2742.011985
18.0,686,2763.134393
20.0,686,2783.218965
22.0,835,2808.659029
8.0,457,2821.899794
26.0,666,2842.189012
30.0,748,2865.614479
35.0,1166,2900.888516
19.0,534,2916.636659
13.0,589,2934.317389
17.0,675,2954.530984
14.0,582,2972.54907
19.0,637,2991.967865
13.0,570,3009.516462
15.0,592,3027.606878
19.0,540,3044.220869
19.0,613,3062.455451
21.0,822,3087.909549
25.0,846,3113.712476
9.0,496,3129.40781
24.0,827,3155.264917
19.0,559,3172.244494
26.0,740,3194.847237
22.0,751,3218.329362
18.0,505,3233.603225
21.0,864,3259.868577
12.0,581,3276.904149
22.0,656,3296.658869
21.0,716,3318.56778
29.0,761,3341.792024
18.0,666,3361.718713
21.0,789,3385.167325
22.0,829,3410.154716
14.0,651,3430.146297
23.0,850,3455.663721
24.0,580,3473.593074
18.0,564,3489.998142
9.0,441,3502.991353
21.0,637,3522.217634
35.0,905,3549.584183
17.0,730,3571.981664
37.0,994,3600.740308
9.0,482,3615.117603
44.0,1006,3645.655002
22.0,519,3660.736798
18.0,718,3681.876798
22.0,798,3705.90658
46.0,1145,3740.982682
22.0,772,3764.649057
27.0,731,3787.42019
23.0,785,3811.193867
50.0,1151,3846.219084
34.0,775,3869.873661
48.0,927,3897.504011
14.0,608,3916.327531
41.0,1043,3948.60733
20.0,730,3970.85428
27.0,939,3999.13274
57.0,1176,4035.31522
26.0,583,4052.626946
54.0,1146,4087.707542
36.0,989,4117.566909
28.0,851,4143.094611
26.0,743,4165.460693
13.0,435,4178.725708
33.0,961,4207.682065
29.0,657,4227.730847
29.0,849,4253.292629
0.0,125,4256.766889
20.0,721,4278.129722
33.0,957,4307.097391
54.0,1334,4347.520116
20.0,804,4372.245306
55.0,1120,4406.348653
28.0,738,4428.323108
64.0,1525,4474.201977
31.0,501,4489.202188
53.0,1262,4527.107896
30.0,673,4547.205205
53.0,976,4577.051981
205.0,994,4606.773392
45.0,1044,4638.700835
52.0,1259,4678.410964
58.0,1117,4711.738021
27.0,631,4730.601508
51.0,1033,4761.048262
27.0,601,4778.910436
36.0,680,4799.483745
36.0,1010,4830.543837
0.0,129,4834.306248
6.0,317,4843.921122
43.0,1131,4878.439197
57.0,1229,4915.082486
52.0,1113,4948.769009
30.0,985,4978.082377
41.0,1119,5012.148144
20.0,754,5035.199584
36.0,710,5056.219734
45.0,1100,5089.472363
53.0,1348,5130.26409
38.0,998,5161.211701
51.0,1398,5203.700884
59.0,1244,5241.443665
53.0,1303,5280.581146
54.0,1256,5319.170393
46.0,872,5345.795705
35.0,1142,5380.888756
74.0,1440,5424.758314
34.0,820,5449.119615
63.0,1075,5481.267584
50.0,1097,5514.523472
53.0,1011,5544.796575
45.0,985,5574.343574
69.0,1570,5621.714657
65.0,1332,5661.772933
42.0,1191,5697.60107
44.0,876,5723.828241
74.0,1446,5766.998122
59.0,1225,5803.778549
59.0,1247,5841.29382
64.0,1167,5876.963792
24.0,703,5897.999328
2.0,201,5903.695061
4.0,258,5911.366336
49.0,1101,5944.448813
69.0,1312,5983.817303
56.0,856,6009.613863
76.0,1383,6051.379129
46.0,879,6077.460977
57.0,1364,6118.628865
82.0,1406,6160.670842
51.0,1188,6196.501318
79.0,1515,6242.121335
52.0,1309,6282.375587
247.0,1337,6322.4651
63.0,1224,6359.632916
3.0,266,6368.078413
1.0,173,6373.108558
0.0,127,6376.733791
1.0,176,6381.685912
0.0,129,6385.42564
0.0,129,6389.065236
5.0,329,6399.493556
0.0,129,6403.271004
9.0,404,6416.064899
0.0,129,6419.704848
0.0,129,6423.421727
3.0,248,6431.002659
4.0,281,6439.261591
1.0,178,6444.627239
0.0,129,6448.358177
33.0,984,6479.34981
28.0,898,6505.99005
64.0,1060,6537.098973
56.0,1527,6583.438072
67.0,1514,6628.832872
48.0,1165,6663.466493
73.0,1353,6704.788269
36.0,900,6731.496834
45.0,1229,6768.71563
21.0,824,6792.986687
7.0,467,6806.896048
32.0,794,6830.785397
70.0,1093,6863.661939
41.0,1094,6895.877091
74.0,1333,6935.554943
34.0,847,6961.189707
62.0,1263,6998.516391
83.0,1168,7033.658312
61.0,1247,7072.399132
52.0,977,7101.79308
54.0,730,7123.262845
74.0,1347,7163.701303
72.0,1340,7203.101152
336.0,1779,7256.558603
121.0,2002,7317.08293
278.0,1856,7373.954309
94.0,1485,7419.579882
72.0,952,7447.372485
34.0,1049,7478.182628
78.0,1454,7521.643194
75.0,1573,7568.391728
77.0,1410,7611.171754
77.0,1472,7654.869318
157.0,1644,7704.682696
114.0,1523,7750.889136
70.0,1342,7790.824672
48.0,951,7819.118443
92.0,1600,7868.042523
89.0,1336,7907.692784
180.0,1721,7959.956789
80.0,1543,8006.517981
102.0,1367,8046.76938
67.0,1086,8080.267946
96.0,1056,8111.614933
135.0,1579,8159.781668
125.0,1532,8206.339669
165.0,1693,8257.206705
46.0,1073,8290.024544
114.0,1665,8340.047275
226.0,1696,8391.618963
64.0,1177,8426.578447
310.0,1720,8478.399847
60.0,802,8502.585935
243.0,1250,8539.222308
162.0,1749,8591.247546
42.0,998,8621.458532
74.0,1139,8655.304077
259.0,1648,8704.353686
77.0,1226,8741.563138
67.0,1270,8779.394011
127.0,1527,8824.626283
97.0,1273,8863.674071
56.0,1213,8901.414111
83.0,1347,8941.872243
51.0,856,8967.589315
128.0,1470,9012.376613
58.0,1116,9045.159971
135.0,1701,9096.773184
239.0,1593,9143.676618
72.0,1309,9182.31364
266.0,1801,9235.937188
92.0,1298,9274.480738
89.0,1114,9306.607436
83.0,1023,9336.742371
233.0,1903,9393.973873
55.0,1199,9429.100958
52.0,855,9455.23689
52.0,1043,9486.705326
0.0,125,9490.120845
10.0,465,9504.167021
92.0,1283,9542.951794
194.0,1770,9596.654971
192.0,1851,9652.319716
332.0,1626,9700.885992
106.0,1351,9742.160071
7.0,363,9753.180065
79.0,1285,9791.586834
183.0,1840,9847.468471
81.0,1348,9887.950204
115.0,1064,9920.100591
249.0,1671,9968.574498
159.0,1759,10021.383868
173.0,1436,10065.325455
302.0,1620,10113.661157
33.0,838,10139.456842
192.0,1843,10195.079524
69.0,1157,10230.21535
143.0,1405,10272.951899
277.0,1782,10325.703899
234.0,1647,10375.259854
194.0,1786,10427.812812
132.0,1638,10475.875523
119.0,1526,10521.117878
72.0,1449,10564.432888
420.0,2264,10630.991138
72.0,1128,10666.782725
115.0,1678,10716.420211
103.0,1195,10752.34848
117.0,1285,10790.306873
320.0,1848,10845.102729
240.0,1818,10899.603907
209.0,1103,10932.103595
62.0,1243,10969.842538
173.0,1515,11014.248397
13.0,454,11028.085308
5.0,314,11037.833161
271.0,1685,11088.91298
300.0,1632,11137.258883
235.0,1736,11188.578569
275.0,1671,11238.4771
369.0,1846,11294.043746
64.0,923,11321.325184
194.0,1907,11379.323318
184.0,1244,11416.540546
264.0,1604,11464.051533
218.0,1887,11519.06876
33.0,674,11539.447142
293.0,1429,11582.535541
132.0,1431,11625.114424
73.0,1336,11665.50455
3.0,217,11671.940336
4.0,243,11679.10349
173.0,1531,11724.717396
325.0,1716,11775.722616
380.0,2055,11836.841568
114.0,1573,11884.754683
375.0,2082,11945.970455
85.0,1462,11989.410884
