P09:episode_rewards,value_loss,fps,grad_norm,frames,policy_loss,policy_entropy,episode_length,PMM:episode_rewards,P01:episode_rewards,epoch_idx,advantage_norm,explained_variance
3.0,0.07294321621764538,354,2.546629324194344,8000,-0.01696209165500477,1.3240786761045455,172.97560975609755,1.1219512195121952,0.0,1,2.1186384457349776,-2.223898722529411
3.0,0.011487847228536338,174,0.22989594836647484,16000,-0.0004150171356741339,1.366724945306778,176.68539325842696,1.247191011235955,0.0,2,1.0678968340158463,0.03419719755649567
3.0,0.0145197579712476,208,0.23162536709841217,24000,0.0038290157877781893,1.361898763179779,176.57,1.28,0.0,3,1.2042798675224184,-0.011419283747673035
3.0,0.012353200471352466,232,0.20974442768799023,32000,0.0005176999018294737,1.36016468167305,177.23,1.33,0.0,4,1.1457274617627262,-0.0052806615829467775
3.0,0.016089784320538456,248,0.20493731700912898,40000,0.000790236200846266,1.3692170834541322,185.57,1.54,0.0,5,1.3823548018932343,-0.007905029058456421
4.0,0.01143879622395616,262,0.20141871100561037,48000,0.001518565243932244,1.3776439380645753,188.36,1.58,0.0,6,1.0874238437786699,-0.03326937317848205
4.0,0.014370800691085605,272,0.23934054039228964,56000,0.005773512244122685,1.3769329798221588,180.3,1.33,0.0,7,1.2088228128477931,-0.019513818621635436
4.0,0.016642986758633925,281,0.2645799064668963,64000,0.004665073592477711,1.3676254844665527,181.97,1.36,0.0,8,1.3740000240504742,0.026660540699958803
4.1000000000000085,0.01840985055670899,288,0.3192360331465054,72000,-0.0020235370306181722,1.3687029659748078,198.44,1.86,0.0,9,1.5074181024730207,0.06324664413928986
4.0,0.01384516097856249,294,0.2535467433479059,80000,0.00258077286882326,1.3676774930953979,196.62,1.83,0.0,10,1.2255633756518365,0.20948423743247985
6.0,0.016661542530055157,300,0.38120539841892936,88000,0.0007087684906127834,1.3534023582935333,200.32,1.95,0.0,11,1.4963755473494529,0.4581898409128189
4.1000000000000085,0.020801802643982226,303,0.5307380324935519,96000,-0.0029002741802833043,1.3669097208976746,198.36,1.82,0.0,12,1.266919024437666,0.49261198937892914
4.0,0.0157017776358407,307,0.42755129391405694,104000,-0.004175715619930997,1.3567189812660216,190.26,1.55,0.0,13,1.447533044219017,0.6756725001335144
