advantage_norm,P09:episode_rewards,PMM:episode_rewards,P01:episode_rewards,explained_variance,fps,frames,grad_norm,value_loss,epoch_idx,policy_entropy,episode_length,policy_loss
1.8677863688766956,2.0,0.9487179487179487,0.0,-0.5783897733688355,321,8000,2.4729676763758537,0.0866319303155251,1,1.349227647781372,165.23076923076923,0.008967796989454655
1.0419219581782817,3.1000000000000085,1.4111111111111112,0.0,-0.004209536910057068,200,16000,0.23545575241254169,0.011436959525890416,2,1.3746542620658875,179.4,0.0012650444140308538
1.1509408547729254,4.0,1.52,0.0,-0.013448296785354615,218,24000,0.20889259847916036,0.012702172845965833,3,1.365881222486496,185.77,0.0013222307119576727
1.165271349735558,3.0,1.2,0.0,-0.013781610131263732,232,32000,0.20747643706298413,0.012829166999272274,4,1.372364023923874,176.14,0.0034652414303218393
1.168545759767294,2.0,1.12,0.0,0.000810667872428894,242,40000,0.23098688101807613,0.01219574185073725,5,1.3622954773902893,171.38,-0.003458635819151823
1.2566351808607579,2.0,1.2,0.0,0.03629322230815887,249,48000,0.26095607708574464,0.013860426744795405,6,1.3540078008174896,170.28,-0.0006556040028954157
1.2293597109615804,3.0,1.2,0.0,-0.02781602144241333,255,56000,0.35813996434317447,0.014041737979277968,7,1.3646917414665223,170.93,-0.00027503841614816337
1.27508885756135,3.1000000000000085,1.17,0.0,0.21917284309864044,258,64000,0.3890203559619613,0.014809732380817876,8,1.3488979923725128,173.66,-0.00377803738869261
1.460725875198841,4.0,1.4,0.0,0.40675025641918183,260,72000,0.6122462036647589,0.02157810361823067,9,1.3678978419303893,181.37,-0.004222911387478235
1.5070922334492207,4.0,1.46,0.0,0.43834700882434846,263,80000,0.6603395279016214,0.021444444995722733,10,1.330504117012024,184.62,-0.006450465879388503
1.1708510944247246,4.0,1.4,0.0,0.41518462598323824,265,88000,0.3948335089172883,0.011582177984673763,11,1.3722386717796327,184.76,-0.0022596473520388825
1.1325925427675247,3.0,1.15,0.0,0.45339719414711,266,96000,0.36480519260587935,0.010144442514865659,12,1.3729240143299102,172.8,0.00020650246064178644
1.0712523867189885,3.0,1.06,0.0,0.6142960566282273,267,104000,0.31589506680711826,0.0089746755672968,13,1.3600629842281342,166.44,-0.0007358132035005838
1.1805037686228752,2.0,0.9,0.0,0.4401961958408356,268,112000,0.4279417993936044,0.010603966886119452,14,1.370318021774292,160.29,-0.0024799087340943516
1.1191918021440506,2.0,0.9,0.0,0.7052101933956146,270,120000,0.3641278114946722,0.009489754273090512,15,1.3732113862037658,163.03,-0.0016262849542545154
1.4532595348358155,4.0,1.4,0.0,0.7522409290075303,271,128000,0.495580493254168,0.014555339061189443,16,1.3656719291210175,186.37,-0.0037908840664022136
1.3689535787701608,5.0,1.59,0.0,0.8208915597200394,271,136000,0.470488159494819,0.013007326441584154,17,1.3658816993236542,192.54,-0.00667007066309452
1.2156049862504006,6.0,2.08,0.0,0.8522683674097061,272,144000,0.38917017424965833,0.010561010121600703,18,1.3381575107574464,208.48,-0.0038895854086149484
1.0867569082975388,6.0,2.25,0.0,0.8849946415424347,272,152000,0.3443954777345747,0.008446886566234752,19,1.3352801346778869,215.45,-0.003652164827071829
0.8926523077487946,6.0,2.1,0.0,0.9231189507246017,273,160000,0.25880885006419396,0.005682434330228716,20,1.318791286945343,208.95,-0.001267249128432013
0.9668603304028511,6.1000000000000085,2.15,0.0,0.9297789829969406,274,168000,0.2844317220413515,0.006418676836183294,21,1.3259847688674926,210.65,-0.0001876993110636249
0.9430229109525681,7.0,2.43,0.0,0.9253041428327561,275,176000,0.34582294326388435,0.007387693792115897,22,1.310158965587616,220.39,0.0003214986022794619
0.8623821729421616,5.1000000000000085,2.21,0.0,0.9239623069763183,275,184000,0.28731535438264505,0.005837411375250667,23,1.3246826994419099,212.38,-0.0032154789266860464
0.8154694756865501,5.0,1.71,0.0,0.922077311873436,275,192000,0.23453287047041338,0.004855216389987618,24,1.339756259918213,194.24,-0.000655501724104397
0.7875137206912041,5.1000000000000085,1.97,0.0,0.9540258127450943,276,200000,0.23119251525263432,0.004571099122986197,25,1.3136980795860291,201.61,-0.00202972855855478
0.8425648644566536,8.100000000000009,2.58,0.0,0.9559084957838059,277,208000,0.24887245563654986,0.005389142204076052,26,1.3223441958427429,224.1,0.00020871204556897283
0.7741752496361732,5.1000000000000085,2.31,0.0,0.9568533593416214,277,216000,0.21228433468030355,0.004716436195303686,27,1.3373954260349274,214.61,-0.0006954285653773695
0.8029809156060219,6.0,2.03,0.0,0.9345229411125183,278,224000,0.22306796832989817,0.005209486152161844,28,1.3350756907463073,203.44,0.00027722806567908264
0.7785638472437859,7.0,2.28,0.0,0.9487167048454285,278,232000,0.2226816528269514,0.0046217149164294825,29,1.329166337251663,211.49,-0.0008103826674778248
0.6315517814457416,6.0,1.87,0.0,0.9657031637430191,278,240000,0.17429556313506564,0.0031782999166171068,30,1.3504276585578918,197.25,-5.354239881853573e-05
0.7756160941720008,6.300000000000026,1.96,0.0,0.9597857135534287,279,248000,0.22814690844616223,0.004594063828990329,31,1.3370471167564393,199.59,-0.001597402677653008
0.8567605203390122,6.200000000000017,1.95,0.0,0.9228077059984208,280,256000,0.21822414967772136,0.0055852638091892,32,1.3573700881004334,199.32,-0.0006499560931115411
0.7056886374950408,8.100000000000009,2.18,0.0,0.9560143607854843,281,264000,0.20264368972626023,0.003979543084278702,33,1.3561795341968537,207.81,-0.00043436763575300575
