#{"t_start": 1544715598.228723, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,153,43.439743
0.0,129,46.611239
0.0,127,49.002765
0.0,127,51.556637
0.0,129,72.098846
0.0,129,73.927382
3.0,270,79.049519
0.0,125,81.506911
0.0,127,83.326923
4.0,321,90.105669
0.0,127,92.346269
0.0,129,94.503514
4.0,280,100.647742
0.0,127,104.211161
0.0,129,106.465271
0.0,129,108.53741
3.0,270,113.614524
2.0,221,117.205444
0.0,127,119.664814
0.0,129,122.116508
3.0,268,127.054809
0.0,125,129.249591
1.0,155,131.68382
0.0,127,133.988192
2.0,204,137.847168
1.0,178,141.039734
2.0,219,144.866657
1.0,155,147.381809
1.0,155,150.686554
1.0,174,153.400022
2.0,223,157.2703
2.0,202,161.287754
0.0,127,163.436969
1.0,175,166.193886
2.0,200,169.717149
0.0,129,171.719661
2.0,219,175.153707
3.0,252,179.574258
3.0,234,182.970804
2.0,184,185.980507
0.0,123,188.030828
0.0,127,189.821601
0.0,125,191.722806
1.0,173,194.792155
0.0,129,197.066121
2.0,219,200.608408
3.0,218,204.149167
0.0,127,206.307441
