value_loss,P09:episode_rewards,frames,policy_loss,policy_entropy,fps,episode_length,grad_norm,advantage_norm,epoch_idx,PMM:episode_rewards,P01:episode_rewards,explained_variance
1.515484637479849,3.0,8000,0.19471089735045097,1.3504440569877625,578,162.41860465116278,31.432638660762056,4.654016716219485,1,0.9069767441860465,0.0,-3.0367459905147554
0.005074941712803138,3.0,16000,0.0008908338949549943,1.3858546686172486,388,173.67741935483872,0.0618762546450658,0.6391672749258578,2,1.1397849462365592,0.0,-3.7585746693611144
0.004877954137048164,3.0,24000,-0.0001229492638958618,1.383768607378006,464,177.5,0.057552030486623905,0.6457937024347484,3,1.24,0.0,-1.7255612403154372
0.005895800104863156,4.0,32000,0.00024242895422503353,1.3796292197704316,512,174.36,0.060213596808932686,0.7273375219106675,4,1.16,0.0,-1.203448438644409
0.006509980769906178,4.0,40000,0.0007026768555806484,1.3802494597434998,546,186.36,0.09140960967868209,0.8075719391182065,5,1.47,0.0,-0.7764567387104034
0.0047645397758515175,4.1000000000000085,48000,5.562173577345675e-05,1.3830094575881957,577,185.49,0.05710352180096311,0.6672526159882546,6,1.5,0.0,-1.4163918268680573
0.004939177699989159,3.0,56000,-0.0003257372448570095,1.3834505033493043,604,177.63,0.06600999057718986,0.6474938430264592,7,1.27,0.0,-1.650502583384514
0.005482696116487205,3.0,64000,0.0007791802482097409,1.3831032276153565,623,177.52,0.0693650568189317,0.7340414058417082,8,1.32,0.0,-1.1071760189533233
0.005773754541851303,3.0,72000,0.00037009008519817144,1.3757609415054322,640,179.16,0.058893229801274254,0.7262886829301715,9,1.32,0.0,-1.0474684810638428
0.005034992467217308,3.0,80000,-0.00015239233674947173,1.3791231095790863,658,178.34,0.061558055394153904,0.6678148530051112,10,1.24,0.0,-1.9756183677911758
0.004977604968080414,3.0,88000,0.00019357526718522422,1.3839451777935028,671,174.69,0.05433898652288355,0.6310816167294979,11,1.19,0.0,-1.5738365638256073
0.005216321227972003,3.0,96000,0.00019063156127231196,1.3844367706775664,686,175.51,0.06328102069229223,0.6941836239397525,12,1.21,0.0,-1.2353452116250991
0.006949814305316977,3.0,104000,0.0009561412193033902,1.3836613202095032,699,183.11,0.090877964700632,0.8718723336234688,13,1.39,0.0,-0.6049885940551758
0.005175174025148408,4.0,112000,-0.0003177282155957073,1.3844712162017823,711,188.07,0.06620512294178173,0.7080010275356472,14,1.59,0.0,-0.9809074753522873
0.006018015153858869,4.0,120000,-0.0003713192659779452,1.3833814787864684,721,183.18,0.08682908134052764,0.7824822141602635,15,1.47,0.0,-0.7245998334884644
