#{"t_start": 1544715594.3611948, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,299,51.176359
0.0,129,53.477762
0.0,127,75.134601
0.0,129,76.388238
3.0,252,81.075264
2.0,223,85.316502
0.0,125,87.140459
0.0,125,89.348907
0.0,129,91.915799
1.0,173,95.429524
0.0,129,97.597074
0.0,129,100.061697
3.0,271,106.836666
4.0,323,113.076581
1.0,171,116.146976
1.0,158,118.844118
1.0,174,121.748824
1.0,178,125.255372
0.0,127,127.483866
0.0,125,129.630702
1.0,177,132.911214
0.0,129,134.78759
1.0,157,137.710847
5.0,331,144.072582
0.0,127,146.309895
0.0,127,148.359203
5.0,348,155.068348
3.0,232,159.021531
1.0,175,161.853942
2.0,203,166.025166
1.0,156,168.564704
1.0,173,171.365643
0.0,125,173.255195
1.0,155,175.926711
1.0,173,178.621321
0.0,127,180.784201
1.0,155,183.209276
3.0,248,186.892279
0.0,127,189.033135
1.0,157,191.6008
0.0,129,193.407625
1.0,175,196.143503
1.0,152,198.905952
2.0,203,202.505383
3.0,252,206.542593
3.0,250,210.719385
