policy_entropy,PMM:episode_rewards,episode_length,P09:episode_rewards,P01:episode_rewards,explained_variance,value_loss,fps,frames,epoch_idx,grad_norm,advantage_norm,policy_loss
1.354570682644844,1.1538461538461537,175.17948717948718,3.0,0.0,-9.997249674201012,1.545928364939482,555,8000,1,41.583250737404526,4.880322948396206,0.006825287295941962
1.3833824217319488,1.4268292682926829,185.0,3.0,0.0,-7.2554331690073015,0.006464986735695674,329,16000,2,0.12259501722713761,0.775882359854877,-0.0005305431675515138
1.3777700424194337,1.77,197.28,4.0,0.0,-3.9556768637895585,0.006403617608634704,374,24000,3,0.10552722112974823,0.8125693518482149,0.000565211400098633
1.375720933675766,1.76,198.8,4.0,0.0,-2.3889268887043,0.005963490547833317,397,32000,4,0.09827064782982325,0.7603106284886598,0.00013904660314437934
1.380935081243515,1.59,192.95,4.0,0.0,-2.2836101377010345,0.005953150704549444,413,40000,5,0.10655617351538353,0.7779223138466478,-0.0015700372101855465
1.3813627791404723,1.57,191.22,4.0,0.0,-2.0115946370363234,0.006003808353766544,423,48000,6,0.09050020682740763,0.7670558395795524,0.00039759134990163147
1.3851531851291656,1.58,190.15,4.0,0.0,-2.543138852119446,0.005777918115945795,426,56000,7,0.09919409957547395,0.7431237318739295,-0.0006037677190033719
1.3825112533569337,1.55,189.73,4.0,0.0,-2.8232086163759234,0.005475159464390344,428,64000,8,0.09689548130872509,0.7119889514893294,-0.0001423554104766822
1.3828508710861207,1.42,186.07,4.0,0.0,-2.841717281937599,0.0053138885180169385,430,72000,9,0.09131282026408508,0.7030994312465191,0.001234418794629164
1.383351482152939,1.25,177.33,3.1000000000000085,0.0,-1.8457640755176543,0.0053893154605884775,433,80000,10,0.12480180961888117,0.6920343497022986,0.000808282155339839
1.3817252624034881,1.25,175.46,3.0,0.0,-2.8559489786624908,0.005060272968257777,432,88000,11,0.09105224878060104,0.6830292810499669,8.804910765320529e-05
1.3846672642230988,1.22,175.64,3.0,0.0,-1.7466480398178101,0.005247479140070937,434,96000,12,0.12009870028997663,0.7368357567489148,-0.00021542997315009415
1.3827284395694732,1.27,179.63,3.0,0.0,-2.1831024384498594,0.005415348438455112,435,104000,13,0.1129424752391564,0.7163845400884747,0.0003739321625471348
