policy_entropy,episode_length,epoch_idx,value_loss,PMM:episode_rewards,fps,P09:episode_rewards,frames,advantage_norm,policy_loss,P01:episode_rewards,explained_variance,grad_norm
1.3209280148148537,165.6341463414634,1,0.11740989616228034,0.9512195121951219,346,2.0,8000,2.2272501251474024,0.0180022906519298,0.0,-2.864559150934219,3.923026329642119
1.372669324874878,174.3956043956044,2,0.01266469017260988,1.2747252747252746,171,4.0,16000,1.1434210811555385,0.0019411235747975298,0.0,-0.0015029537677764893,0.25808981044394275
1.3778504478931426,178.03,3,0.011266681271536072,1.35,205,4.0,24000,1.057672588042915,0.0011345805781297713,0.0,-0.021227377653121948,0.20324707195089975
1.3774989438056946,171.09,4,0.011100601173320684,1.09,230,3.0,32000,1.039389371611178,0.00011245370609685778,0.0,-0.031118949055671693,0.179308424636882
1.3796136808395385,172.96,5,0.013778834395543527,1.14,247,3.0,40000,1.238074291497469,0.0014992450637510047,0.0,-0.015420121550559997,0.22493195430188778
1.3793244028091431,173.9,6,0.011217019960085964,1.15,259,3.0,48000,1.0754115848615766,0.0008185601979494094,0.0,-0.018385339975357056,0.192478519477448
1.375018765926361,182.56,7,0.015473338830215653,1.39,269,3.1000000000000085,56000,1.3237113189697265,0.000958797394996509,0.0,0.002237508296966553,0.22223876581701774
1.3736605036258698,199.56,8,0.015222589398617856,1.85,278,5.0,64000,1.3217397268116473,-0.00031215269875247033,0.0,0.019555749893188475,0.24107758133757884
1.3690470337867737,196.18,9,0.013067906318756286,1.74,285,4.1000000000000085,72000,1.182397504672408,0.0024581484892405568,0.0,0.0444994455575943,0.21513785680234862
1.3695586109161377,182.86,10,0.012179745089670178,1.4,291,3.1000000000000085,80000,1.1821534159779548,-0.0004254582554858644,0.0,0.16312724351882935,0.2391290109480723
1.3697132885456085,199.39,11,0.01623789674747968,1.86,297,4.0,88000,1.4525180169939995,0.002032008820096962,0.0,0.33969837248325346,0.3171802538893615
1.3722121036052704,201.46,12,0.012140114750945941,1.98,301,5.0,96000,1.234817978143692,-0.0009103100901120343,0.0,0.5040184545516968,0.29582672074452454
1.3734353977441787,196.21,13,0.016791191042866558,1.89,305,5.0,104000,1.390485103726387,-0.0048388882260769605,0.0,0.4553382843732834,0.3664596256293462
1.3716955149173737,190.32,14,0.020079746474511922,1.62,309,3.1000000000000085,112000,1.5561216208338737,0.0030840054573491216,0.0,0.5514683014154435,0.514624226351154
1.3792188942432404,181.87,15,0.01100837703444995,1.36,311,3.0,120000,1.1871022549271584,-0.0019314629511245586,0.0,0.712074283361435,0.27240540397259166
1.3731157445907594,184.45,16,0.010390544178371784,1.46,314,3.0,128000,1.180045908689499,0.001273801751085557,0.0,0.7737361836433411,0.2633372799857495
1.3741887986660004,183.51,17,0.008930876255617478,1.44,316,3.1000000000000085,136000,1.1100262901186944,-0.00047745817253598945,0.0,0.7685106027126313,0.24896014107999753
1.3599266374111176,171.77,18,0.007647812945360783,1.13,319,3.0,144000,1.0084970603883265,0.00021846565592568368,0.0,0.7492655408382416,0.22376332757261885
1.352055172920227,182.07,19,0.012554984723683446,1.44,325,4.0,152000,1.3298198255896567,0.000290959362173453,0.0,0.8218739515542984,0.3011187342240091
1.3092824947834014,205.01,20,0.010944456463330426,2.07,331,6.0,160000,1.2179394781589508,-0.003127823972827173,0.0,0.8545291584730148,0.27246099952318703
