frames,explained_variance,value_loss,policy_loss,advantage_norm,episode_length,fps,P01:episode_rewards,PMM:episode_rewards,grad_norm,policy_entropy,P09:episode_rewards,epoch_idx
344000,-4.507694944143295,0.002331852865299879,0.000217491143848747,0.4970451794192195,182.45,457,0.0,1.43,0.07723054532015042,1.3851237320899963,3.0,43
352000,-5.835071110725403,0.002634109683604038,0.0007400401126642464,0.5262581581622362,191.59,458,0.0,1.66,0.08015541850050072,1.384247967004776,3.0,44
360000,-1.8311838740110398,0.002438220194399037,-0.00022950918690185063,0.5070312274992466,192.01,458,0.0,1.66,0.07628155696085459,1.3808824014663696,3.1000000000000085,45
368000,-3.0234931856393814,0.0022563910523967935,-0.0006021620430510666,0.4638505708426237,184.52,459,0.0,1.49,0.07060784463579531,1.3837462615966798,3.1000000000000085,46
376000,-1.352341838479042,0.0020426739486538283,0.0002347252249455778,0.43527160353958605,182.48,460,0.0,1.41,0.07316724417423616,1.3853959238529205,4.0,47
384000,-3.5832744681835176,0.0014403230668904143,-0.0004683451023811358,0.3654732622206211,176.46,461,0.0,1.22,0.05704467060106623,1.384280138015747,4.0,48
392000,-3.1105292302370073,0.0020739712792237695,0.00037543556769378486,0.4690660651028156,175.36,462,0.0,1.21,0.06552661504197717,1.382377849817276,3.0,49
400000,-2.738118113875389,0.0017685445873939897,-0.0003300106541428249,0.41646702274680136,178.23,462,0.0,1.28,0.06554999957544869,1.3829560232162477,3.0,50
408000,-1.9039923071861267,0.0013783501129910293,0.00026260642473062033,0.359041220061481,173.3,462,0.0,1.15,0.05660611319952508,1.3851397800445557,3.0,51
416000,-1.301401093006134,0.001839031325889664,0.00031864894699538124,0.434980914182961,179.67,463,0.0,1.31,0.06713401622210208,1.385355693101883,3.0,52
424000,-14.190902868509292,0.00207157877895952,-0.00014983534934799537,0.44818925112485886,179.8,464,0.0,1.34,0.07459681746490836,1.3835904383659363,3.1000000000000085,53
432000,-1.754304963350296,0.0014586522386707656,0.0005192215720308014,0.38062127072364094,177.87,464,0.0,1.29,0.06292475462329773,1.3838856685161591,3.1000000000000085,54
440000,-1.6125317656993865,0.0016556081861926941,0.0003739620618580375,0.40635519560426475,187.65,465,0.0,1.49,0.06119595177921087,1.3797900140285493,4.0,55
448000,-1.0271306020021438,0.0014091088044915522,-0.0009458282746709301,0.3826644317060709,183.22,465,0.0,1.41,0.0650291800215033,1.381204880475998,3.0,56
456000,-2.1058942383527754,0.0018694754632451805,0.00036084163177292796,0.4119987249001861,175.7,466,0.0,1.24,0.06897314605994515,1.382713040113449,3.0,57
464000,-2.334784767627716,0.001307129553097184,-0.00023970936872501624,0.3340747322887182,178.09,466,0.0,1.26,0.05111920825633165,1.3839098119735718,3.0,58
472000,-3.2508119249343874,0.0010373900178365148,-0.00018525075698562433,0.27917191315442325,175.53,467,0.0,1.16,0.0421730938568818,1.384954296350479,3.0,59
480000,-0.9595345252752304,0.0016117913058769772,-0.00031864674907410516,0.3994891010969877,187.39,467,0.0,1.44,0.06826708034672806,1.3846249163150788,3.0,60
488000,-2.942544941306114,0.0013879159606585744,-0.00044238535680051426,0.34929468158632515,184.88,467,0.0,1.42,0.05338896593718458,1.3793100273609162,3.0,61
496000,-2.2773723715543746,0.0008356296541569463,0.0003788000837448635,0.269452078230679,174.4,468,0.0,1.21,0.04807220407328233,1.380017101764679,3.0,62
504000,-1.752842071056366,0.001198665008869284,0.00012770793517120183,0.3330332713574171,173.45,468,0.0,1.17,0.05572445848894714,1.3849563312530517,3.0,63
512000,-1.0425260096788407,0.0014652944757290243,-0.00040091573448989946,0.3608146593719721,180.74,469,0.0,1.32,0.06060666573457693,1.3853203773498535,4.0,64
520000,-1.836844711303711,0.002247848135193635,-0.002697406465304084,0.41915363155305385,185.36,469,0.0,1.45,0.10216602046061572,1.3851288521289826,4.0,65
528000,-1.3888159650564194,0.0012889462492421443,-0.00011218593193916604,0.3326821530237794,184.22,469,0.0,1.41,0.052525842211472426,1.3840810561180115,4.0,66
536000,-0.975625519156456,0.001150817389857366,0.00042794493987457827,0.3070632367581129,185.99,470,0.0,1.48,0.0478486867004351,1.3857007765769958,4.0,67
544000,-0.7367862033843994,0.0013398110575690225,1.8873575027100742e-06,0.32244818363338706,179.99,470,0.0,1.39,0.04939372111609203,1.3843186688423157,3.0,68
552000,-2.5675924229621887,0.0008855962954567076,0.00013476795704264077,0.26138734851032497,181.74,470,0.0,1.37,0.04054753300605203,1.3854273891448974,3.1000000000000085,69
560000,-4.720490990281105,0.0010328217886672064,5.12199301738292e-06,0.3106842989102006,178.96,470,0.0,1.25,0.0480742541110996,1.3854563069343566,3.0,70
568000,-1.003237134218216,0.0011882430903278874,-2.6634890818968415e-05,0.338503748215735,179.99,471,0.0,1.29,0.0511023536104803,1.3848256552219391,3.0,71
576000,-1.3297896027565002,0.0017563646937924205,0.0002712021842307877,0.38686175279319285,184.98,471,0.0,1.42,0.06440367429015513,1.384383064508438,3.0,72
584000,-2.1573527789115907,0.0012112917452395777,-0.00041674545966088774,0.3295401581376791,182.76,471,0.0,1.4,0.057712472749938605,1.3832992172241212,3.1000000000000085,73
592000,-1.7386731284856796,0.0016587549989890249,-0.00031886810793366747,0.3739726758748293,185.63,472,0.0,1.52,0.06109088736384776,1.3831687939167023,4.0,74
600000,-0.810651233792305,0.0009608037759335275,0.00012871775470557623,0.27868165984749793,192.78,472,0.0,1.68,0.04003788251004604,1.3843635749816894,4.1000000000000085,75
608000,-0.9147001439332962,0.001043794141169201,0.0002700479487884877,0.30008789122104645,194.09,473,0.0,1.67,0.04788922167749843,1.3850673735141754,4.0,76
616000,-1.3965641278028489,0.0011847393505195214,-0.0004850991163402796,0.32634557742625475,195.34,473,0.0,1.65,0.05113506019434927,1.3845350348949432,4.0,77
624000,-1.9489353150129318,0.0009144759176342632,0.0003499352349354012,0.27985788848251103,186.65,473,0.0,1.39,0.04071798053220114,1.3849652636051177,3.1000000000000085,78
632000,-0.7803198218345642,0.0014669437202974223,-0.00018183916472480632,0.3627716264873743,196.37,474,0.0,1.68,0.05701449697283222,1.385560028553009,4.0,79
640000,-1.8764481574296952,0.0011437259015201562,0.0002525852376493276,0.31712321400642396,189.45,474,0.0,1.56,0.050399106900411966,1.3847077345848084,4.0,80
648000,-4.089126045107841,0.0011333954771180288,0.0005711521637931583,0.3142354169487953,188.36,474,0.0,1.56,0.05257408046525355,1.3835763764381408,4.0,81
656000,-13.956117485761643,0.001174036724405596,-0.00011251934709434864,0.3017946272343397,187.73,474,0.0,1.5,0.05013570812136849,1.382922500371933,4.0,82
664000,-1.861257288455963,0.000526177148340139,-0.0005270296746311943,0.20825037483125924,172.08,474,0.0,1.11,0.03159352300386286,1.3853196823596954,3.0,83
672000,-1.0896248841285705,0.0014177401762844966,0.00041948955757106885,0.35774635870009663,176.65,475,0.0,1.31,0.055785552634993456,1.3854595518112183,3.0,84
