advantage_norm,policy_gradient_bias_correction,P01:episode_rewards,epoch_idx,episode_length,avg_q_selected,fps,grad_norm,model_prob_std,q_loss,avg_q_retraced,policy_gradient_loss,policy_entropy,explained_variance,P09:episode_rewards,PMM:episode_rewards,policy_loss,frames,rollout_prob_std
0.101376494516929,0.0,0.0,1,0,0.004425252009968972,470,0.03374237395538628,0.0512907234330972,0.000562125186358268,0.004261115846141668,-0.00018274272773245078,2.089252491792043,-11.752019755045573,0.0,0.0,-0.00018274272773245078,7200,0.05129072293639183
0.0878169874039789,-1.9164735134506264e-10,0.0,2,0,0.08778336221863962,229,0.5762317120247664,0.07514829405893882,0.010525699759091367,0.0852723716738789,0.00019087198038221232,1.8214296365214977,-324.19833984971046,0.0,0.0,0.00019087178732680362,14400,0.075148294121027
0.01714302316928903,0.0,0.0,3,0,-0.007502707280218601,288,0.0033048174619952513,0.010762106844534476,2.304278353525054e-05,-0.007315975660458207,0.0001788378421527644,2.192180037498474,-22.884219312667845,0.0,0.0,0.0001788378421527644,21600,0.010762106627225876
0.03240070166066289,0.0,0.0,4,0,-0.006386274145916105,330,0.003913198087396436,0.009454136636729041,3.358664389452315e-05,-0.006341659681250652,0.00012915819364328247,2.19354088306427,-21.13927475611369,0.0,0.0,0.00012915819364328247,28800,0.009454136854037643
0.017468463536351918,0.0,0.0,5,0,-0.007003626025592288,358,0.0021007473571355343,0.007752522019048532,1.5845265488678705e-05,-0.006924205319955945,0.0001624525653880937,2.1947458426157636,-22.969480832417805,0.0,0.0,0.0001624525653880937,36000,0.007752521832784017
0.027394260248790183,0.0,0.0,6,3323.8333333333335,-0.005504646866271893,347,0.002812094823206368,0.008443162916228176,2.2091175454382515e-05,-0.0053340437356382605,0.00010903885574104303,2.194211967786153,-17.786958503723145,0.0,0.0,0.00010903885574104303,43200,0.00844316283861796
0.010814457153901457,0.0,0.0,7,3323.8333333333335,-0.006631458379949133,345,0.0018617085817421153,0.007675408214951555,7.845453599960214e-06,-0.006533880950883031,0.00013929740598541684,2.1942476272583007,-31.1456724802653,0.0,0.0,0.00013929740598541684,50400,0.007675408152863383
0.011873703418920438,0.0,0.0,8,3323.8333333333335,-0.0070100976076597965,359,0.0018909433891370765,0.012699177907779812,7.179696012826753e-06,-0.006893777412672838,0.00016987460451976707,2.1897526661554974,-16.081748604774475,0.0,0.0,0.00016987460451976707,57600,0.01269917762838304
0.021861305677642426,0.0,0.0,9,3323.8333333333335,-0.004151893686503172,372,0.0019729499021979707,0.0073827195602158705,1.6184288369913702e-05,-0.004181393686061104,9.186670467897784e-05,2.194961357116699,-11.600477679570515,0.0,0.0,9.186670467897784e-05,64800,0.0073827197154363
0.016789637800926963,0.0,0.0,10,3323.8333333333335,-0.0041242258700852595,384,0.00153631570629202,0.006591550679877401,1.065254966761131e-05,-0.003986832623680433,8.535823799320497e-05,2.1954063018163046,-10.993282318115234,0.0,0.0,8.535823799320497e-05,72000,0.006591550633311271
0.028018278519933423,0.0,0.0,11,3323.8333333333335,-0.003173249020862083,393,0.0022494723616148307,0.007443498369927208,1.73928353926082e-05,-0.0030663042639692624,6.773244374661166e-05,2.1949318726857503,-10.255021667480468,0.0,0.0,6.773244374661166e-05,79200,0.007443498354405165
0.009749784258504708,0.0,0.0,12,3324.1666666666665,-0.0034276799065992235,402,0.0008437772341671684,0.006010328466072678,4.045623992017985e-06,-0.003417541435919702,6.429690120057785e-05,2.195738116900126,-21.043420441945393,0.0,0.0,6.429690120057785e-05,86400,0.006010328497116764
0.008760293216134111,0.0,0.0,13,3324.1666666666665,-0.005196484892318646,409,0.0015445533463410233,0.012388501300786931,6.441346185207901e-06,-0.005145934503525495,0.00010997371485548987,2.1898250341415406,-25.2801393032074,0.0,0.0,0.00010997371485548987,93600,0.012388501067956288
0.010310462458680074,0.0,0.0,14,3324.1666666666665,-0.003225432677815358,416,0.0014509820532680343,0.008423653508846959,5.460715965455165e-06,-0.003194823240240415,8.278007292877495e-05,2.1936628818511963,-13.528271055221557,0.0,0.0,8.278007292877495e-05,100800,0.008423653493324915
0.02450625050502519,0.0,0.0,15,3324.1666666666665,-0.0022957298283775647,423,0.0017708341171024866,0.0064225454038629925,1.284565853438835e-05,-0.002259478997439146,4.938602013074463e-05,2.1955199082692465,-11.445677614212036,0.0,0.0,4.938602013074463e-05,108000,0.006422545310730735
0.00979497842490673,0.0,0.0,16,3324.1666666666665,-0.002564849566745882,429,0.0007802048471943119,0.005117537965998053,4.118239947577725e-06,-0.002537247243647774,5.94658646453657e-05,2.1961591879526776,-8.370783964792887,0.0,0.0,5.94658646453657e-05,115200,0.005117537919431925
0.02182085573954291,6.353251903365975e-06,0.0,17,3324.25,-0.002004100416355997,429,0.0015540776480451148,0.0066080288715411285,9.58861303897984e-06,-0.0019326549611463578,3.5104715261959796e-05,2.1953653504691943,-10.58633756267904,0.0,0.0,4.145796716495005e-05,122400,0.011920349848929397
0.011441508018887214,1.8983295561321224e-05,0.0,18,3324.25,-0.0018662092315862152,425,0.0008414149757742848,0.008551225172215333,3.7190665922590024e-06,-0.001838589863464847,3.9516544146605995e-05,2.194128169944046,-10.89305288989708,0.0,0.0,5.849983959783145e-05,129600,0.01703234583818201
0.011304967829615131,-8.861905129881729e-07,0.0,19,3324.25,-0.0014803618982466376,418,0.0007462962418300519,0.010794886737906685,2.8266747428115533e-06,-0.0014418092904296437,3.1487960583862987e-05,2.1922209650561926,-5.756964453988605,0.0,0.0,3.06017702173455e-05,136800,0.020358619210901596
