P01:episode_rewards,grad_norm,policy_entropy,PMM:episode_rewards,explained_variance,advantage_norm,fps,policy_loss,value_loss,P09:episode_rewards,episode_length,frames,epoch_idx
0.0,0.8272809445340588,1.3208121096342802,0.9555555555555556,-1.0182180732488633,1.3843268243223428,519,0.011930335188735626,0.02817055965990221,2.0,162.42222222222222,8000,1
0.0,0.18680873498438047,1.3652344465255737,1.021505376344086,-0.06550019323825836,1.2058026985637844,314,0.0006147039543429856,0.013390477922230274,2.0,167.3548387096774,16000,2
0.0,0.1951447692267805,1.3591804087162018,1.18,-0.028627979159355162,1.109378453232348,352,0.0019825374509673567,0.01247419525965597,3.0,175.86,24000,3
0.0,0.2082026108054845,1.355223492383957,1.38,-0.05337595760822296,1.2831963305175305,378,-0.000766489700472448,0.014397281381443463,3.0,182.92,32000,4
0.0,0.1686866122718471,1.3725376772880553,1.3,-0.04021200001239777,1.0020722350850702,397,0.0011213577834132593,0.010409773858596054,3.0,179.32,40000,5
0.0,0.1966406191120609,1.3802449905872345,1.31,-0.02612368583679199,1.2892629719525575,410,0.0023843655828386543,0.015367097300782007,3.0,180.11,48000,6
0.0,0.20007766611758002,1.3853824388980867,1.52,-0.0033574366569519044,1.3050082863867283,419,0.0009755475749261678,0.015016422864409833,3.1000000000000085,188.59,56000,7
0.0,0.16321875888651585,1.3808817565441132,1.44,-0.0033213627338409425,1.1279331329092384,428,-0.000890750780235976,0.011895262628149795,4.0,184.93,64000,8
0.0,0.18693946643996906,1.3768431735038758,1.21,-0.016111307740211488,1.231959553807974,435,0.0021297302446328104,0.013571773914154619,4.0,175.33,72000,9
0.0,0.23556575469560115,1.3721310418844224,1.11,-0.21350854516029358,0.9831796383857727,441,-0.0008395257199299522,0.010518193670159236,3.0,170.74,80000,10
0.0,0.20131894146290974,1.3600771951675414,1.09,-0.11050117731094361,1.1034141916781663,445,0.0014250803054892459,0.01199780432107218,2.1000000000000085,169.08,88000,11
0.0,0.24563107733690093,1.3734482872486113,1.15,0.06746086597442627,1.2146940776705741,450,0.0008881770915468223,0.013994266221343423,2.1000000000000085,171.62,96000,12
0.0,0.23640025671186063,1.3754459011554718,1.14,0.00835166871547699,1.1214474786818027,453,0.0018560463335597888,0.011095513160107658,2.0,171.2,104000,13
0.0,0.272443840753474,1.3757358491420746,1.2,0.1908750766515732,1.3477479508519172,455,0.0028298491484019905,0.014497571492684073,2.1000000000000085,172.37,112000,14
0.0,0.27036879880236353,1.382540863752365,1.4,0.22932107925415038,1.140057966709137,458,-0.0009942630436853505,0.010445259055704809,3.1000000000000085,179.71,120000,15
0.0,0.3182126491128923,1.3778205549716949,1.69,0.39660884976387023,1.3226446163654328,460,-0.0008913001569453627,0.013176925251609645,4.0,189.46,128000,16
0.0,0.40000401954678905,1.3796108078956604,1.49,0.5387345111370087,1.3041173604130745,462,-0.007480553901405074,0.01424336729949573,4.0,184.57,136000,17
0.0,0.4085715259342389,1.3759110081195831,1.33,0.5969631284475326,1.4276261445879936,464,-0.004478080619301181,0.015393610246828757,3.0,180.7,144000,18
0.0,0.4336362828763054,1.348949122428894,1.72,0.6033034938573837,1.7168898478150367,466,-0.005013476129388437,0.021670977526227944,5.0,196.42,152000,19
0.0,0.30544490313209155,1.3489704024791718,2.14,0.7938523674011231,1.1995596134662627,469,-0.002194517183233984,0.010561014506965876,6.0,210.8,160000,20
0.0,0.3424473882007528,1.364144549369812,2.05,0.6942931473255157,1.1970958372950553,470,-0.00039621975767659026,0.010305041795363649,6.0,204.02,168000,21
0.0,0.32424692935833527,1.3729361140727996,1.37,0.7200915259122849,1.173921200335026,471,-0.004236676272121258,0.010383196677430533,4.0,181.14,176000,22
0.0,0.3720850142338152,1.357017446756363,1.71,0.8566264855861664,1.2266484835743905,473,-0.0051640009894617835,0.011712570944800972,5.0,195.87,184000,23
0.0,0.2875881495741007,1.353764967918396,1.75,0.875764701962471,1.0446764326095581,474,-0.0030882493117496777,0.007948350229416973,5.0,199.41,192000,24
0.0,0.26564861268099876,1.3446345150470733,1.63,0.927725065946579,0.9715236404538155,475,-0.001062982310395455,0.006734033604152501,5.0,190.58,200000,25
0.0,0.33387844757560975,1.3466759788990021,1.85,0.873383857011795,1.0510951855778694,476,-0.0031086592172505333,0.00889070754754357,5.0,195.18,208000,26
0.0,0.22701755769210796,1.3292941081523895,1.74,0.9382311195135117,0.8562243050336837,478,-0.0007070863479748369,0.006119859408354387,5.0,192.97,216000,27
0.0,0.25969436169660226,1.3638894367218017,1.59,0.8887340050935745,0.9449077558517456,482,-0.0017650875324034133,0.006954169974196702,5.0,189.08,224000,28
0.0,0.22704499909078157,1.3612806475162507,1.55,0.935129486322403,0.9125325194001198,484,-0.0014689716415159637,0.006098000016645528,5.0,189.06,232000,29
0.0,0.22721659714353568,1.3613269996643067,1.86,0.9101346433162689,0.872375570833683,487,-0.001649732849909924,0.005677138156606816,5.1000000000000085,199.71,240000,30
0.0,0.24334642929036485,1.3528052127361299,2.04,0.8793109434843064,1.0162543605268002,492,0.0013991721003549173,0.007971540932485368,6.0,204.77,248000,31
0.0,0.2134779184557631,1.3540460002422332,1.97,0.918088481426239,0.8871364822983742,496,-0.001230584350123536,0.005870419015409425,5.0,203.54,256000,32
0.0,0.1889840439673327,1.3272804379463197,2.15,0.9543666142225266,0.7747001250088215,500,-0.0019752274444908833,0.004998870139970677,5.0,209.13,264000,33
0.0,0.18814108835713536,1.3244380235671998,2.38,0.947650464773178,0.7565874171257019,504,-0.0008084460796089843,0.004463472949864809,6.0,218.52,272000,34
0.0,0.14113542174856566,1.3415784323215485,1.99,0.970851092338562,0.5775927397608757,509,9.24523119465448e-05,0.0027984683137037792,5.0,205.19,280000,35
0.0,0.19740258246271025,1.3503520166873932,1.84,0.9649362373352051,0.7605481395125389,514,-0.0009017158689675853,0.004546293794410303,5.0,197.07,288000,36
0.0,0.19212217077716157,1.352184567451477,1.88,0.9453038418292999,0.7882142233848571,518,-0.001571142424345453,0.005294294930936303,5.0,198.92,296000,37
