PMM:episode_rewards,P09:episode_rewards,P01:episode_rewards,value_loss,policy_entropy,fps,policy_loss,grad_norm,epoch_idx,explained_variance,advantage_norm,frames,episode_length
1.0681818181818181,2.700000000000003,0.0,0.04577123222783484,1.3472094775736332,358,-0.018334631528705358,1.848112464237232,1,-0.6679302549362183,1.7330234107002616,8000,167.79545454545453
1.3068181818181819,3.0,0.0,0.015353178227419448,1.3777697825431823,175,0.0037722789618419485,0.2586584442251601,2,-0.00611562192440033,1.283992751967162,16000,178.76136363636363
1.4,3.1000000000000085,0.0,0.013132255795408127,1.3679967963695525,211,0.002259468319825828,0.22575981076504698,3,-0.01607720971107483,1.1869042497500777,24000,182.53
1.44,4.0,0.0,0.01868879806827863,1.3641243314743041,236,0.0042588831949979065,0.38784000255197176,4,-0.3405852353572845,1.417490976639092,32000,184.68
1.72,4.0,0.0,0.016922970431314754,1.3718478608131408,254,0.002975065546343103,0.3086814589722382,5,0.02701156973838806,1.4067682843655347,40000,196.24
1.84,4.0,0.0,0.016123273199373216,1.3818037104606629,267,0.0039916533511132005,0.2693525780299361,6,0.09107515037059784,1.3527527712285519,48000,199.37
1.65,4.0,0.0,0.01493959170729795,1.3799254417419433,278,0.0010485999821685254,0.24873854369927398,7,0.06051816999912262,1.2716014219075442,56000,192.11
1.76,4.0,0.0,0.017072508030250903,1.37396843791008,287,0.005259538636601065,0.2889179664481525,8,0.12061063885688782,1.4296807301044465,64000,195.96
1.71,4.1000000000000085,0.0,0.012991081058571581,1.3616695010662079,295,0.0007676009411807172,0.30120292760145795,9,0.1433229422569275,1.2184255893528462,72000,193.55
1.24,2.0,0.0,0.010097448969754624,1.3646844828128815,302,-0.0015853773930575698,0.29418972518998154,10,0.2590065312385559,1.1290368662774564,80000,174.1
1.02,2.0,0.0,0.014480429035902489,1.3743777239322663,307,-0.0033081742070498877,0.3867488797473497,11,0.23900410115718843,1.2820653860270976,88000,166.77
1.15,3.0,0.0,0.011444965019763912,1.379603579044342,312,-0.0014657899836674915,0.34350433274311337,12,0.30292908489704135,1.1718796245753764,96000,173.35
