epoch_idx,grad_norm,PMM:episode_rewards,advantage_norm,frames,explained_variance,fps,policy_entropy,value_loss,P01:episode_rewards,policy_loss,P09:episode_rewards,episode_length
1,2.603880628669974,1.131578947368421,2.120386923030019,8000,-3.770318193435669,398,1.317112428843975,0.07339218523389718,0.0,0.0016051066969521343,4.0,173.52631578947367
2,0.2603249822896202,1.2666666666666666,1.1517291480302811,16000,-0.08680387496948243,202,1.3633576834201813,0.013403079598865587,0.0,0.002245113972458057,4.0,176.65555555555557
3,0.2797861817824372,1.42,1.2950973732024431,24000,0.004700962901115418,264,1.3791356480121613,0.01471655392248067,0.0,0.0007144167530350387,3.0,182.55
4,0.18220895181601185,1.52,1.131599798500538,32000,-0.018299768567085265,301,1.3827446162700654,0.011788115592516989,0.0,0.001830231830244884,3.1000000000000085,184.69
5,0.21455684736041594,1.51,1.1314344795048237,40000,-0.014551350474357605,330,1.3826940989494323,0.012175534629477625,0.0,0.0007033553207293153,3.1000000000000085,184.23
6,0.23777808525284527,1.2,1.2790427242219449,48000,0.027428855895996095,355,1.3817595529556275,0.014713879869777884,0.0,0.002133342339657247,3.0,174.63
7,0.2775431019307587,1.47,1.3159713332355023,56000,-0.008207130432128906,375,1.3793413925170899,0.014636939978372539,0.0,0.0015998844757268672,4.0,185.9
8,0.3031230879892288,1.55,1.3441443553566932,64000,0.1962779825925827,392,1.361308228969574,0.014811895776947494,0.0,0.0020212401498065444,3.1000000000000085,190.33
9,0.35809637863041266,1.53,1.3487315946817398,72000,0.4674199366569519,405,1.3775503647327423,0.014369378401315771,0.0,-0.0003522299462929368,4.0,189.5
10,0.38446325275730187,1.66,1.3907405376434325,80000,0.30231367170810697,417,1.3743006014823913,0.015160466153756715,0.0,-0.000918765818933025,4.1000000000000085,192.53
11,0.4193663614803655,1.48,1.3243999618291855,88000,0.5141384267807007,428,1.3573774921894073,0.013930293598677963,0.0,-0.002789299474970903,4.0,185.93
12,0.4057209617154804,1.48,1.335772545337677,96000,0.6949399256706238,437,1.3717426407337188,0.013724549675825983,0.0,-0.0023884122222079893,4.0,187.16
13,0.3813741394245034,1.63,1.3212684801220893,104000,0.755943244099617,445,1.3350679111480712,0.012495251768268646,0.0,-0.0033722828488680534,5.0,192.11
14,0.3727680911152996,1.87,1.207036514878273,112000,0.8460060179233551,452,1.3282577085494995,0.01040208769380115,0.0,-0.003432299206208427,6.0,198.3
15,0.4139453571545309,2.13,1.3088833075761794,120000,0.8520174950361252,457,1.3305612242221831,0.013064167645061388,0.0,-0.0040547795116435735,6.0,207.68
16,0.3098584701744067,2.11,1.153317477107048,128000,0.8832149529457092,462,1.3259688007831574,0.009368298727786169,0.0,-0.0016317789740787703,5.1000000000000085,210.11
17,0.31302576095427453,1.96,1.1194966173171996,136000,0.8952873957157135,468,1.3493685400485993,0.008802237007766962,0.0,-0.0005515418441791553,5.0,203.22
18,0.2607939086795954,1.78,0.927251265347004,144000,0.9204777109622956,471,1.347873706817627,0.006373243470443412,0.0,-0.0002731624338775873,5.0,194.51
19,0.2550115533770511,1.91,0.9181589812040329,152000,0.9444266104698181,475,1.3448819017410278,0.00613115886459127,0.0,-0.0010444402310531586,5.0,199.54
20,0.2199884152268586,1.6,0.8325966635346412,160000,0.9445537275075913,478,1.3439372396469116,0.005232756135519594,0.0,0.0008819152567320998,5.0,190.38
21,0.3113096754611682,1.88,0.9958703473210335,168000,0.9178188014030456,481,1.3231439900398254,0.008128188026603311,0.0,-0.0023797761084279044,5.0,199.14
22,0.1807811857706645,2.34,0.7167110171914101,176000,0.949950048327446,484,1.3246923410892486,0.004045465320232324,0.0,-0.0009043707212549635,8.0,214.2
23,0.18255285857549924,1.92,0.6611900269985199,184000,0.9694919961690903,486,1.3185989725589753,0.0034437929943669588,0.0,-0.00024267955544928554,5.0,197.29
24,0.1669999099371744,1.78,0.6353424927592277,192000,0.9661407577991485,489,1.3165489268302917,0.003244562616455369,0.0,-0.0011301271117690704,5.0,198.95
25,0.1780045995828436,1.94,0.6570391894876957,200000,0.9730985045433045,491,1.3198493528366089,0.0032595495448913426,0.0,-0.0011972812088788488,5.0,204.67
26,0.14225873087381177,1.72,0.5461028122901916,208000,0.9765196752548218,493,1.3165675437450408,0.0025938310079800433,0.0,-0.001454549853806384,5.0,191.63
27,0.16460322281367357,1.72,0.5989092202484607,216000,0.9743421882390976,495,1.301406821012497,0.0031843784262309783,0.0,-0.0009973278327379375,5.0,192.88
28,0.1282247362852346,1.79,0.4909729777276516,224000,0.9841494935750962,497,1.3091192376613616,0.0017311040918866639,0.0,-0.0011972928395698546,5.0,197.1
29,0.13568493867858802,1.71,0.5164795586466789,232000,0.9769336718320847,503,1.3285753893852235,0.002160903517215047,0.0,-0.0006260667438618839,5.0,191.89
30,0.12470789126801257,1.75,0.49775457561016084,240000,0.9822349202632904,510,1.3326217865943908,0.0019354207250580656,0.0,-0.0010349181934725493,5.0,193.84
31,0.16021639589756542,2.09,0.6202330753207207,248000,0.9705934745073318,514,1.345237342119217,0.003459478039876558,0.0,-0.0015382563282037153,5.1000000000000085,204.93
32,0.19573406945331231,2.05,0.7435814788937569,256000,0.9519295430183411,519,1.3541733419895172,0.004381026278133504,0.0,-0.0002124722974258475,5.1000000000000085,204.33
33,0.21205599620261506,2.24,0.8511581501364708,264000,0.9401699310541153,522,1.3556237614154816,0.005702786122565157,0.0,-0.0012949815019965172,7.1000000000000085,208.94
34,0.17995103836648482,2.12,0.7046621100604534,272000,0.9518175506591797,523,1.33114896774292,0.0046243195151328105,0.0,-0.0016119691792664526,7.1000000000000085,202.21
35,0.21518396589834765,2.47,0.8444818314909935,280000,0.9548225939273834,525,1.349886442422867,0.006014687581046019,0.0,-0.0022249256129725837,9.0,215.43
36,0.14625867112260318,2.16,0.5666985756158829,288000,0.9715899473428726,527,1.3281567549705506,0.002780261666921433,0.0,-0.0009819546446669847,6.0,208.22
37,0.16888267065029314,2.32,0.6487038204073906,296000,0.9608806240558624,529,1.3482233786582947,0.003781318046094384,0.0,-0.00014039345813216642,6.300000000000026,214.34
38,0.16599335434782214,2.01,0.6722896364331246,304000,0.9605061864852905,529,1.350066635608673,0.0039593872318801,0.0,-0.0006320963401230984,6.0,205.79
39,0.1348170275609973,1.99,0.552618142515421,312000,0.9690849381685257,529,1.357572901248932,0.002608756126719527,0.0,-0.0001373021698964294,6.1000000000000085,203.84
40,0.14239168790334972,1.72,0.574292768985033,320000,0.9743413078784943,524,1.3478648173809051,0.0028862050687894227,0.0,-0.0014200689975405112,5.0,194.65
41,0.1478860308613301,1.87,0.587675407230854,328000,0.9730999237298965,519,1.3385471713542938,0.0029687477488187144,0.0,-0.0011289719528576824,5.0,200.56
42,0.12962315367641067,1.95,0.5381719715893268,336000,0.9680908995866776,517,1.3498592448234559,0.00262773389564245,0.0,-0.00023114099836675452,5.1000000000000085,199.09
43,0.2146086019036251,1.65,0.8677236744761467,344000,0.916558803319931,514,1.3758820617198944,0.006110783144831658,0.0,-0.000275701054779347,5.0,186.31
44,0.2902238402771395,1.68,1.0054960611462593,352000,0.9192309874296188,509,1.3668734097480775,0.007860768816317431,0.0,-0.003667209388804622,5.0,191.22
45,0.241965390161336,1.79,0.9101548954844475,360000,0.9367800498008728,503,1.3556495308876038,0.0068713670174474824,0.0,-0.00197215998206957,5.0,198.88
46,0.2036505003527045,2.14,0.8028191664814949,368000,0.9588750714063644,490,1.3548268496990203,0.004980320711620152,0.0,-0.0012556476151803508,5.1000000000000085,211.57
47,0.21076162379585392,2.32,0.8336002483963967,376000,0.94069828748703,482,1.357874413728714,0.006051148437254596,0.0,-0.0005193307888112031,6.200000000000017,213.76
48,0.19496904645445529,2.38,0.8103581142425537,384000,0.9517987811565399,475,1.3561614346504212,0.00530917193100322,0.0,0.0001981743104988709,8.100000000000009,214.58
49,0.21664289995499303,2.62,0.8192049100995064,392000,0.9514716780185699,468,1.3509781515598298,0.005207207567873411,0.0,-0.0015508043559384532,8.100000000000009,222.33
50,0.21452598467240783,2.91,0.84394291639328,400000,0.9422653216123581,462,1.35361412525177,0.005539046100166161,0.0,-0.000346992113518354,9.0,230.78
51,0.26622029147565063,2.57,0.9868000864982605,408000,0.9071080636978149,457,1.3665236496925355,0.00748035789874848,0.0,-0.0016940646071452647,8.0,221.02
