episode_length,policy_entropy,P01:episode_rewards,PMM:episode_rewards,approx_kl_divergence,policy_loss,fps,grad_norm,value_loss,frames,P09:episode_rewards,epoch_idx,advantage_norm,clip_fraction,explained_variance
349.24,0.9803563197232513,0.0,32.0,4643.665346137521,0.041642789124853155,791,5719094.865368428,2291393.4285609694,10240,75.0,1,15.968712443113327,0.5246826171875,-8.027108212932944
338.8103448275862,1.7753955587744712,0.0,106.89655172413794,0.0036911281858692745,-0.0008431951351667522,767,0.07740317324525783,0.008098748779229937,20480,275.0,2,15.96871770620346,0.2712646484375,0.0
332.14130434782606,1.775746899098158,0.0,110.59782608695652,0.0036400259471292885,-0.0016281552256259602,845,0.05180971458355325,0.006893099946591974,30720,250.0,3,15.96871782541275,0.2500244140625,2.8312206268310546e-08
327.94,1.7770758651196956,0.0,144.75,0.004079287297190604,-0.0026444946492119926,842,0.05297338612070997,0.008143457767255313,40960,312.5000000000011,4,15.96871771812439,0.3226318359375,-9.313225746154785e-09
328.01,1.780607706308365,22.500000000000007,139.75,0.0036623910775688273,-0.001945034504751675,823,0.0521843825091324,0.007685069951662626,51200,300.0,5,15.96871662735939,0.26806640625,-2.1979212760925294e-08
327.43,1.7753156885504722,25.0,142.5,0.004005036960120378,-0.0014761093952984083,805,0.050695938560878215,0.007923198730895819,61440,310.00000000000085,6,15.96871754527092,0.2535400390625,-2.6077032089233397e-09
326.21,1.781637242436409,25.0,140.75,0.002359387216344544,-0.0012441961120202905,798,0.053668349239363,0.007640868148246227,71680,277.5000000000002,7,15.968717235326768,0.1777099609375,2.6077032089233397e-09
324.59,1.7732365667819976,25.0,143.0,0.0032212706336167685,-0.001736898325907532,791,0.05102158693897496,0.008111731271173993,81920,275.0,8,15.968717551231384,0.2210205078125,5.587935447692871e-09
324.54,1.7769450195133687,25.0,144.25,0.0030100843728178006,-0.0012498647149186582,786,0.05348358257298994,0.007692988816894797,92160,275.0,9,15.968711310625077,0.2373779296875,-3.7252902984619143e-10
324.65,1.7749763160943985,25.0,138.0,0.0032903677473200333,-0.0015289570845197886,781,0.05355877936153212,0.007836274240980856,102400,227.5000000000002,10,15.968717783689499,0.23408203125,-5.960464477539063e-09
330.23,1.7829079054296018,25.0,146.75,0.0035745545644203956,-0.0022283309561316857,777,0.05205991733907748,0.008370592745120576,112640,275.0,11,15.968716150522232,0.2738037109375,-2.9802322387695312e-08
330.48,1.7730242796242237,25.0,141.5,0.0031744777239850917,-0.002002324731438421,775,0.05270760554745781,0.008196896463232406,122880,275.0,12,15.96871758699417,0.2440673828125,2.868473529815674e-08
331.84,1.763962510973215,25.0,149.5,0.004182757175067308,-0.0019845241298753536,773,0.05088609552818794,0.007197646666588753,133120,277.5000000000002,13,15.96871742606163,0.282421875,5.587935447692871e-09
326.28,1.7727300129830836,25.0,142.5,0.003100415858011729,-0.00135354654994444,770,0.054832107349943884,0.009444525191975117,143360,275.0,14,15.968717622756959,0.231787109375,0.0
330.99,1.782491996139288,25.0,154.25,0.0035573853749383487,-0.0016401741286244942,769,0.05636826290799114,0.008851703633263241,153600,275.0,15,15.968717592954636,0.258056640625,-1.1175870895385742e-08
330.0,1.7777771286666393,47.50000000000001,159.75,0.0038507273020229604,-0.0017094868802814745,768,0.05401761290555542,0.008929127179510488,163840,300.0,16,15.96871652007103,0.2500244140625,1.2293457984924316e-08
