policy_entropy,grad_norm,advantage_norm,epoch_idx,explained_variance,frames,policy_loss,episode_length,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,fps,value_loss
1.3305766522884368,1.7967730053419324,1.815963499546051,1,-0.8862283504009247,8000,0.010766953601851127,165.97619047619048,3.0,0.0,1.119047619047619,321,0.044840596545473094
1.3701811885833741,0.3452688066039045,1.346893055960536,2,0.08554718255996704,16000,0.001585917080519721,181.72619047619048,3.700000000000003,0.0,1.4285714285714286,191,0.0161831516361417
1.380412245988846,0.3281119960508264,1.3247853846102953,3,0.20208749890327454,24000,0.003643718662497122,194.14,4.0,0.0,1.66,212,0.01552125490110484
1.375344467163086,0.30916193287061944,1.1622389070689678,4,0.12582696378231048,32000,0.00015615860000252723,188.33,4.0,0.0,1.49,227,0.01288882801120053
1.36597327709198,0.3598156606219795,1.2312639312446116,5,0.17992783427238465,40000,0.003006158437128761,181.56,4.0,0.0,1.31,237,0.014060172661047546
1.3578619265556335,0.32922243384499794,1.0763756000995637,6,0.06785286068916321,48000,0.003087910035974346,178.83,3.1000000000000085,0.0,1.26,243,0.01135273293897626
1.3720744168758392,0.3207972232343609,1.1267952983081342,7,0.11402544736862183,56000,-0.0014061548706376925,171.32,3.0,0.0,1.11,248,0.011516610517137451
1.3775016736984254,0.3181032051127926,1.1571374501287937,8,0.28569699704647067,64000,0.0014745510026841658,167.97,2.0,0.0,1.07,250,0.010558880687167402
1.3682163965702057,0.6980139040764002,1.5090754786133767,9,0.42464679300785063,72000,-0.008578162353951485,166.53,2.1000000000000085,0.0,1.03,255,0.024182815415260846
1.3667216551303865,0.408238198238923,1.2882981342077255,10,0.662966668009758,80000,-0.0028643265995197,182.61,4.0,0.0,1.4,258,0.01234162735810969
1.347887371778488,0.4281884721756834,1.4073668426275254,11,0.7524198889732361,88000,-0.0018595202012875235,194.96,5.0,0.0,1.71,261,0.014030337445437907
1.3567359924316407,0.40729433556903594,1.3715842431783676,12,0.787221342921257,96000,-0.00479291974217631,196.06,4.0,0.0,1.7,264,0.013083310659276322
1.3267351973056793,0.3480580765193204,1.1977727276086807,13,0.8392568755149842,104000,-0.0015758164681028575,206.69,5.0,0.0,2.02,266,0.010258968666894361
1.3375019240379333,0.3424293255489205,1.1525539189577103,14,0.8789887553453446,112000,-0.0005235529300989583,205.84,7.0,0.0,2.13,268,0.00907933447510004
1.331823650598526,0.3069521771215999,1.0627136433124542,15,0.924203462600708,120000,-0.0011212308797985315,198.72,5.0,0.0,1.89,270,0.007558971490943804
1.3510385060310364,0.29141222800678773,0.995150962471962,16,0.9302162897586822,128000,-0.0019014383126341272,207.1,5.0,0.0,2.05,271,0.006828219729359261
1.3448686766624451,0.27104658874723214,0.9226712673902512,17,0.9402650493383408,136000,-0.0007512211406719871,208.8,5.0,0.0,2.09,272,0.006118906960473396
1.3410087084770204,0.26314560596639586,0.8093466085195541,18,0.9510379791259765,144000,-0.002655788685224252,197.28,5.0,0.0,1.8,273,0.004968921608524397
1.3479356563091278,0.22622248017771956,0.7819689148664475,19,0.9524302858114243,152000,-0.0005780116269670544,192.08,5.0,0.0,1.66,274,0.004424228070420213
1.344561595916748,0.24768252202170601,0.8508776076138019,20,0.9409459400177002,160000,-0.00047171714424621314,202.26,5.0,0.0,1.96,275,0.0056076273016515184
1.338788559436798,0.20982619433955021,0.7624989032745362,21,0.9516424113512039,168000,-0.0010667908818868454,219.94,5.1000000000000085,0.0,2.41,276,0.004593911932315678
1.3485986077785492,0.24418624579361337,0.8445703768730164,22,0.9479172873497009,176000,-0.0010586316918488592,223.3,6.0,0.0,2.48,277,0.005768877710797824
1.3639764928817748,0.2562283667462032,0.9055975338816643,23,0.903286903500557,184000,0.00021047325513791294,219.94,6.0,0.0,2.42,277,0.006730354817118495
1.3532429599761964,0.25541404450729677,0.8998563960194588,24,0.9346906983852387,192000,-0.002292846310592722,219.49,5.1000000000000085,0.0,2.4,277,0.0063022572518093515
1.3403747415542602,0.16952201129769195,0.6424641512334347,25,0.9593274080753327,200000,-0.0011852020669903141,212.36,7.200000000000017,0.0,2.31,278,0.0032800812706409487
1.3417405498027801,0.1680983939908069,0.625496132671833,26,0.964515820145607,208000,-0.001001720592030324,207.8,9.0,0.0,2.24,279,0.0033112381273531356
1.3489052546024323,0.22470503309296574,0.7489654538035393,27,0.9520471507310867,216000,-0.0018620538798859343,200.03,5.0,0.0,1.91,279,0.0046151049993932245
1.3567324650287629,0.1890476545220847,0.7327749298512936,28,0.9553164470195771,224000,0.0014790168953186366,198.65,5.1000000000000085,0.0,1.89,279,0.004343712430272717
1.3685509252548218,0.2569743759351337,0.982642127275467,29,0.9086596024036407,232000,-0.000556720569729805,198.72,5.1000000000000085,0.0,1.93,279,0.007517865306581371
1.3578181993961334,0.19166000301524672,0.7416606697440148,30,0.9548972034454346,240000,-0.0015709796315059065,215.1,7.0,0.0,2.37,280,0.004552503597806208
1.3752862846851348,0.21750430949660501,0.8170584498345852,31,0.9200438779592514,248000,-0.0010795552995114123,206.67,6.0,0.0,2.13,281,0.005590845146944048
1.353529714345932,0.21947813395495,0.8099481323361397,32,0.9495864605903626,256000,-0.002599603414782905,196.47,5.0,0.0,1.71,282,0.004930824235198088
1.3512176918983458,0.22618820739825105,0.8567940014600753,33,0.9404908365011215,264000,0.0010797622060636058,202.09,5.0,0.0,1.77,284,0.005719685936928727
1.3572250044345855,0.2376672843006774,0.9018187135457992,34,0.92942273914814,272000,-0.0023405369091778995,205.92,5.0,0.0,1.96,285,0.006700484809698537
