epoch_idx,approx_kl_divergence,advantage_norm,clip_fraction,explained_variance,PMM:episode_rewards,fps,P01:episode_rewards,frames,grad_norm,policy_entropy,value_loss,P09:episode_rewards,episode_length,policy_loss
1,14253.875235619296,15.968646901845933,0.568994140625,-5.492264982312918,33.87096774193548,526,0.0,10240,6434041.48686344,0.3775725434949915,3093150.3352298783,125.0,327.93548387096774,0.06391222681586442
2,0.009061533778117336,15.9687175989151,0.3369873046875,1.1175870895385742e-09,72.95081967213115,584,0.0,20480,0.15126641016835723,1.677213755995035,0.008297117557594902,175.0,321.08196721311475,0.002506663131498499
3,0.003013984937490477,15.968717616796493,0.191357421875,4.470348358154297e-09,100.80645161290323,599,0.0,30720,0.0761056783460334,1.7780751205980778,0.007907771754889836,200.0,327.5806451612903,-0.0010813033120939508
4,0.002375876376402175,15.968717312812805,0.176416015625,6.332993507385254e-09,129.5,583,0.0,40960,0.06390467963058645,1.764373779296875,0.008126165888461401,275.0,324.39,-0.001136995131673757
5,0.003699332845212666,15.968717283010482,0.24306640625,1.4901161193847657e-09,130.25,570,25.0,51200,0.04981789493241893,1.781763207912445,0.0071896283779096844,252.50000000000023,325.0,-0.002097514863635297
6,0.0039490263740844965,15.968717652559281,0.290087890625,-4.470348358154297e-09,134.25,568,25.0,61440,0.05248346788304019,1.7725533850491046,0.007895006638727864,252.50000000000023,322.43,-0.002159683412173763
7,0.003253272100664617,15.968716490268708,0.249072265625,5.215406417846679e-09,124.25,565,25.0,71680,0.05407539506290917,1.7574239246547223,0.008366930591500931,227.5000000000002,319.94,-0.0017199349465954583
8,0.003555081476918076,15.968717557191848,0.2661865234375,4.8428773880004884e-09,144.5,554,25.0,81920,0.054576085660928406,1.7722024776041507,0.0084913075460463,300.0,325.54,-0.0019590052914281843
9,0.0027661646362503235,15.968717414140702,0.1869873046875,-5.215406417846679e-09,133.25,544,25.0,92160,0.04992567309746258,1.7658017717301846,0.006830121301800318,252.50000000000023,323.72,-0.0010191362536716043
10,0.00281195742353475,15.968717479705811,0.2119873046875,9.685754776000977e-09,139.25,542,25.0,102400,0.05030456106201121,1.772629238665104,0.007131096600915043,275.0,324.68,-0.001954005696097738
