rollout_prob_std,policy_gradient_loss,frames,policy_loss,avg_q_retraced,PMM:episode_rewards,fps,model_prob_std,policy_entropy,epoch_idx,policy_gradient_bias_correction,q_loss,explained_variance,grad_norm,advantage_norm,P09:episode_rewards,avg_q_selected,episode_length,P01:episode_rewards
0.04958009260396163,0.00036958428520771726,7200,0.00036958428520771726,-0.002762503019766882,0.0,463,0.049580091858903566,2.0800564527511596,1,0.0,0.0011813778362314527,-27.118999354044597,0.04959252449285526,0.07642814454933007,0.0,-0.0024451078148558735,0,0.0
0.03813470117747784,-0.00010768554293463239,14400,-0.00010768554293463239,-0.003465790849198432,0.0,629,0.03813470117747784,2.1036308487256368,2,1.4797966093234767e-12,0.0004547497524526989,-56.59964695771535,0.034022812371014746,0.03217489778374632,0.0,-0.0037173586431890728,0,0.0
0.011697860651959975,8.607472288228261e-05,21600,8.607472288228261e-05,-0.0025499985242883366,0.0,652,0.011697860589871803,2.190914265314738,3,0.0,2.4535728531797455e-05,-14.50333638191223,0.004081886327557826,0.025176633397738138,0.0,-0.00247573252612104,0,0.0
0.016578575130552053,-8.317541793682418e-06,28800,-8.317541793682418e-06,-0.00024056139736785553,0.0,674,0.016578575099507966,2.1857182105382282,4,0.0,6.796247580496129e-05,-23.117582209904988,0.007074481581662484,0.05515426197089255,0.0,-0.00020499077803227313,0,0.0
0.012048252144207556,5.011364040304519e-05,36000,5.011364040304519e-05,-0.002278038452156276,0.0,720,0.012048252175251644,2.190535322825114,5,0.0,1.8332589794075222e-05,-21.752821063995363,0.0026013563006629923,0.02256807996891439,0.0,-0.0022062609935043537,0,0.0
0.014140579150989652,4.3659055124104876e-05,43200,4.3659055124104876e-05,-0.0017161108107150843,0.0,692,0.01414057898024718,2.187826220194499,6,0.0,3.3776275229987127e-05,-11.815839433670044,0.004198425370237358,0.03971296288073063,0.0,-0.0016654139088738398,3324.9166666666665,0.0
0.008756385712573925,4.238634305693267e-05,50400,4.238634305693267e-05,-0.002578001585789025,0.0,671,0.008756385650485754,2.1937298218409222,7,0.0,4.9808007853850235e-06,-18.71105106671651,0.0012908910426870936,0.011042265221476555,0.0,-0.002598928151807437,3324.9166666666665,0.0
0.011552425861979524,7.488412796495444e-05,57600,7.488412796495444e-05,-0.003093086656493445,0.0,658,0.011552426187942425,2.1914390484491983,8,0.0,4.671536745111856e-06,-20.21260210673014,0.001416342260591328,0.009674841320763032,0.0,-0.003156375155473749,3324.9166666666665,0.0
0.011893720366060734,3.1456331771551047e-05,64800,3.1456331771551047e-05,-0.0014105485005226606,0.0,642,0.011893720598891377,2.190797233581543,9,0.0,1.849633068786716e-05,-9.585214726130168,0.002653599468544912,0.028545213428636394,0.0,-0.0013973658729810267,3324.9166666666665,0.0
0.010981541716804107,3.0603683853769326e-05,72000,3.0603683853769326e-05,-0.001588147310152029,0.0,574,0.010981541592627764,2.191717791557312,10,0.0,1.2473035650373276e-05,-7.79225869178772,0.0019353017684084672,0.021305596145490806,0.0,-0.001604927903584515,3324.9166666666665,0.0
0.013060908298939466,1.7630451776540212e-05,79200,1.7630451776540212e-05,-0.0007541679032631994,0.0,540,0.013060908298939466,2.190029001235962,11,0.0,2.89575763057807e-05,-7.539611196517944,0.0036432328163786003,0.041295660209531584,0.0,-0.0008610453899867329,3324.9166666666665,0.0
0.007286716376741728,4.753317879628109e-06,86400,4.753317879628109e-06,-0.0005231769529927988,0.0,534,0.0072867162991315125,2.194927112261454,12,0.0,4.023613546640566e-06,-17.737352879842124,0.0008394084880389528,0.00989868549319605,0.0,-0.0005502530024386942,3324.2916666666665,0.0
0.009035525346795718,2.3830661488470164e-05,93600,2.3830661488470164e-05,-0.0013318349034913506,0.0,533,0.009035525300229589,2.193753886222839,13,0.0,1.8989586332433343e-06,-18.24322641690572,0.0008436624736349272,0.006920707536240419,0.0,-0.0013860583703111237,3324.2916666666665,0.0
0.007210529875010252,2.2371081684013916e-05,100800,2.2371081684013916e-05,-0.000832376135319161,0.0,533,0.007210529952620466,2.195001157124837,14,0.0,2.0339626416898683e-06,-15.181480010350546,0.0006808817153445488,0.0072048323384175696,0.0,-0.0008360402939918761,3324.2916666666665,0.0
0.010798678003872434,-1.1685377872557486e-05,108000,-1.1685377872557486e-05,0.0006063588584462802,0.0,534,0.010798678065960606,2.1923110246658326,15,0.0,2.1121000963830737e-05,-9.76517235438029,0.002742159383086619,0.035094425167577964,0.0,0.0005590615622471281,3324.2916666666665,0.0
0.006307259279613693,-9.518610272607476e-06,115200,-9.518610272607476e-06,0.0005085889511974529,0.0,533,0.006307259217525522,2.195385551452637,16,0.0,4.638177351523609e-06,-9.583293135960897,0.0008452251195298047,0.011548139558484157,0.0,0.0004923684134458502,3324.2916666666665,0.0
0.012274214014362928,-1.8901387810612068e-05,122400,-1.97387405628776e-05,0.0003397351955020042,0.0,523,0.009827186584154823,2.1931618810078453,17,-8.373527168128165e-07,1.4629872700130897e-05,-9.627432082569786,0.0022505258054639943,0.030537144609981966,0.0,0.000369923276511188,3324.3333333333335,0.0
0.01490384141502473,-1.2533066842689986e-05,129600,-1.1548312520090278e-05,0.0007106782091246742,0.0,503,0.0071821243821079085,2.1950505322690996,18,9.847543789352213e-07,3.8358764134994384e-06,-8.680078381199055,0.0010056497156770447,0.014850923634527212,0.0,0.0006820913468911107,3324.3333333333335,0.0
